Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Michael Fassbender,麥可·法斯賓達
Cacau,卡考
Franz Baumann (Beamter),弗朗兹·鲍曼
Carl Heinrich Becker,卡尔·海因里希·贝克尔
Hermann Hoth,赫爾曼·霍特
Sophie Dorothea Marie von Preußen,普魯士的索菲·多蘿西亞
Robert Schuman,罗贝尔·舒曼
Christoph Schneider,克里斯多夫·施耐德
Zé Roberto,泽·罗伯托
Erhard Milch,艾爾哈德·米爾希
Bernd Förster,贝恩德·弗尔斯特
Gerda Christian,格尔达·克里斯蒂安
Yuri Manin,尤里·马宁
Hans von Mangoldt (Mathematiker),漢斯·馮·曼戈爾特·(數學家)
Erich Kähler,埃里希·凯勒
Georg von Küchler,格奧爾格·馮·屈希勒
Ludwig Beck (General),路德维希·贝克
Franz Halder,弗朗茲·哈爾德
Sepp Dietrich,約瑟夫·迪特里希
Hans-Josef Kapellmann,尤普·卡佩尔曼
Alfred Eisenstaedt,阿尔弗雷德·艾森施泰特
Ferdinand Schörner,斐迪南·舍爾納
Änis Ben-Hatira,阿尼斯·賓哈迪拉
Joachim Sauer,约阿希姆·绍尔
Otto Meissner,奥托·迈斯纳
Volker Strassen,沃爾克·施特拉森
Horst Köppel,霍斯特·科佩尔
Christian I. (Sachsen-Merseburg),克里斯蒂安一世·(薩克森-梅澤堡)
Heinrich (V.) der Ältere von Braunschweig,海因里希五世·(普法爾茨)
Matthias Behr,马蒂亚斯·贝尔
Arthur Crispien,亚瑟·克里斯平
Johann Gramann,約翰內斯·格羅曼
Jochen Pietzsch,约亨·皮奇
Friedrich zu Wied,弗里德里希·(维德)
Charlotte Sophie von Sachsen-Coburg-Saalfeld,夏洛特·索菲·(薩克森-科堡-薩爾費爾德)
Georg Friedrich (Baden-Durlach),格奧爾格·腓特烈·(巴登-杜拉赫)
Fritz Gunst,弗里茨·贡斯特
Frank Ostholt,弗兰克·奥斯特霍尔特
Bernd Dittert,贝恩德·迪特尔特
Wolfgang Behrendt (Boxer),沃尔夫冈·贝伦特
Otto V. (Braunschweig-Lüneburg),奧托五世·(布倫瑞克-呂訥堡)
Annette Klug,安妮特·克卢格
Marco Rudolph,马尔科·鲁道夫
Heinrich I. (Braunschweig-Grubenhagen),海因里希一世·(布倫瑞克-格魯本哈根)
Matthias Sammer,马蒂亚斯·萨默尔
Stefan George,斯特凡·格奥尔格
Werner Naumann,维尔纳·瑙曼
Paul Hausser,保羅·豪塞爾
Eugen d’Albert,欧根·达尔伯特
Anna Christine Luise von Pfalz-Sulzbach,安娜·克莉絲汀·(普法爾茨-蘇爾茨巴赫)
Theodor Wisch,特奥多尔·威施
Hansi Müller,汉西·米勒
Karlheinz Förster,卡尔海因茨·弗尔斯特
Kurt Christoph von Schwerin,库尔特·克里斯托夫·冯·施维林
Torsten May,托尔斯滕·迈
Frank Wörndl,弗兰克·韦恩德尔
Emil Benecke,埃米尔·贝内克
Karl Münchinger,卡尔·明兴格尔
Erich II. (Braunschweig-Calenberg-Göttingen),埃里希二世·(布倫瑞克-卡倫貝格-哥廷根)
Hans Adolf Krebs,汉斯·阿道夫·克雷布斯
Paul Levi,保罗·列维
Otto I. (Hessen),奧托一世·(黑森)
Gerhard Domagk,格哈德·多馬克
Moritz Schlick,摩里茲·石里克
Richard Wilhelm,尉禮賢
"Friedrich August (Oldenburg, Großherzog)",腓特烈·奧古斯特二世·(歐登堡)
Ottheinrich,奥托·海因里希·(普法爾茨選侯)
Tomas Behrend,托馬斯·贝哈连德
Erich Weinert,埃里希·魏纳特
Ludwig Biermann,路德維希·比爾曼
Godfrey Kneller,戈弗雷·内勒
Wolfgang Petersen,沃尔夫冈·彼得森
Erich Hartmann (Jagdflieger),埃里希·哈特曼
Wilhelm List,威廉·利斯特
Joachim Peiper,约阿希姆·派佩尔
Hans von Salmuth,漢斯·馮·薩爾穆特
Constantin Carathéodory,康斯坦丁·卡拉西奥多里
Martin Winterkorn,文德恩
Johann Hartwig Ernst von Bernstorff,约翰·哈特维格·冯·伯恩斯托夫
Uwe Beyer,乌韦·拜尔
Magda Goebbels,玛格达·戈培尔
Paul von Lettow-Vorbeck,保羅·馮·萊托-福爾貝克
"Fritz Walter (Fußballspieler, 1960)",弗里茨·瓦尔特·(1960年)
Sigmund Rascher,西格蒙德·拉舍爾
Andreas Tölzer,安德烈亚斯·特尔策
"Eberhard I. (Württemberg, Herzog)",埃伯哈德一世·(符騰堡公爵)
James Last,詹姆斯·拉斯特
Hasso von Manteuffel,哈索·冯·曼陀菲尔
Andreas von Bechtolsheim,安迪·貝托爾斯海姆
Carl Friedrich von Weizsäcker,卡尔·冯·魏茨泽克
August (Pfalz-Sulzbach),奧古斯特·(普法爾茨-蘇爾茨巴赫伯爵)
Arthur Nikisch,尼基施·阿图尔
Hans von Seeckt,汉斯·冯·塞克特
Gotthard Heinrici,哥特哈德·海因里希
Sexy Cora,性感科拉
Bruno Frank,布鲁诺·法兰克
Hansjörg Jäkle,汉斯约尔格·耶克勒
Franz Xaver Gabelsberger,F·X·加贝尔斯贝格
Oskar von Hindenburg,奧斯卡·馮·興登堡
Friedrich III. (Pfalz),弗里德里希三世·(普法尔茨)
Traudl Junge,特劳德尔·容格
Ernst Tugendhat,恩斯特·图根哈特
Dieter Zetsche,迪特·蔡澈
Konrad von Erlichshausen,康拉德·馮·埃里希豪森
Otto Heinrich (Pfalz-Sulzbach),奧托·海因里希·(普法爾茨-蘇爾茨巴赫)
Sosthene Moguenara,索斯泰娜·莫格纳拉-塔鲁姆
Friedrich Wilhelm III. (Sachsen-Altenburg),腓特烈·威廉三世·(薩克森-阿爾滕堡)
Kurt von der Chevallerie,库尔特·冯·德·谢瓦莱里
Julius Eisenecker,尤利乌斯·艾泽内克
Hans Stanggassinger,汉斯·施坦加辛格
Wolfgang Bartels (Skirennläufer),沃尔夫冈·巴特尔斯·(高山滑雪运动员)
Otto Sander,奥托·桑德
Ehrenfried Patzel,埃伦弗里德·帕策尔
Marcus Becker,马库斯·贝克尔
Gustav Witt,卡尔·古斯塔夫·伊特
Hans Eichel,汉斯·艾歇尔
Hans Günter Winkler,汉斯·金特·温克勒
Heidi-Elke Gaugel,海迪-埃尔克·高格尔
Eike Immel,埃克·伊梅尔
Wolfgang Paul (Physiker),沃尔夫冈·保罗
Sophie von der Pfalz,索菲·(汉诺威选侯夫人)
Andreas Hinkel,安德烈亚斯·欣克尔
Kurt Meyer (SS-Mitglied),庫爾特·邁爾
Peter Struck,彼得·施特魯克
Egon Bahr,埃贡·巴尔
Klaus Kleinfeld,克劳斯·克莱因费尔德
Gundi Busch,贡迪·布施
Heinrich Reuß von Plauen,海因里希·羅伊斯·馮·普勞恩
Heinrich XVI.,亨利十六世·(巴伐利亞)
Dimitri Peters,迪米特里·彼得斯
Friedrich Merkel (Mediziner),弗里德里希·西格蒙德·默克尔
Stefan Krauße,斯特凡·克劳瑟
Theodor Schneider (Mathematiker),西奧多·施耐德
Gebhard I. von Waldburg,格布哈特·特鲁赫泽斯·冯·瓦尔德堡
Paul Bachmann (Mathematiker),保羅·巴赫曼
Werner von Blomberg,维尔纳·冯·勃洛姆堡
Ralph Baer,拉夫·亨利·贝尔
Hugo Ball,胡戈·巴尔
Sabine Bergmann-Pohl,萨宾娜·伯格曼-普尔
Tom Tykwer,汤姆·提克威尔
Johann Friedrich Gmelin,约翰·弗里德里希·格梅林
Sigmund Jähn,西格蒙德·雅恩
Friedrich VII. Magnus (Baden-Durlach),弗里德里希七世·马格努斯·(巴登-杜拉赫)
Magdalena Sibylla von Hessen-Darmstadt,瑪格達列娜·希比拉·(黑森-達姆施塔特)
Nikolaus von Falkenhorst,尼古拉斯·冯·法尔肯霍斯特
Daniela Anschütz-Thoms,丹妮拉·安许茨-汤姆斯
Johann Kasimir (Pfalz-Zweibrücken-Kleeburg),約翰·卡西米爾·(普法爾茨-茨魏布呂肯-克萊堡)
Walther Wever (General),瓦爾特·韋弗·(將軍)
Walther Funk,瓦尔特·冯克
Johannes Blaskowitz,約翰內斯·布拉斯科維茨
Christian August von Schleswig-Holstein-Gottorf,克里斯蒂安·奧古斯特·(什勒斯維希-霍爾斯坦-戈托普)
Friedrich Christian von Sachsen (1893–1968),弗里德里希·克里斯蒂安·(萨克森王子)
Ludwig Ferdinand von Bayern,巴伐利亞的路德維希·斐迪南
Hannes Wader,汉尼斯·瓦德
Klaus Reichert (Fechter),克劳斯·赖歇特
Rainer Stahel,赖纳·施塔赫尔
Meredith Michaels-Beerbaum,梅雷迪丝·迈克尔斯-贝尔鲍姆
Walter Brandmüller,怀德·布兰德米勒
Niklas Luhmann,尼克拉斯·卢曼
Ernst Bloch,恩斯特·布洛赫
Ernst II. Leopold (Hessen-Rotenburg),恩斯特·利奧波德·(黑森-羅滕堡)
Herbert Kroemer,赫伯特·克勒默
Tobias Arlt,托比亚斯·阿尔特
Horst Ludwig Störmer,霍斯特·施特默
