Paris,巴黎
Saint-Sébastien-sur-Loire,卢瓦尔河畔圣塞巴斯蒂安
Saint-Rémy-de-Provence,圣雷米
Saint-Nazaire,圣纳泽尔
Saint-Médard-en-Jalles,雅莱地区圣梅达尔
Saint-Martin-d'Hères,圣马丹代雷
Saint-Mandé,圣芒代
Saint-Malo,圣马洛
Saint-Lô,圣洛
Saint-Laurent-du-Var,聖羅蘭度瓦
Saint-Jean-de-Luz,圣让德吕
Saint-Herblain,聖埃爾布蘭
Saint-Germain-en-Laye,圣日耳曼昂莱
Saint-Dizier,聖迪濟耶
Saint-Dié-des-Vosges,孚日圣迪耶
Saint-Cloud,圣克卢
Saint-Chamond,圣尚翁
Saint-Brieuc,圣布里厄
Saint-Avold,聖阿沃爾德
Rungis,兰吉
Royan,鲁瓦扬
Rosny-sous-Bois,罗尼丛林
Romans-sur-Isère,伊塞尔河畔罗芒
Rodez,罗德兹
Rochefort,羅什福爾
Roanne,罗阿讷
Rive-de-Gier,里夫德比耶
Ris-Orangis,里奥朗吉
Rezé,雷泽
Pessac,佩萨克
Périgueux,佩里格
Pantin,庞坦
Palaiseau,帕莱索
Oyonnax,瓦约纳克斯
Orvault,奧爾沃
Orthez,奥尔泰
Orsay,奧賽
Orly,奥利
Orange,奥朗日
Soissons,苏瓦松
Six-Fours-les-Plages,西富尔斯-勒普拉热
Sèvres,塞夫尔
Sète,塞特港
Schiltigheim,希尔蒂盖姆
Savigny-sur-Orge,奥尔日河畔萨维尼
Saverne,萨韦尔恩
Saumur,索米尔
Sartrouville,薩特魯維爾
Sarreguemines,萨尔格米纳
Sarlat-la-Canéda,萨拉拉卡内达
Sarcelles,薩爾塞勒
Sannois,薩努瓦
Salon-de-Provence,普罗旺斯地区萨隆
Saint-Tropez,圣特罗佩
Vierzon,维耶尔宗
Vichy,维琪
Verdun,凡尔登
Vénissieux,維尼西厄
Vanves,旺夫
Vannes,瓦讷
Vandœuvre-lès-Nancy,旺多厄夫尔莱南西
Vallauris,瓦洛里
Valenciennes,瓦朗謝訥
Tulle,蒂勒
Troyes,特鲁瓦
Rambouillet,朗布依埃
Quimperlé,坎佩尔莱
Quimper,坎佩尔
Puteaux,皮托
Pont-à-Mousson,蓬阿穆松
Poissy,普瓦西
Ploemeur,普洛埃默
Trappes,特拉普
Toul,图勒
Thouars,圖阿爾
Thionville,蒂永维尔
Thiais,蒂艾
Taverny,塔夫尔尼
Tarbes,塔布
Tarascon,塔拉斯孔
Talence,塔朗斯
Suresnes,敘雷訥
Sucy-en-Brie,布里地区叙西
Obernai,奥贝尔奈
Noyon,努瓦永
Noisy-le-Sec,诺瓦西勒塞克
Noisy-le-Grand,大诺瓦西
Nogent-sur-Marne,马恩河畔诺让
Nevers,讷韦尔
Neuilly-sur-Marne,马恩河畔讷伊
Narbonne,纳博讷
Mougins,穆然
Frontignan,弗龙蒂尼昂
Fréjus,弗雷瑞斯
Fos-sur-Mer,濱海福斯
Forbach,福尔巴克
Fontenay-sous-Bois,林畔丰特奈
Fontenay-aux-Roses,丰特奈-玫瑰
Fontainebleau,枫丹白露
Fleury-les-Aubrais,弗勒里莱奥布赖
Fécamp,费康
Évreux,埃夫勒
Bois-Colombes,白鸽林
Bobigny,博比尼
Blagnac,布拉尼亚克
Bischwiller,比斯克维莱
Biarritz,比亚里茨
Bezons,贝宗
Béziers,贝济耶
Béthune,贝蒂讷
Belfort,贝尔福
Bègles,贝格莱
Beauvais,博韦
Beaune,博讷
Montrouge,蒙鲁日
Montluçon,蒙吕松
Montigny-lès-Metz,蒙蒂尼莱梅特
Montélimar,蒙特利馬爾
Mont-de-Marsan,蒙德马桑
Montbéliard,蒙贝利亚尔
Montauban,蒙托邦
Miramas,米拉马
Meudon,默东
Lourdes,盧爾德
Lorient,洛里昂
Lons-le-Saunier,隆勒索涅
Longwy,隆格维
Longjumeau,隆格瑞莫
L'Isle-sur-la-Sorgue,拉-索尔居厄河畔利斯勒
Lisieux,利雪
Liévin,列萬
Libourne,利布爾訥
Cusset,屈塞
Crépy-en-Valois,瓦卢瓦地区克雷皮
Creil,克雷伊
Corbeil-Essonnes,科尔贝埃索纳
Conflans-Sainte-Honorine,孔夫朗-圣奥诺里讷
Concarneau,孔卡尔诺
Compiègne,贡比涅
Colomiers,科洛米耶尔
Colmar,科尔马
Brunoy,布吕努瓦
Brive-la-Gaillarde,布里夫拉盖亚尔德
Brétigny-sur-Orge,奥尔日河畔布雷蒂尼
Bourges,布尔日
Bourg-en-Bresse,布雷斯地区布尔格
Bourg-de-Péage,布尔德佩阿格
Boulogne-sur-Mer,滨海布洛涅
Bondy,邦迪
Melun,默伦
Meaux,莫城
Mauguio,莫吉奥
Maubeuge,莫伯日
Martigues,马尔蒂盖
Marignane,马里尼昂
Marcq-en-Barœul,马尔康巴勒尔
Manosque,芒奥斯屈埃
Maisons-Alfort,邁松阿爾福
Mâcon,马孔
Chamonix-Mont-Blanc,霞慕尼
Chambray-lès-Tours,尚布赖莱图尔
Chambéry,尚贝里
Chamalières,沙马利埃
Chalon-sur-Saône,索恩河畔沙隆
Châlons-en-Champagne,香槟沙隆
Challans,沙朗
Cestas,塞斯塔
Cesson-Sévigné,瑟松塞维涅
Cenon,瑟农
Cavaillon,卡瓦永
Castres,卡斯特爾
Castelnaudary,卡斯泰尔诺达里
Carquefou,卡尔屈埃富
Carpentras,卡庞特拉
Carnac,卡尔纳克
Carcassonne,卡尔卡松
Cambrai,康布雷
Calais,加来
Cahors,卡奥尔
Cagnes-sur-Mer,卡涅
Cachan,卡尚
La Baule-Escoublac,拉博尔埃斯库布拉克
Ermont,埃尔蒙
Épinay-sur-Seine,塞纳河畔埃皮奈
Épinal,埃皮纳勒
Épernay,埃佩尔奈
Échirolles,埃希罗莱
Eaubonne,奥博讷
Dunkerque,敦刻尔克
Dreux,德勒
Draveil,德拉韋伊
Drancy,德朗西
Draguignan,德拉吉尼昂
Dourdan,杜尔当
Douarnenez,杜阿尔纳纳
Douai,杜埃
Digne-les-Bains,迪涅萊班
Dieppe,迪耶普
Bayonne,巴约讷
Bayeux,巴约
Bastia,巴斯蒂亚
Bar-le-Duc,巴勒迪克
Balma,巴尔马
Bagnols-sur-Cèze,塞兹河畔巴尔尼奥尔
Bagnolet,巴尼奥雷
Auxerre,欧塞尔
Autun,歐坦
Aurillac,欧里亚克
Auch,欧什
Aubervilliers,奥贝维埃
Aubenas,奥伯纳
Aubagne,欧巴涅
Athis-Mons,阿蒂斯蒙斯
Asnières-sur-Seine,塞纳河畔阿涅勒
Villeneuve-d'Ascq,阿斯克新城
Saint-Martin,法属圣马丁
Saint Barthelemy,圣巴泰勒米
Blaye,布莱
Yzeure,伊泽尔
Woippy,瓦皮
Wissembourg,维桑堡
Wasquehal,瓦斯凯勒
Vittel,维特
Vitry-le-François,维特里勒弗朗索瓦
Vire,维尔
Villers-lès-Nancy,维莱尔莱南西
Villers-Cotterêts,维莱科特雷
Villeneuve-lès-Avignon,阿维尼翁新城
Villefranche-sur-Mer,滨海自由城
Villefranche-de-Rouergue,鲁埃格自由城
Villefontaine,维莱丰坦
Mont Blanc,勃朗峰
Les Sables-d'Olonne,莱萨布勒多洛讷
Lesquin,莱斯坎
Les Ponts-de-Cé,莱斯蓬特德塞
Les Pennes-Mirabeau,萊斯佩尼斯米拉波
Les Herbiers,莱塞尔比耶尔
Lescar,莱斯卡
Les Andelys,莱桑代利
Le Chambon-Feugerolles,勒尚邦弗热罗莱
Le Bouscat,勒布斯卡
Laxou,拉克苏
La Tronche,拉特龙克
Arpajon,阿尔帕容
Argentan,阿尔让唐
Arcachon,阿尔卡雄
Arbois,阿尔布瓦
Aquitaine,阿基坦
Andrézieux-Bouthéon,昂德雷齐厄布泰翁
Ancenis,昂瑟尼
Amnéville,昂内维尔
Altkirch,阿尔特基克
Albert,阿尔贝
Lagnieu,拉尼厄
La Gacilly,拉加西利
La Ferté-sous-Jouarre,拉費泰蘇茹瓦爾
Lacroix-Saint-Ouen,拉克鲁瓦圣乌昂
La Charité-sur-Loire,卢瓦尔河畔拉沙里泰
La Chapelle-sur-Erdre,埃尔德尔河畔拉沙佩勒
La Chapelle-Saint-Luc,拉沙佩勒圣吕克
Labège,拉贝格
La Tour-du-Pin,拉图迪潘
La Teste-de-Buch,拉泰斯特德比克
Lannemezan,拉内默藏
Languedoc-Roussillon,朗格多克-鲁西永
Langres,朗格勒
Landivisiau,朗迪维西奥
Lamballe,朗巴尔
L'Aigle,莱格尔
Cogolin,科戈兰
Clisson,克利松
Varennes-Vauzelles,瓦雷内沃泽莱
Chennevières-sur-Marne,马恩河畔谢内维埃
Chauny,绍尼
Châtillon-sur-Seine,塞纳河畔沙蒂隆
Château-Thierry,蒂耶里堡
Châteaurenard,沙托雷纳尔
Châteauneuf-les-Martigues,沙托纳莱马尔蒂盖
Château-Gontier,沙托贡蒂耶
Châteaudun,沙托丹
Châteaubriant,沙托布里昂
Chantepie,尚特皮耶
Guingamp,甘岡
Guéret,盖雷
Guérande,蓋朗德
Guebwiller,盖布维莱
Graulhet,格罗耶
Golbey,戈尔贝
Gien,然镇
Gémenos,热芒奥
Gardanne,加爾達納
Gagny,加尼
Juvisy-sur-Orge,奥尔日河畔于维西
Joinville-le-Pont,桥连城
Joigny,茹瓦尼
Jaunay-Clan,若奈克朗
Issoudun,伊苏丹
Issoire,伊苏瓦尔
Honfleur,翁夫勒
Yutz,伊于特
Halluin,阿吕安
Hagondange,阿贡当格
Saint-Quentin-Fallavier,圣屈昂坦法拉维耶
Saint-Priest-en-Jarez,雅雷地区圣普里耶斯
Saint-Pierre-Montlimart,圣皮耶尔蒙特利马尔
Saint-Pierre-des-Corps,圣皮耶尔代科尔普
Saint-Paul-lès-Dax,圣波莱达
Saint-Max,圣马
Saint-Martin-de-Crau,圣马丹德克罗
Saint-Leu-la-Forêt,圣勒拉福雷
Saint-Laurent-Blangy,圣洛朗布朗日
Saint-Just-Saint-Rambert,圣瑞斯圣朗贝尔
Saint-Junien,圣瑞尼安
Saint-Jean-de-Védas,圣让德韦达
Saint-Jean-de-Monts,圣热昂德蒙特
Saint-Jean-de-la-Ruelle,圣让德拉-吕埃尔
Saint-Jean-de-Braye,圣让德布赖埃
Saint-Gilles-Croix-de-Vie,圣吉莱斯-克鲁瓦德维耶
Saint-Genis-Pouilly,圣热尼－普伊
Saintes-Maries-de-la-Mer,桑泰斯-马里耶德拉-梅
Sainte-Luce-sur-Loire,卢瓦尔河畔圣吕克
Saint-Égrève,圣埃格雷夫
Saint-Avertin,圣阿韦尔坦
Saint-Avé,圣阿韦
Saint-André-lez-Lille,圣安德烈莱里尔
Saint-Amand-Montrond,圣阿芒蒙特龙
Saint-Amand-les-Eaux,圣阿芒莱索
Sablé-sur-Sarthe,薩爾特河畔薩布萊
Roscoff,罗斯科
Roncq,龙克
Romorantin-Lanthenay,罗莫朗坦朗特奈
Romilly-sur-Seine,塞纳河畔罗米利
Romainville,罗曼维尔
Rivesaltes,里韦萨尔泰
Riom,里永
Ribeauvillé,里博维莱
Rhône-Alpes,罗纳-阿尔卑斯
Remiremont,雷米雷蒙
Pierrelatte,皮耶尔雷拉特
Phalsbourg,法尔斯布尔
Pays de la Loire,卢瓦尔河地区大区
Parthenay,帕爾特奈
Pamiers,帕米耶
Paimpol,潘波
Oloron-Sainte-Marie,奥洛龙-圣玛丽
Ollioules,奥利乌勒
Soisy-sous-Montmorency,苏瓦西苏蒙特莫朗西
Sochaux,索绍
Sisteron,西斯特龙
Seyssinet-Pariset,塞西内帕里塞
Sevran,塞夫朗
Sélestat,塞莱斯塔
Seclin,塞克兰
Schirmeck,斯希尔梅
Sarre-Union,萨尔于尼翁
Sarrebourg,萨尔雷布尔
Saint-Vincent-de-Tyrosse,圣万桑德蒂罗斯
Vesoul,沃苏勒
Vertou,韦尔图
Verneuil-sur-Avre,阿夫尔河畔韦尔讷伊
Venelles,韦内莱
Vendôme,旺多姆
Vendargues,旺达尔盖
Vence,旺克
Vedène,弗代纳
Valréas,瓦尔雷阿
Uzès,于泽
Trévoux,特莱武
Ramonville-Saint-Agne,拉蒙维尔圣阿尼
Quiberon,屈伊伯龙
Puget-sur-Argens,阿尔冈河畔皮热
Provins,普罗万
Provence-Alpes-Côte d'Azur,普罗旺斯-阿尔卑斯-蔚蓝海岸大区
Privas,普里瓦
Pouzauges,普佐热
Port-Saint-Louis-du-Rhône,圣卢伊斯-迪龙港
Porto-Vecchio,韦基奥港
Portet-sur-Garonne,加龙河畔波泰
Port-de-Bouc,波尔德布克
Pornic,波尔尼克
Pont-Sainte-Maxence,蓬圣马克桑克
Pont-l'Abbé,蓬拉贝
Pontivy,蓬蒂维
Pont-Audemer,蓬奥代梅
Pontarlier,蓬塔尔利耶
Poitou-Charentes,普瓦图-夏朗德
Ploërmel,普洛厄尔梅
Plérin,普莱兰
Pithiviers,皮蒂维耶
Tremblay-en-France,弗朗斯地区特朗布莱
Trélissac,特雷利萨克
Trélazé,特雷拉泽
Tournon-sur-Rhône,罗讷河畔图尔农
Tinqueux,坦屈厄
Thaon-les-Vosges,唐莱沃斯热
Stiring-Wendel,斯蒂兰旺代
Nuits-Saint-Georges,尼伊特圣若尔热
Noyelles-sous-Lens,努瓦耶尔苏朗斯
Noyal-sur-Vilaine,维兰河畔努瓦阿
Nogent-sur-Oise,瓦斯河畔诺让
Nogent-le-Rotrou,诺让莱罗特鲁
Neuilly-Plaisance,讷伊-普莱桑斯
Nemours,内穆尔
Muret,米雷
Mundolsheim,曼多尔桑
Morlaix,莫尔莱
Morez,莫雷兹
Friville-Escarbotin,弗里维尔-埃斯卡博坦
Fougères,富热尔
Fosses,福塞
Fontenay-le-Comte,丰特奈勒孔特
Foix,富瓦
Fleurance,弗勒朗斯
Firminy,菲尔米尼
Figeac,菲雅克
Ferney-Voltaire,费尔梅－伏尔泰
Faulquemont,福尔屈埃蒙
Eybens,埃邦
Évian-les-Bains,埃維昂萊班
Étampes,埃唐普
Bollène,博莱纳
Bitche,比特克
Biscarrosse,比斯卡尔罗斯
Billère,比耶尔
Benfeld,邦弗尔
Belley,贝莱
Bellegarde-sur-Valserine,瓦尔瑟里恩河畔贝勒加尔德
Beaucaire,博凯尔
Montluel,蒙吕尔
Montfort-sur-Meu,默河畔蒙特福尔
Montereau-Fault-Yonne,蒙特羅
Montargis,蒙塔日
Molsheim,莫尔塞姆
Miribel,米里贝尔
Mirecourt,米雷库尔
Millau,米约
Midi-Pyrénées,南部-比利牛斯
Meylan,梅朗
Méru,梅吕
Lunéville,吕内维尔
Ludres,吕德雷
Louviers,卢维埃
Loudun,卢丹
Loudéac,卢代阿克
Lorraine,洛林
Lormont,洛尔蒙
Longvic,隆格维克
Longuenesse,隆格内斯
Longueau,隆戈
Locminé,洛克米内
Livry-Gargan,利夫里-加尔冈
Limeil-Brévannes,利梅布勒瓦纳
Lillers,利莱尔
Liffré,利夫雷
Lézignan-Corbières,莱齐尼昂科尔比埃
Le Teil,勒泰
Coutances,库唐斯
Cournon-d'Auvergne,库尔农多韦尔尼
Coudekerque-Branche,庫德凱爾克-布朗什
Cosne-Cours-sur-Loire,卢瓦尔河畔科斯内-库尔
Coquelles,科凯勒
Paris 18 Buttes-Montmartre,蒙馬特
Bry-sur-Marne,马恩河畔布里
Brumath,布吕马
Bruay-la-Buissière,布律埃拉比西埃
Brignoles,布里尼奥勒
Briançon,布里昂松
Bretagne,布列塔尼大區
Bressuire,布雷敘爾
Bourgogne,勃艮第
Bourg-lès-Valence,布尔莱瓦朗克
Bouguenais,布盖奈
Bormes-les-Mimosas,博尔默勒米莫萨
Bondues,邦迪埃
Bondoufle,邦杜夫尔
Mazamet,马扎默
Marmande,马尔芒德
Maizières-lès-Metz,迈齐埃莱梅特
Lys-lez-Lannoy,利斯莱拉努瓦
Luxeuil-les-Bains,克瑟伊萊班
Paris 06 Luxembourg,圣叙尔比斯教堂
Champagnole,尚帕尼奥勒
Champagne-Ardenne,香槟-阿登
Châlette-sur-Loing,卢万河畔沙莱特
Cergy,塞尔吉
Centre-Val de Loire,中央-盧瓦爾河谷大區
Cauterets,科特雷特
Caudry,科德里
Castelsarrasin,卡斯特尔萨拉桑
Castelnau-le-Lez,卡斯泰尔诺莱莱
Castanet-Tolosan,卡斯塔内托洛桑
Carros,卡尔罗
Carhaix-Plouguer,卡赖普卢盖
Carbon-Blanc,卡尔邦布朗克
Canet-en-Roussillon,鲁西隆地区卡内
Cabriès,卡布列斯
Cabestany,卡贝斯塔尼
Essey-lès-Nancy,埃塞莱南西
Erstein,埃尔斯坦
Domont,多蒙
Dives-sur-Mer,滨海迪韦
Dinard,迪纳尔
Denain,德南
Deauville,多維爾
Baume-les-Dames,博姆莱达梅
Barr,巴尔
Bapaume,巴波姆
Bagnères-de-Bigorre,巴涅尔-德比戈尔
Aytré,艾特雷
Avranches,阿夫朗什
Avallon,阿瓦隆
Auvergne,奥弗涅
Audincourt,奥丹库尔
Aubière,奥比埃
Val-de-Reuil,瓦德勒伊
Sophia Antipolis,法国索菲亚科技园
Bourgoin-Jallieu,布尔关雅利厄
Bourgogne-Franche-Comté,勃艮第-弗朗什-孔泰大區
Normandie,诺曼底大区
Grand Est,大東部大區
Hauts-de-France,上法兰西大区
Auvergne-Rhône-Alpes,奧弗涅-羅訥-阿爾卑斯大區
Yssingeaux,伊桑若
Wattignies,瓦蒂尼
Wasselonne,瓦瑟隆
Wambrechies,瓦布勒希
Voreppe,沃雷普
Viriat,维里亚
Villiers-le-Bel,维利耶尔勒伯
Villetaneuse,维尔塔纳斯
Villeneuve-Loubet,卢贝新城
Villeneuve-lès-Maguelone,马盖隆新城
Villemomble,维勒蒙布勒
Villemandeur,维莱芒德
Villebon-sur-Yvette,伊夫特河畔维勒邦
Vigneux-sur-Seine,塞纳河畔维尼厄
Les Lilas,丁香镇
Le Coteau,勒科托
Ars-sur-Moselle,莫塞尔河畔阿尔
Arnac-Pompadour,阿尔纳克蓬帕杜
Anzin,昂赞
Alsace,阿尔萨斯
Allauch,阿洛
La Côte-Saint-André,拉科特圣昂德雷
La Talaudière,拉塔洛迪埃
La Réole,拉雷奥尔
Clichy-sous-Bois,克利希丛林
Chinon,希农
Chevilly-Larue,谢维利拉吕厄
Chécy,谢西
Chaville,沙维尔
Châteauneuf-du-Pape,沙托纳迪帕普
Chartres-de-Bretagne,沙尔特雷德布雷塔尼
Chantonnay,尚托奈
Guer,盖镇
Groslay,格罗斯莱
Gravelines,格拉沃利讷
Grande-Synthe,格朗德桑特
Gisors,吉索尔
Fumel,菲梅勒
Jonzac,容扎克
Jeumont,热蒙
Jarny,雅尔尼
Île-de-France,法兰西岛
Huningue,于南盖
Homécourt,奥梅库尔
Haute-Normandie,上諾曼地
Haubourdin,欧布尔丹
Saint-Sever,圣瑟韦
Saint-Pol-sur-Ternoise,泰努瓦斯河畔圣波勒
Saint-Paul-lès-Durance,圣波莱迪朗克
Saint-Michel-sur-Orge,奥尔日河畔圣米舍
Saint-Jean-d'Angély,圣让当热利
Roquebrune-Cap-Martin,罗屈埃布兰卡马尔坦
Rethel,勒泰勒
Rantigny,朗蒂尼
Picardie,皮卡第
Peyrehorade,佩雷奥拉德
Segré,塞格雷
Verrières-le-Buisson,弗尔里埃勒比伊松
Vern-sur-Seiche,塞克河畔韦尔恩
Vendin-le-Vieil,旧旺丹
Varces-Allières-et-Risset,瓦尔塞斯-阿利埃和里塞
Vagney,瓦盖伊
Puilboreau,皮伊尔博罗
Portes-lès-Valence,波尔泰莱瓦朗克
Pontoise,蓬图瓦兹
Pont-de-Chéruy,蓬德谢吕伊
Tournefeuille,图尔内弗伊尔
Thuir,蒂伊
Thourotte,图罗特
Stains,斯坦
Sommières,索米埃
Nord-Pas-de-Calais,北部-加来海峡
Nogent-sur-Seine,塞纳河畔诺让
Niederbronn-les-Bains,涅代尔布龙莱班
Neuville-en-Ferrain,讷维尔昂费兰
Morteau,莫尔托
Mortagne-sur-Sèvre,塞夫尔河畔莫尔塔涅
Franche-Comté,弗朗什-孔泰
Font-Romeu-Odeillo-Via,丰罗默-奥代洛维阿
Feytiat,费蒂阿
Fameck,法梅
Étupes,埃蒂佩
Beaupréau,博普雷奥
Beaucouzé,博库泽
Montrichard,蒙特里沙尔
Montmorillon,蒙特莫里隆
Montlhéry,蒙丽瑞
Montfermeil,蒙费梅伊
Montbard,蒙巴尔
Montataire,蒙塔泰尔
Moissac,穆瓦萨克
Moirans,穆瓦朗
Louhans,盧昂
Longuyon,隆吉翁
Loches,洛什
Lingolsheim,兰戈尔桑
Limoux,利穆
Lestrem,莱斯特朗
Crolles,克罗莱
Contrexéville,孔特勒克塞维尔
Commercy,科梅尔西
Colombelles,科隆贝莱
Brioude,布里乌德
Bourg-la-Reine,皇后镇
Mennecy,梅内西
Marigny-le-Châtel,马里尼莱沙泰
Marcoussis,马尔库西
Mandelieu-la-Napoule,芒代利厄拉納普爾
Caudan,科当
Carvin,卡尔万
Candé-sur-Beuvron,伯夫罗讷河畔康代
Épernon,埃佩尔农
Elne,埃尔恩
Deuil-la-Barre,德伊-拉巴尔
Decize,代西兹
Basse-Normandie,下诺曼底
Bar-sur-Aube,奥布河畔巴尔
Ballancourt-sur-Essonne,埃松河畔巴朗库尔
Avesnes-sur-Helpe,埃尔普河畔阿韦讷
Auneau,欧诺
Les Ulis,于利斯
Lille Airport,里爾機場
Mayotte,马约特
Mont Saint-Michel,勒蒙圣米舍
Guadeloupe,瓜德罗普
Guyane,法属圭亚那
Wormhout,沃尔穆
Woerth,沃埃尔
Wavrin,瓦夫兰
Volvic,沃尔维克
Villeneuve-le-Roi,新城勒鲁瓦
Vieux-Condé,旧孔代
Clipperton,克利珀頓島
Europe,欧洲
Les Pavillons-sous-Bois,丛林阁
Lesparre-Médoc,莱斯帕尔梅多克
Le Relecq-Kerhuon,勒雷莱克吕翁
Le Pradet,勒普拉代
Le Portel,勒波泰勒
Le Pertre,勒佩尔特尔
Le Palais,勒帕莱
Léognan,莱奥尼昂
Mont-Dore,蒙多尔
Le Haillan,勒艾朗
Le Folgoët,勒福尔戈厄
Le Drennec,勒德雷内克
Le Croisic,勒克鲁瓦西克
Le Conquet,勒孔屈埃
Le Chambon-sur-Lignon,利尼翁河畔勒尚邦
Le Bar-sur-Loup,卢河畔勒巴
La Ville-du-Bois,拉维尔迪布瓦
Laventie,拉旺蒂
Lavelanet,拉韦拉内
La Trinité-sur-Mer,滨海拉特里尼泰
Artenay,阿尔特奈
Artemare,阿尔特马尔
Ars-sur-Formans,福尔芒河畔阿尔斯
Ars-en-Ré,雷地区阿尔
Arpajon-sur-Cère,塞尔河畔阿尔帕容
Arnouville,阿努维尔
Arnay-le-Duc,阿尔奈莱迪克
Arlanc,阿尔朗
Argentré-du-Plessis,阿让特雷-迪普莱西
Argenton-sur-Creuse,克勒斯河畔阿尔让通
Argentat,阿尔让塔
Argelès-Gazost,阿尔热莱加佐斯
Ardentes,阿尔当泰
Arcis-sur-Aube,奥布河畔阿尔西
Arcangues,阿尔康盖
Arbonne,阿尔邦
Arbent,阿尔邦
Aranc,阿朗克
Anzin-Saint-Aubin,昂赞圣欧班
Antrain,昂特兰
Ansouis,昂苏伊
Anor,阿诺尔
Annot,阿诺
Annoeullin,阿讷兰
Angevillers,昂热维莱尔
Andlau,昂德洛
Andernos-les-Bains,昂代尔诺莱班
