Rome,罗马市
Brembilla,布伦比拉
Bovolenta,博沃伦塔
Bosisio Parini,博西肖帕里尼
Borriana,博里亚纳
Borgoforte,博尔戈福尔泰
Bonito,博尼托
Bomarzo,博马尔佐
Bolsena,博赛纳湖
Bobbio,博比奥
Bettona,贝托纳
Besano,贝萨诺
Bellagio,贝拉焦
Baricella,巴里切拉
Bagolino,巴戈利诺
Bagnoregio,巴尼奥雷焦
Bagno di Romagna,巴尼奥-迪罗马涅
Avelengo,阿韦伦戈
Ausonia,奥索尼亚
Asciano,阿夏诺
Arrone,阿罗内
Argenta,阿尔真塔
Arce,阿尔切
Aquino,阿奎诺
Aquilonia,阿奎洛尼亚
Anzano del Parco,安扎诺德尔帕尔科
Antrodoco,安特罗多科
Anterivo,安泰里沃
Annone di Brianza,安诺内迪布里亚恩扎
Annicco,安尼科
Monte Amiata,阿米亞塔山
Amelia,阿梅利亚
Alvito,阿尔维托
Alviano,阿尔维亚诺
Altare,阿尔塔雷
Allerona,阿莱罗纳
Alife,阿利费
Aliano,阿利亚诺
Albuzzano,阿尔布扎诺
Alberobello,阿尔贝罗贝洛
Airuno,阿伊鲁诺
Aiello del Friuli,阿耶洛德尔夫留利
Aggius,阿朱斯
Piazza San Marco,圣马可广场
Loiano,洛亚诺
Locate di Triulzi,洛卡泰迪特留尔齐
Lentiai,伦蒂亚伊
Lenno,伦诺
Laurenzana,劳伦扎纳
Laterina,拉泰里纳
Larino,拉里诺
Lana,拉纳
Laion,拉伊翁
Lajatico,拉亚蒂科
Lagundo,拉贡多
Laces,拉切斯
Irgoli,伊尔戈利
Guidizzolo,圭迪佐洛
Guardialfiera,瓜尔迪亚尔菲耶拉
Guardea,瓜尔代亚
Gualdo Cattaneo,瓜尔多卡塔内奥
Grosio,格罗肖
Granze,格兰泽
Gran Paradiso,大帕拉迪索山
Gordona,戈尔多纳
Glorenza,格洛伦扎
Ginestra,吉内斯特拉
Isola del Giglio,吉廖島
Gianicolo,贾尼科洛山
Gattinara,加蒂纳拉
Garlasco,加尔拉斯科
Gargazzone,加尔加佐内
Galluccio,加卢乔
Gallio,加廖
Galliera,加列拉
Fratta Todina,弗拉塔托迪纳
Provincia di Forlì-Cesena,費利-切塞納省
Forano,福拉诺
Fonzaso,丰扎索
Fonni,丰尼
Florinas,弗洛里纳斯
Campi Flegrei,坎皮佛莱格瑞
Fenestrelle,费内斯特雷莱
Felino,费利诺
Fara in Sabina,法拉伊恩萨比纳
Falzes,法尔泽斯
Fabro,法布罗
Fabbriche di Vallico,法布里凯迪瓦利科
Este,埃斯泰
Herculaneum,赫库兰尼姆古城
Dosolo,多索洛
Traona,特劳纳
Torrita di Siena,托里塔迪谢纳
Torgiano,托尔贾诺
Torano Nuovo,托拉诺诺沃
Monte Titano,蒂塔諾山
Tione di Trento,蒂奥内迪特伦托
Tiarno di Sotto,蒂亚尔诺迪索托
Tiarno di Sopra,蒂亚尔诺迪索普拉
Tesimo,泰西莫
Terento,泰伦托
Tavullia,塔武利亚
Tassullo,塔苏洛
Subiaco,苏比亚科
Subbiano,苏比亚诺
Stresa,斯特雷萨
Stradella,斯特拉德拉
Stelvio,斯泰尔维奥
Sospiro,索斯皮罗
Sori,索里
Solferino,蘇法利諾
Solaro,索拉罗
Silandro,西兰德罗
Sgurgola,斯古尔戈拉
Sesto,塞斯托
Seren del Grappa,塞伦德尔格拉帕
Scarperia,斯卡尔佩里亚
Scala,斯卡拉
Sarentino,萨伦蒂诺
Sarconi,萨尔科尼
San Venanzo,圣韦南佐
San Pancrazio,圣潘克拉齐奥
San Martino in Rio,圣马尔蒂诺因廖
San Martino in Passiria,圣马尔蒂诺因帕西里亚
San Mango sul Calore,圣曼戈苏尔卡洛雷
San Lorenzo Nuovo,圣洛伦佐诺沃
San Lorenzo di Sebato,圣洛伦佐迪塞巴托
San Leonardo in Passiria,圣莱奥纳尔多因帕西里亚
San Leo,圣莱奥
San Giorgio in Bosco,圣焦尔焦因博斯科
San Genesio ed Uniti,圣杰内肖埃杜尼蒂
San Gemini,圣杰米尼
Sanfront,桑夫龙特
Acerno,阿切尔诺
Dongo,东戈
Dobbiaco,多比亚科
Delebio,德莱比奥
Cutigliano,库蒂利亚诺
Cupramontana,库普拉蒙塔纳
Crocetta del Montello,克罗切塔德尔蒙泰洛
Courmayeur,库尔马耶乌尔
Corleto Monforte,科尔莱托蒙福尔泰
Cori,科里
Coreglia Antelminelli,科雷利亚安泰尔米内利
Coredo,科雷多
Contigliano,孔蒂利亚诺
Comacchio,科马基奥
Colturano,科尔图拉诺
Coggiola,科焦拉
Coccaglio,科卡廖
Civitella in Val di Chiana,奇维泰拉伊恩瓦尔迪基亚纳
Civezzano,奇韦扎诺
Cittareale,奇塔雷亚莱
Chiusano di San Domenico,基乌萨诺圣多梅尼科
Chiusa,基乌萨
Chitignano,基蒂尼亚诺
Chiesa in Valmalenco,基耶萨伊恩瓦尔马伦科
Chienes,基耶内斯
Chiaramonti,基亚拉蒙蒂
Cetona,切托纳
Cerreto Guidi,切雷托圭迪
Cerreto di Spoleto,切雷托迪斯波莱托
Cernobbio,切尔诺比奥
Cermes,切尔梅斯
Cerchio,切尔基奥
Ceppo Morelli,切波莫雷利
Cavour,卡武尔
Castropignano,卡斯特罗皮尼亚诺
Castiglione a Casauria,卡斯蒂廖内亚卡绍里亚
Castelsardo,卡斯泰尔萨尔多
Castel San Niccolò,卡斯泰尔圣尼科尔奥
Castelnuovo Don Bosco,鮑思高新堡
Castelli,卡斯泰利
Castelfranco di Sopra,卡斯泰尔夫兰科迪索普拉
Castelfranci,卡斯泰尔夫兰奇
Castelforte,卡斯泰尔福尔泰
Castel del Giudice,卡斯泰尔德尔朱迪切
Castel Campagnano,卡斯泰尔坎帕尼亚诺
Casorate Primo,卡索拉泰普里莫
Casciana Terme,卡夏纳泰尔梅
Cascia,卡夏
Casalserugo,卡萨尔塞鲁戈
Casalmorano,卡萨尔莫拉诺
Carlazzo,卡尔拉佐
Caprese Michelangelo,卡普雷塞米开朗基罗
San Candido,圣坎迪多
Rovolon,罗沃隆
Rovello Porro,罗韦洛波罗
Rosolina,罗索利纳
Romano Canavese,罗马诺卡纳韦塞
Romanengo,罗马嫩戈
Riardo,里亚尔多
Revò,雷沃
Rapolano Terme,拉波拉诺泰尔梅
Premana,普雷马纳
Predoi,普雷多伊
Pratovecchio,普拉托韦基奥
Prata di Principato Ultra,普拉塔迪普林奇帕图尔特拉
Prata Camportaccio,普拉塔坎波尔塔乔
Positano,波西塔諾
Posada,波萨达
Porto Ceresio,波尔托切雷肖
Pontevico,蓬泰维科
Pontelatone,蓬泰拉托内
Ponte Gardena,蓬泰加尔德纳
Ponso,蓬索
Pompeii,庞贝
Pomarance,波马兰切
Polla,波拉
Polino,波利诺
Poggio Picenze,波焦皮琴泽
Pimonte,皮蒙泰
Pieve Santo Stefano,皮耶韦桑托斯泰法诺
Pieve Porto Morone,皮耶韦波尔托莫罗内
Pietranico,皮耶特拉尼科
Pienza,皮恩扎
Piedimonte San Germano,皮耶迪蒙泰圣杰尔马诺
Pian di Scò,皮亚恩迪斯克奥
Pernumia,佩尔努米亚
Perca,佩尔卡
Penne,彭内
Pedavena,佩达韦纳
Parcines,帕尔奇内斯
Pancalieri,潘卡列里
Zambana,赞巴纳
Vomero,沃梅罗
Monte Viso,維佐峰
Vipiteno,维皮泰诺
Vinci,芬奇
Villabassa,维拉巴萨
Vicovaro,维科瓦罗
Vermezzo,韦尔梅佐
Velturno,韦尔图尔诺
Vazzola,瓦佐拉
Vaiano,瓦伊阿诺
Tula,圖拉
Tubre,图布雷
Troia,特罗亚
Trezzano Rosa,特雷扎诺罗萨
Trevico,特雷维科
Paestum,帕埃斯图姆
Pacentro,帕琴特罗
Otranto,奧特朗托
Ostra Vetere,奥斯特拉韦泰雷
Ostellato,奥斯泰拉托
Oschiri,奥斯基里
Ortisei,奥尔蒂塞伊
Orsenigo,奥尔塞尼戈
Nulvi,努尔维
Novate Mezzola,诺瓦泰梅佐拉
Nova Ponente,诺瓦波嫩泰
Nova Levante,诺瓦莱万泰
Nonantola,诺南托拉
Naturno,纳图尔诺
Nago-Torbole,纳戈-托尔博莱
Moso in Passiria,莫索因帕西里亚
Monte San Pietro,蒙特圣彼得罗
Monte San Biagio,蒙泰圣比亚焦
Montemagno,蒙泰马尼奥
Isola di Montecristo,基度山
Monte Castello di Vibio,蒙泰卡斯泰洛迪维比奥
Montalcino,蒙达奇诺
Molteno,莫尔泰诺
Molinara,莫利纳拉
Modigliana,莫迪利亚纳
Migliaro,米利亚罗
Migliarino,米利亚里诺
Mezzolombardo,梅佐隆巴尔多
Mesola,梅索拉
Merlara,梅尔拉拉
Meltina,梅尔蒂纳
Massa Martana,马萨马尔塔纳
Marlengo,马尔伦戈
Marciana Marina,马尔恰纳马里纳
Malles Venosta,马莱斯韦诺斯塔
Malcesine,马尔切西内
Maccagno,马卡尼奥
Pantheon,万神庙
Duomo di Milano,米兰主教座堂
Isola Tiberina,台伯岛
Viganella,维加内拉
Castel Sant'Angelo,聖天使城堡
Torre di Pisa,比萨斜塔
Potenza,波坦察
Monte Argentario,蒙泰亚尔真塔廖
Ossuccio,奥苏乔
Grandola ed Uniti,格兰多拉埃杜尼蒂
Ome,奥梅
Reggia di Caserta,卡塞塔王宮
Isola del Giglio,吉廖島
Cavallasca,卡瓦拉斯卡
Usseaux,乌塞亚乌克西
Noviglio,诺维廖
Villandro,维兰德罗
Velia,韦利亚
Verano,韦拉诺
Arch of Constantine,君士坦丁凱旋門
Politecnico di Milano,米蘭理工大學
Santa Maria della Salute,安康圣母圣殿
Pinacoteca di Brera,布雷拉画廊
Santa Maria delle Grazie,恩宠圣母
Palazzo Farnese,法尔内塞宫
Galleria Borghese,博爾蓋塞美術館
La Fenice,鳳凰劇院
Caraffa del Bianco,卡拉法德尔比亚恩科
Candidoni,坎迪多尼
Camini,卡米尼
Calanna,卡兰纳
Bagnara Calabra,巴納拉
Aspromonte,阿斯普羅蒙特山
Zaccanopoli,扎卡诺波利
Taverna,塔韦尔纳
Simbario,辛巴廖
Sersale,塞尔萨莱
Gerocarne,杰罗卡尔内
San Roberto,圣罗贝尔托
San Giovanni di Gerace,圣焦万尼迪杰拉切
Papasidero,帕帕西德罗
Stretto di Messina,墨西拿海峡
Laganadi,拉加纳迪
Floresta,弗洛雷斯塔
Canna,坎纳
Breme,布雷梅
Bovino,博维诺
Badia,巴迪亚
Arquà Petrarca,阿尔库阿佩特拉尔卡
Anfo,安福
Alleghe,阿莱盖
Locate Varesino,洛卡泰瓦雷西诺
Lenna,伦纳
Lei,莱伊
Lauregno,劳雷尼奥
La Salle,拉萨莱
Canal Grande,大运河
Gorga,戈尔加
Gerosa,杰罗萨
Germagnano,杰尔马尼亚诺
Frassinoro,弗拉西诺罗
Ferno,费尔诺
Trastevere,特拉斯提弗列
Torcello,托爾切洛島
Tires,蒂雷斯
Tenno,滕诺
Teana,泰亚纳
Tarano,塔拉诺
Taceno,塔切诺
Basilica di Superga,苏佩尔加圣殿
Stroncone,斯特龙科内
Stienta,斯蒂耶恩塔
Sillano,西拉诺
Castello Sforzesco,斯福尔扎城堡
Scopello,斯科佩洛
Sassetta,萨塞塔
Saracinesco,萨拉奇内斯科
Santa Giustina in Colle,圣朱斯蒂纳伊恩科莱
Basilica of Santa Croce,圣十字圣殿
San Rufo,圣鲁福
San Pietro Viminario,圣皮耶特罗维米纳廖
San Piero a Sieve,圣皮耶罗阿谢韦
San Leucio,聖萊烏喬建築群
Dignano,迪尼亚诺
Corvara in Badia,科尔瓦拉伊恩巴迪亚
Comerio,科梅廖
Collazzone,科拉佐内
Citerna,奇泰尔纳
Ceneselli,切内塞利
Carro,卡罗
Carona,卡罗纳
Salle,萨莱
Rovagnate,罗瓦尼亚泰
Radicondoli,拉迪孔多利
Pratella,普拉泰拉
Piegaro,皮耶加罗
Pennabilli,彭纳比利
Villa Basilica,维拉巴西利卡
Vescovana,韦斯科瓦纳
Vallerotonda,瓦莱罗通达
Otricoli,奥特里科利
Murlo,穆尔洛
Monteleone Sabino,蒙泰莱奥内萨比诺
Montechiarugolo,蒙泰基亚鲁戈洛
Castel del Monte,蒙特城堡
Mercallo,梅尔卡洛
Maslianico,马斯利亚尼科
Manarola,马纳罗拉
Luzzana,卢扎纳
Lusiana,卢夏纳
Lugnano in Teverina,卢尼亚诺因泰韦里纳
Lorenzana,洛伦扎纳
Fontana dei Quattro Fiumi,四河喷泉
Palazzo Vecchio,旧宫
Palazzo Pitti,彼提宫
Piazza dei Miracoli,奇迹广场
Rostra,演讲台
Piazza Navona,纳沃纳广场
Ara Pacis,和平祭坛博物馆
Ponte Vecchio,老桥
Saonara,绍纳拉
Bussero,布塞罗
Chamois,卡莫伊斯
Merone,梅罗内
Cadegliano-Viconago,卡德利亚诺-维科纳戈
Castelveccana,卡斯泰尔韦卡纳
San Fermo della Battaglia,圣费尔莫德拉巴塔利亚
Faloppio,法洛皮奥
Mezzegra,梅泽格拉
Castione Andevenno,卡斯蒂奥内亚恩德文诺
Papozze,帕波泽
Terrassa Padovana,泰拉萨帕多瓦纳
Zeri,泽里
Bigarello,比加雷洛
Samolaco,萨莫拉科
Monte Isola,蒙泰伊索拉
Concei,孔切伊
Fiumara,菲乌马拉
Castello di Brianza,卡斯泰洛迪布里亚恩扎
Gorla Minore,戈尔拉米诺雷
Civenna,奇文纳
Germasino,杰尔马西诺
Dresano,德雷萨诺
Marcignago,马尔奇尼亚戈
Spinadesco,斯皮纳德斯科
Buguggiate,布古贾泰
Cuveglio,库韦廖
Monvalle,蒙瓦莱
Cucciago,库恰戈
Borgarello,博尔加雷洛
Pinarolo Po,皮纳罗洛波
Felonica,费洛尼卡
Villa Poma,维拉波马
Bezzecca,贝泽卡
Cantalupa,坎塔卢帕
Cassago Brianza,卡萨戈布里亚恩扎
Pasturo,帕斯图罗
Perego,佩雷戈
Pescate,佩斯卡泰
Rogeno,罗杰诺
Sirtori,西尔托里
Suello,苏埃洛
Stefanaconi,斯泰法纳科尼
Boara Pisani,博阿拉皮萨尼
Lisciano Niccone,利夏诺尼科内
Campo Calabro,坎波卡拉布罗
Cesana Brianza,切萨纳布里亚恩扎
Cremella,克雷梅拉
Dolzago,多尔扎戈
Sirone,西罗内
Tavernerio,塔韦尔内廖
Valmorea,瓦尔莫雷亚
Torre Pallavicina,托雷帕拉维奇纳
Santa Sabina,聖撒比納聖殿
Certosa di Padula,帕杜拉的嘉都西會修院
Autodromo Nazionale Monza,蒙扎国家赛车场
Piazza Venezia,威尼斯廣場
Piazza del Popolo,人民广场
Scala Sancta,圣阶
Santa Croce in Gerusalemme,耶路撒冷聖十字聖殿
Villa Borghese,博爾蓋塞別墅
Santa Maria del Popolo,人民圣母圣殿
Santa Maria sopra Minerva,神庙遗址圣母堂
Santa Maria in Aracoeli,天坛圣母堂
Palazzo Barberini,巴贝里尼宫
Orsanmichele,佛罗伦萨圣弥额尔教堂
Palazzo Medici Riccardi,美第奇-里卡迪宫
Biblioteca Ambrosiana,盎博罗削图书馆
Piazza della Signoria,领主广场
Villa Romana del Casale,卡薩爾的古羅馬別墅
Campo Marzio,战神广场
Mole Antonelliana,安托内利尖塔
Ligurian Sea,利古里亞海
