stefano cerioni,스테파노 체리오니,seutepano cerioni
fabio quagliarella,파비오 콸리아렐라,pabio kwalriarelra
giampiero boniperti,잠피에로 보니페르티,jampiero bonipereuti
felice borel,펠리체 보렐,pelrice borel
francesca piccinini,프란체스카 피치니니,peuranceseuka picinini
daniel bovet,다니엘 보베,daniel bobe
maria montessori,마리아 몬테소리,maria montesori
alberto ascari,알베르토 아스카리,albereuto aseukari
totò,토토,toto
leo franco,레오나르도 프랑코,reonareudo peurangko
matteo renzi,마테오 렌치,mateo renci
pier luigi bersani,피에르 루이지 베르사니,piereu ruiji bereusani
vittorio hösle,비토리오 회슬레,bitorio hoeseulre
tommaso rocchi,톰마소 로키,tommaso roki
karin schubert,카린 슈베르트,karin syubereuteu
riccardo scamarcio,리카르도 스카마르초,rikareudo seukamareuco
fabrizio miccoli,파브리치오 미콜리,pabeuricio mikolri
mauro icardi,마우로 이카르디,mauro ikareudi
marco di vaio,마르코 디 바이오,mareuko di baio
massimo d'alema,마시모 달레마,masimo dalrema
beppe grillo,베페 그릴로,bepe geurilro
gian maria volonté,잔 마리아 볼론테,jan maria bolronte
giuliano razzoli,줄리아노 라촐리,julriano racolri
andrea agnelli,안드레아 아녤리,andeurea anyelri
giuseppe sinopoli,주세페 시노폴리,jusepe sinopolri
marco donadel,마르코 도나델,mareuko donadel
stefano mauri,스테파노 마우리,seutepano mauri
masolino da panicale,마솔리노 다 파니칼레,masolrino da panikalre
claudio abbado,클라우디오 아바도,keulraudio abado
stefano fiore,스테파노 피오레,seutepano piore
federico fellini,페데리코 펠리니,pederiko pelrini
giovanna mezzogiorno,조반나 메초조르노,jobanna mecojoreuno
alfred duncan,앨프리드 덩컨,aelpeurideu deongkeon
gian francesco malipiero,잔 프란체스코 말리피에로,jan peuranceseuko malripiero
rodolfo graziani,로돌포 그라치아니,rodolpo geuraciani
arturo benedetti michelangeli,아르투로 베네데티 미켈란젤리,areuturo benedeti mikelranjelri
edoardo ponti,에도아르도 폰티,edoareudo ponti
christof innerhofer,크리스토프 이너호퍼,keuriseutopeu ineohopeo
vittorio mezzogiorno,비토리오 메초조르노,bitorio mecojoreuno
riccardo montolivo,리카르도 몬톨리보,rikareudo montolribo
walter veltroni,발테르 벨트로니,baltereu belteuroni
alberto sordi,알베르토 소르디,albereuto soreudi
livio berruti,리비오 베루티,ribio beruti
giorgio bassani,조르조 바사니,joreujo basani
enzo mari,엔초 마리,enco mari
primo levi,프리모 레비,peurimo rebi
gianluca pessotto,잔루카 페소토,janruka pesoto
gianni morandi,잔니 모란디,janni morandi
eugenio calabi,에우제니오 칼라비,eujenio kalrabi
sara simeoni,사라 시메오니,sara simeoni
pietro mennea,피에트로 멘네아,pieteuro mennea
roberto mancini,로베르토 만치니,robereuto mancini
mario monti,마리오 몬티,mario monti
enzo maresca,엔초 마레스카,enco mareseuka
andrea stramaccioni,안드레아 스트라마초니,andeurea seuteuramaconi
vittorio pozzo,비토리오 포초,bitorio poco
jonas gonçalves oliveira,조나스 곤사우베스 올리베이라,jonaseu gonsaubeseu olribeira
enrico fermi,엔리코 페르미,enriko pereumi
dino baggio,디노 바조,dino bajo
carla bruni,카를라 브루니,kareulra beuruni
parmigianino,파르미자니노,pareumijanino
giulio andreotti,줄리오 안드레오티,julrio andeureoti
gae aulenti,가에 아울렌티,gae aulrenti
michael bublé,마이클 부블레,maikeul bubeulre
pablo piatti,파블로 피아티,pabeulro piati
ivan rassimov,이반 라시모프,iban rasimopeu
oriana fallaci,오리아나 팔라치,oriana palraci
alcide de gasperi,알치데 데 가스페리,alcide de gaseuperi
eros ramazzotti,에로스 라마초티,eroseu ramacoti
piero gros,피에로 그로스,piero geuroseu
gianfranco zola,잔프랑코 졸라,janpeurangko jolra
vittorio de sica,비토리오 데 시카,bitorio de sika
roberto rossellini,로베르토 로셀리니,robereuto roselrini
frank capra,프랭크 캐프라,peuraengkeu kaepeura
alessandro blasetti,알레산드로 블라세티,alresandeuro beulraseti
pietro germi,피에트로 제르미,pieteuro jereumi
cristian zaccardo,크리스티안 차카르도,keuriseutian cakareudo
italo calvino,이탈로 칼비노,italro kalbino
luca castellazzi,루카 카스텔라치,ruka kaseutelraci
giuseppe pella,주세페 펠라,jusepe pelra
norberto bobbio,노르베르토 보비오,noreubereuto bobio
ferruccio tagliavini,페루치오 탈리아비니,perucio talriabini
eduardo de filippo,에두아르도 드 필리포,eduareudo deu pilripo
francesco coco,프란체스코 코코,peuranceseuko koko
silvio berlusconi,실비오 베를루스코니,silbio bereulruseukoni
renato corsetti,레나토 코르세티,renato koreuseti
umberto eco,움베르토 에코,umbereuto eko
luigi comencini,루이지 코멘치니,ruiji komencini
danny quinn,대니 퀸,daeni kwin
marco bellocchio,마르코 벨로키오,mareuko belrokio
bernardo bertolucci,베르나르도 베르톨루치,bereunareudo bereutolruci
giovanna trillini,조반나 트릴리니,jobanna teurilrini
dario argento,다리오 아르젠토,dario areujento
pietro da cortona,피에트로 다 코르토나,pieteuro da koreutona
luigi delneri,루이지 델네리,ruiji delneri
giorgio de chirico,조르조 데 키리코,joreujo de kiriko
giorgio armani,조르조 아르마니,joreujo areumani
primo carnera,프리모 카르네라,peurimo kareunera
julius evola,율리우스 에볼라,yulriuseu ebolra
guido pizarro,기도 피사로,gido pisaro
giuseppe signori,주세페 시뇨리,jusepe sinyori
gian lorenzo bernini,잔 로렌초 베르니니,jan rorenco bereunini
felix silla,펠릭스 실라,pelrigseu silra
alberto moravia,알베르토 모라비아,albereuto morabia
javier mascherano,하비에르 마스체라노,habiereu maseucerano
colin firth,콜린 퍼스,kolrin peoseu
giorgio perlasca,조르조 페를라스카,joreujo pereulraseuka
sandro salvadore,산드로 살바도레,sandeuro salbadore
angelo scola,안젤로 스콜라,anjelro seukolra
sonia gandhi,소냐 간디,sonya gandi
giovanni goria,조반니 고리아,jobanni goria
andrea dotti,안드레아 도티,andeurea doti
angelo domenghini,안젤로 도멘기니,anjelro domengini
giorgia meloni,조르자 멜로니,joreuja melroni
angelino alfano,안젤리노 알파노,anjelrino alpano
eraldo monzeglio,에랄도 몬첼리오,eraldo moncelrio
ugo locatelli,우고 로카텔리,ugo rokatelri
stephan el shaarawy,스테판 엘 샤라위,seutepan el syarawi
arturo toscanini,아르투로 토스카니니,areuturo toseukanini
nanni loy,난니 로이,nanni roi
marco ferreri,마르코 페레리,mareuko pereri
franco frattini,프랑코 프라티니,peurangko peuratini
enrico bombieri,엔리코 봄비에리,enriko bombieri
luchino visconti,루키노 비스콘티,rukino biseukonti
mario monicelli,마리오 모니첼리,mario monicelri
beniamino gigli,베니아미노 질리,beniamino jilri
gianni vattimo,잔니 바티모,janni batimo
alex schwazer,알렉스 슈바처,alregseu syubaceo
gillo pontecorvo,질로 폰테코르보,jilro pontekoreubo
maurizio pollini,마우리치오 폴리니,mauricio polrini
hernán crespo,에르난 크레스포,ereunan keureseupo
luigi nono,루이지 노노,ruiji nono
luigi dallapiccola,루이지 달라피콜라,ruiji dalrapikolra
cecilia bartoli,체칠리아 바르톨리,cecilria bareutolri
sergio leone,세르조 레오네,sereujo reone
alfredo casella,알프레도 카셀라,alpeuredo kaselra
lino ventura,리노 벤투라,rino bentura
lorenzo buffon,로렌초 부폰,rorenco bupon
marco verratti,마르코 베라티,mareuko berati
marco motta,마르코 모타,mareuko mota
luciano tajoli,루치아노 타욜리,ruciano tayolri
alba parietti,알바 파리에티,alba parieti
amedeo di savoiaaosta,아메데오 디 사보이아아오스타,amedeo di saboiaaoseuta
ennio morricone,엔니오 모리코네,ennio morikone
achille varzi,아킬레 바르치,akilre bareuci
stefano okaka,스테파노 오카카,seutepano okaka
gabriel paletta,가브리엘 팔레타,gabeuriel palreta
andy selva,안디 셀바,andi selba
dalida,달리다,dalrida
enrico chiesa,엔리코 키에사,enriko kiesa
anna maria ferrero,안나 마리아 페레로,anna maria perero
barbara bouchet,바르바라 부셰,bareubara busye
francesco totti,프란체스코 토티,peuranceseuko toti
roberto benigni,로베르토 베니니,robereuto benini
patrick thaler,파트리크 탈러,pateurikeu talreo
enrico berlinguer,엔리코 베를링구에르,enriko bereulringguereu
elisa,엘리사,elrisa
paulo dybala,파울로 디발라,paulro dibalra
ornella muti,오르넬라 무티,oreunelra muti
nanni moretti,난니 모레티,nanni moreti
fabrizio de andré,파브리지오 데 안드레,pabeurijio de andeure
pier paolo pasolini,피에르 파올로 파솔리니,piereu paolro pasolrini
antonio di natale,안토니오 디 나탈레,antonio di natalre
edinson cavani,에딘손 카바니,edinson kabani
cesare danova,체사레 다노바,cesare danoba
alessandro altobelli,알레산드로 알토벨리,alresandeuro altobelri
axel braun,액설 브론,aegseol beuron
christian panucci,크리스티안 파누치,keuriseutian panuci
paolo pulici,파올로 풀리치,paolro pulrici
massimo girotti,마시모 지로티,masimo jiroti
lucio dalla,루초 달라,ruco dalra
davide astori,다비데 아스토리,dabide aseutori
artemio franchi,아르테미오 프란키,areutemio peuranki
armin zöggeler,아르민 최겔러,areumin coegelreo
gianluca curci,잔루카 쿠르치,janruka kureuci
matteo ferrari,마테오 페라리,mateo perari
violante placido,비올란테 플라치도,biolrante peulracido
franco battiato,프랑코 바티아토,peurangko batiato
carlo carrà,카를로 카라,kareulro kara
alessio cerci,알레시오 체르치,alresio cereuci
domenico berardi,도메니코 베라르디,domeniko berareudi
carlo lizzani,카를로 리차니,kareulro ricani
alessandro puccini,알레산드로 푸치니,alresandeuro pucini
martina valcepina,마르티나 발체피나,mareutina balcepina
francesca archibugi,프란체스카 아르키부지,peuranceseuka areukibuji
antonio conte,안토니오 콘테,antonio konte
sandro cuomo,산드로 쿠오모,sandeuro kuomo
cristiano doni,크리스티아노 도니,keuriseutiano doni
valentino mazzola,발렌티노 마촐라,balrentino macolra
ezio pinza,에치오 핀차,ecio pinca
nicolas vaporidis,니콜라스 바포리디스,nikolraseu baporidiseu
giovanni benelli,조반니 베넬리,jobanni benelri
laura morante,라우라 모란테,raura morante
marco galiazzo,마르코 갈리아초,mareuko galriaco
nicola cabibbo,니콜라 카비보,nikolra kabibo
francesco quinn,프란체스코 퀸,peuranceseuko kwin
ruggero deodato,루제로 데오다토,rujero deodato
francesca comencini,프란체스카 코멘치니,peuranceseuka komencini
piero cappuccilli,피에로 카푸칠리,piero kapucilri
nicola sansone,니콜라 산소네,nikolra sansone
laura pausini,라우라 파우시니,raura pausini
marco marchionni,마르코 마르키오니,mareuko mareukioni
mario andretti,마리오 안드레티,mario andeureti
bruno maderna,브루노 마데르나,beuruno madereuna
gianpiero combi,잔피에로 콤비,janpiero kombi
pietro vierchowod,피에트로 비에르코보드,pieteuro biereukobodeu
ivan zaytsev,이반 자이체브,iban jaicebeu
rahman rezaei,라만 레자에이,raman rejaei
nicole grimaudo,니콜 그리마우도,nikol geurimaudo
ciro immobile,치로 임모빌레,ciro immobilre
roberto cavalli,로베르토 카발리,robereuto kabalri
sandro munari,산드로 무나리,sandeuro munari
mark iuliano,마르크 율리아노,mareukeu yulriano
daniele massaro,다니엘레 마사로,danielre masaro
aristide guarneri,아리스티데 과르네리,ariseutide gwareuneri
alcides ghiggia,알시데스 기지아,alsideseu gijia
alberico evani,알베리고 에바니,alberigo ebani
marisa merlini,마리사 메를리니,marisa mereulrini
lorenzo ariaudo,로렌초 아리아우도,rorenco ariaudo
marina massironi,마리나 마시로니,marina masironi
don backy,돈 백키,don baegki
dino grandi,디노 그란디,dino geurandi
gabriele oriali,가브리엘레 오리알리,gabeurielre orialri
guido celano,구이도 첼라노,guido celrano
patrizia panico,파트리치아 파니코,pateuricia paniko
aldo moro,알도 모로,aldo moro
mauro nespoli,마우로 네스폴리,mauro neseupolri
battista farina,바티스타 파리나,batiseuta parina
ivano brugnetti,이바노 브루녜티,ibano beurunyeti
carolina morace,카롤리나 모라체,karolrina morace
serge reggiani,세르주 레지아니,sereuju rejiani
stefania rocca,스테파니아 로카,seutepania roka
cristian stellini,크리스티안 스텔리니,keuriseutian seutelrini
aldo serena,알도 세레나,aldo serena
anna galiena,안나 갈리에나,anna galriena
andrea costa,안드레아 코스타,andeurea koseuta
alberto bigon,알베르토 비곤,albereuto bigon
amedeo carboni,아메데오 카르보니,amedeo kareuboni
amedeo biavati,아메데오 비아바티,amedeo biabati
amedeo amadei,아메데오 아마데이,amedeo amadei
massimiliano allegri,마시밀리아노 알레그리,masimilriano alregeuri
nereo rocco,네레오 로코,nereo roko
amedeo nazzari,아메데오 나자리,amedeo najari
nicola berti,니콜라 베르티,nikolra bereuti
ederson honorato campos,이데르송 오노라투 캄푸스,idereusong onoratu kampuseu
isa miranda,이사 미란다,isa miranda
luca calvani,루카 칼바니,ruka kalbani
mario carotenuto,마리오 카로테누토,mario karotenuto
enrico glori,엔리코 글로리,enriko geulrori
attilio ferraris,아틸리오 페라리스,atilrio perariseu
nicolás pareja,니콜라스 파레하,nikolraseu pareha
gianni agnelli,잔니 아녤리,janni anyelri
bruno conti,브루노 콘티,beuruno konti
davide faraoni,다비데 파라오니,dabide paraoni
filippo timi,필리포 티미,pilripo timi
danny huston,대니 휴스턴,daeni hyuseuteon
miguel bosé,미겔 보세,migel bose
enrico letta,엔리코 레타,enriko reta
edoardo gabbriellini,에도아도 가브리엘리니,edoado gabeurielrini
miriam leone,미리암 레오네,miriam reone
silvio orlando,실비오 올란도,silbio olrando
fábio deivson lopes maciel,파비우 데이비송 로페스 마시에우,pabiu deibisong ropeseu masieu
massimiliano gallo,마시밀라노 갈로,masimilrano galro
armando castellazzi,아르만도 카스텔라치,areumando kaseutelraci
salvator rosa,살바토르 로사,salbatoreu rosa
charles ponzi,찰스 폰지,calseu ponji
dario marianelli,다리오 마리아넬리,dario marianelri
victor de sabata,빅토르 데 사바타,bigtoreu de sabata
giulio base,줄리오 바세,julrio base
bruno zumino,브루노 추미노,beuruno cumino
ennio fantastichini,엔니오 판타스티키니,ennio pantaseutikini
pierfrancesco favino,피에르프란체스코 파비노,piereupeuranceseuko pabino
johnny dorelli,조니 도렐리,joni dorelri
lorenzo minotti,로렌초 미노티,rorenco minoti
carlo ginzburg,카를로 긴츠부르그,kareulro ginceubureugeu
franco causio,프란코 카우시오,peuranko kausio
susanna driano,수산나 드리아노,susanna deuriano
vittorio gregotti,비토리오 그레고티,bitorio geuregoti
armando picchi,아르만도 피키,areumando piki
eva grimaldi,에바 그리말디,eba geurimaldi
ugo ferrante,우고 페란테,ugo perante
francesco graziani,프란체스코 그라치아니,peuranceseuko geuraciani
matteo brighi,마테오 브리기,mateo beurigi
giovanni sartori,조반니 사르토리,jobanni sareutori
carlos diogo,카를로스 디오고,kareulroseu diogo
jádson,자드송,jadeusong
francesco barilli,프란체스코 바릴리,peuranceseuko barilri
giuliano gemma,줄리아노 젬마,julriano jemma
elsa schiaparelli,엘사 스키아파렐리,elsa seukiaparelri
riccardo cucciolla,리카르도 쿠치올라,rikareudo kuciolra
gino cervi,지노 세르비,jino sereubi
gaetano de sanctis,가에타노 데 산크티스,gaetano de sankeutiseu
alessandro lambruschini,알레산드로 람브루스키니,alresandeuro rambeuruseukini
gazebo,가체보,gacebo
gabriele ferzetti,가브리엘레 페르제티,gabeurielre pereujeti
fernando de napoli,페르난도 데 나폴리,pereunando de napolri
vincent gardenia,빈센트 가데니아,binsenteu gadenia
dalila di lazzaro,달리아 디 라자로,dalria di rajaro
michele scarponi,미켈레 스카르포니,mikelre seukareuponi
giorgio chinaglia,조르조 키날리아,joreujo kinalria
tito gobbi,티토 고비,tito gobi
anna falchi,안나 팰치,anna paelci
elsa martinelli,엘사 마르티넬리,elsa mareutinelri
carlo ancelotti,카를로 안첼로티,kareulro ancelroti
paoletta magoni,파올레타 마고니,paolreta magoni
vittorio storaro,비토리오 스토라로,bitorio seutoraro
roberto regazzi,로베르토 레가찌,robereuto regajji
leo gullotta,레오 굴로타,reo gulrota
massimo ranieri,마시모 라니에리,masimo ranieri
chiara cainero,키아라 카이네로,kiara kainero
scilla gabel,쉴라 가벨,swilra gabel
elio vittorini,엘리오 비토리니,elrio bitorini
carla gravina,카를라 그라비나,kareulra geurabina
gabry ponte,가브리 폰테,gabeuri ponte
valerio massimo manfredi,발레리오 마시모 만프레디,balrerio masimo manpeuredi
alessandra amoroso,알레산드라 아모로소,alresandeura amoroso
naike rivelli,나이케 리벨리,naike ribelri
luigi lo cascio,루이지 로 카시오,ruiji ro kasio
alessandro haber,알레산드로 하버,alresandeuro habeo
roberto herlitzka,로베르토 에를리츠카,robereuto ereulriceuka
carlo molfetta,카를로 몰페타,kareulro molpeta
dionigi tettamanzi,디오니지 테타만치,dioniji tetamanci
sal borgese,살바토레 보르게스,salbatore boreugeseu
adolfo baloncieri,아돌포 발론치에리,adolpo balroncieri
adolfo celi,아돌포 셀리,adolpo selri
adolfo consolini,아돌포 콘솔리니,adolpo konsolrini
alberto cova,알베르토 코바,albereuto koba
giuliana de sio,줄리아나 데 시오,julriana de sio
claudia gerini,클라우디아 제리니,keulraudia jerini
franco maria malfatti,프란코 마리아 말파티,peuranko maria malpati
alfredo foni,알프레도 포니,alpeuredo poni
antonio cassano,안토니오 카사노,antonio kasano
enzo ferrari,엔초 페라리,enco perari
vittorio emanuele di savoia,비토리오 에마누엘레 디 사보이아,bitorio emanuelre di saboia
ferruccio parri,페루초 파리,peruco pari
vittorio caprioli,비토리오 카프리올리,bitorio kapeuriolri
paolo villaggio,파올로 빌라조,paolro bilrajo
gian piero gasperini,잔 피에로 가스페리니,jan piero gaseuperini
massimiliano rosolino,마시밀리아노 로솔리노,masimilriano rosolrino
francesco guidolin,프란체스코 구이돌린,peuranceseuko guidolrin
lina sastri,리나 사스트리,rina saseuteuri
claudio marchisio,클라우디오 마르키시오,keulraudio mareukisio
artur moraes,아르투르 모라이스,areutureu moraiseu
dante spinotti,단테 스피노티,dante seupinoti
guglielmo stendardo,굴리엘모 스텐다르도,gulrielmo seutendareudo
joe manganiello,조 맹거넬로,jo maenggeonelro
johnny torrio,조니 토리오,joni torio
fulvio collovati,풀비오 콜로바티,pulbio kolrobati
al cliver,알 클리버,al keulribeo
ave ninchi,아브 닌치,abeu ninci
daria nicolodi,다리아 니콜로디,daria nikolrodi
mariacarla boscono,마리아카를라 보스코노,mariakareulra boseukono
gianfranco ferré,잔프랑코 페레,janpeurangko pere
gianni amelio,잔니 아멜리오,janni amelrio
giacomo rossi stuart,자코모 로시 스튜어트,jakomo rosi seutyueoteu
toti dal monte,토티 달 몬테,toti dal monte
dino zoff,디노 초프,dino copeu
lisa gastoni,리사 가스토니,risa gaseutoni
manuel pasqual,마누엘 파스콸,manuel paseukwal
virginio rosetta,비르지니오 로세타,bireujinio roseta
luigi allemandi,루이지 알레만디,ruiji alremandi
renato izzo,레나토 이초,renato ico
tommaso padoaschioppa,톰마소 파도아스키오파,tommaso padoaseukiopa
fabiano caruana,파비아노 카루아나,pabiano karuana
mario scelba,마리오 셸바,mario syelba
paola pitagora,파올라 피타고라,paolra pitagora
gigi proietti,지지 프로이에티,jiji peuroieti
salvo randone,살보 란도네,salbo randone
elena sofia ricci,엘레나 소피아 리치,elrena sopia rici
antonio stradivari,안토니오 스트라디바리,antonio seuteuradibari
daniela giordano,다니엘라 조르다노,danielra joreudano
alberto gilardino,알베르토 질라르디노,albereuto jilrareudino
alfredo ottaviani,알프레도 오타비아니,alpeuredo otabiani
bernardo corradi,베르나르도 코라디,bereunareudo koradi
leopoldo trieste,레오폴도 트리에스테,reopoldo teurieseute
marco sau,마르코 사우,mareuko sau
claudio baglioni,클라우디오 발리오니,keulraudio balrioni
massimo serato,마시모 세라토,masimo serato
gianluca zambrotta,잔루카 참브로타,janruka cambeurota
monica guerritore,모니카 구에리토레,monika gueritore
bruno sammartino,브루노 삼마르티노,beuruno sammareutino
piero sraffa,피에로 스라파,piero seurapa
walter mazzarri,발테르 마차리,baltereu macari
giovanni lombardo radice,조반니 롬바르도 라디체,jobanni rombareudo radice
giuseppe siri,주세페 시리,jusepe siri
paolo negro,파올로 네그로,paolro negeuro
clemente russo,클레멘테 루소,keulremente ruso
ettore bastico,에토레 바스티코,etore baseutiko
mauricio macri,마우리시오 마크리,maurisio makeuri
fabio capello,파비오 카펠로,pabio kapelro
ivano bordon,이바노 보르돈,ibano boreudon
rita levimontalcini,리타 레비몬탈치니,rita rebimontalcini
riccardo chailly,리카르도 샤이,rikareudo syai
moreno torricelli,모레노 토리첼리,moreno toricelri
lorella de luca,로렐라 데 루카,rorelra de ruka
daniele dessena,다니엘레 데세나,danielre desena
valerio adami,발레리오 아다미,balrerio adami
bruno nicolai,브루노 니콜라이,beuruno nikolrai
roberto maroni,로베르토 마로니,robereuto maroni
ferruccio novo,페루초 노보,peruco nobo
fabiano santacroce,파비아노 산타크로체,pabiano santakeuroce
gustavo petro,구스타보 페트로,guseutabo peteuro
marino marini,마리노 마리니,marino marini
marco materazzi,마르코 마테라치,mareuko materaci
luca toni,루카 토니,ruka toni
riccardo giacconi,리카르도 자코니,rikareudo jakoni
diego lugano,디에고 루가노,diego rugano
amy adams,에이미 아담스,eimi adamseu
franco moschino,프랭코 모스키노,peuraengko moseukino
paolo maldini,파올로 말디니,paolro maldini
benito lorenzi,베니토 로렌치,benito rorenci
annibale bugnini,안니발레 부니니,annibalre bunini
francesco antonioli,프란체스코 안토니올리,peuranceseuko antoniolri
luca marrone,루카 마로네,ruka marone
carlo rubbia,카를로 루비아,kareulro rubia
francesca schiavone,프란체스카 스키아보네,peuranceseuka seukiabone
pierluigi collina,피에를루이지 콜리나,piereulruiji kolrina
adriana asti,아드리아나 아스티,adeuriana aseuti
paolo sorrentino,파올로 소렌티노,paolro sorentino
roberto tricella,로베르토 트리첼라,robereuto teuricelra
giuseppe milano,주세페 밀라노,jusepe milrano
toto cutugno,토토 쿠투뇨,toto kutunyo
fabio lione,파비오 리오네,pabio rione
gianpiero marini,잠피에로 마리니,jampiero marini
rik battaglia,릭 바탈리아,rig batalria
enrico dante,엔리코 단테,enriko dante
massimo ambrosini,마시모 암브로시니,masimo ambeurosini
christian vieri,크리스티안 비에리,keuriseutian bieri
reinhold messner,라인홀트 메스너,rainholteu meseuneo
giovanni arrighi,조반니 아리기,jobanni arigi
stefano tacconi,스테파노 타코니,seutepano takoni
michael agazzi,미카엘 아가치,mikael agaci
