jérôme rothen,热罗姆·罗滕,rè luó mǔ · luó téng
simone de beauvoir,西蒙·德·波娃,xī méng · dé · bō wá
alfred sauvy,阿尔弗雷德·索维,ā ěr fú léi dé · suǒ wéi
françois quesnay,弗朗索瓦·魁奈,fú lǎng suǒ wǎ · kuí nài
renaud lavillenie,雷诺·拉维莱涅,léi nuò · lā wéi lái niè
charles aznavour,夏尔·阿兹纳武尔,xià ěr · ā zī nà wǔ ěr
daniel balavoine,丹尼尔·巴拉瓦纳,dān ní ěr · bā lā wǎ nà
marcel proust,马塞尔·普鲁斯特,mǎ sāi ěr · pǔ lǔ sī tè
nicolas leblanc,尼古拉斯·勒布朗,ní gǔ lā sī · lè bù lǎng
marieanne pierrette paulze,玛丽安娜·波尔兹·拉瓦锡,mǎ lì ān nà · bō ěr zī · lā wǎ xī
charles messier,夏尔·梅西耶,xià ěr · méi xī yē
wahbi khazri,瓦赫比·哈兹里,wǎ hè bǐ · hā zī lǐ
lucien gaudin,吕西安·戈丹,lǚ xī ān · gē dān
gustave courbet,古斯塔夫·库尔贝,gǔ sī tǎ fū · kù ěr bèi
georges trombert,乔治·特龙贝尔,qiáo zhì · tè lóng bèi ěr
henri jobier,亨利·若比尔,hēng lì · ruò bǐ ěr
robert delaunay,罗伯特·德劳内,luó bǎi tè · dé láo nèi
louis antoine de saintjust,路易·安托万·德·圣茹斯特,lù yì · ān tuō wàn · dé · shèng rú sī tè
georges seurat,乔治·秀拉,qiáo zhì · xiù lā
corentin martins,科伦丁·马丁斯,kē lún dīng · mǎ dīng sī
hugo lloris,雨果·洛里斯,yǔ guǒ · luò lǐ sī
mathieu debuchy,马修·德比希,mǎ xiū · dé bǐ xī
igor stravinsky,伊戈尔·斯特拉文斯基,yī gē ěr · sī tè lā wén sī jī
robert schuman,罗贝尔·舒曼,luó bèi ěr · shū màn
tristan tzara,卓斯坦·查拉,zhuó sī tǎn · chá lā
adil rami,阿迪尔·拉米,ā dí ěr · lā mǐ
albert camus,阿尔贝·加缪,ā ěr bèi · jiā miù
brigitte bardot,碧姬·芭杜,bì jī · bā dù
jean françaix,尚·凡赛,shàng · fán sài
nicolas appert,尼古拉·阿佩尔,ní gǔ lā · ā pèi ěr
yohan cabaye,约翰·卡巴耶,yuē hàn · kǎ bā yē
joseph bonaparte,约瑟夫·波拿巴,yuē sè fū · bō ná bā
louis bonaparte,路易·波拿巴,lù yì · bō ná bā
olivier giroud,奥利弗·吉鲁,ào lì fú · jí lǔ
samuel beckett,萨缪尔·贝克特,sà miù ěr · bèi kè tè
laurent blanc,罗伦特·白兰斯,luó lún tè · bái lán sī
zinédine zidane,齐内丁·齐达内,qí nèi dīng · qí dá nèi
irène joliotcurie,伊雷娜·约里奥居里,yī léi nà · yuē lǐ ào jū lǐ
paul cézanne,保罗·塞尚,bǎo luó · sāi shàng
pierre curie,皮埃尔·居里,pí āi ěr · jū lǐ
florent malouda,弗洛朗·马卢达,fú luò lǎng · mǎ lú dá
karim benzema,卡里姆·本泽马,kǎ lǐ mǔ · běn zé mǎ
henri barbusse,亨利·巴比塞,hēng lì · bā bǐ sāi
auguste renoir,皮埃尔奥古斯特·雷诺阿,pí āi ěr ào gǔ sī tè · léi nuò ā
jonathan schmid,若纳坦·施密德,ruò nà tǎn · shī mì dé
jeanmarc ayrault,让马克·埃罗,ràng mǎ kè · āi luó
amédée fournier,阿梅代·富尼耶,ā méi dài · fù ní yē
fernandel,费南代尔,fèi nán dài ěr
joseph gallieni,约瑟夫·加列尼,yuē sè fū · jiā liè ní
laurent koscielny,罗伦·哥斯尼,luó lún · gē sī ní
nadar,纳达尔,nà dá ěr
henri becquerel,亨利·贝克勒,hēng lì · bèi kè lè
roger martin du gard,罗杰·马丁·杜·加尔,luó jié · mǎ dīng · dù · jiā ěr
boris vian,鲍希斯·维昂,bào xī sī · wéi áng
paul gauguin,保罗·高更,bǎo luó · gāo gèng
édouard manet,爱德华·马奈,ài dé huá · mǎ nài
michel ney,米歇尔·内伊,mǐ xiē ěr · nèi yī
patrice évra,帕特里斯·埃夫拉,pà tè lǐ sī · āi fū lā
philippe mexès,菲利普·梅克斯,fēi lì pǔ · méi kè sī
franck ribéry,弗兰克·里贝里,fú lán kè · lǐ bèi lǐ
alfred jarry,阿尔弗雷德·雅里,ā ěr fú léi dé · yǎ lǐ
sébastien loeb,塞巴斯蒂安·勒布,sāi bā sī dì ān · lè bù
jules hardouinmansart,朱尔·阿杜安芒萨尔,zhū ěr · ā dù ān máng sà ěr
mathieu valbuena,马修·华贝拿,mǎ xiū · huá bèi ná
samir nasri,沙米·拿斯利,shā mǐ · ná sī lì
blaise matuidi,布莱瑟·马图伊迪,bù lái sè · mǎ tú yī dí
eugène charles catalan,欧仁·夏尔·卡塔兰,ōu rén · xià ěr · kǎ tǎ lán
charlotte bonnet,夏洛特·博内,xià luò tè · bó nèi
nicolas poussin,尼古拉·普桑,ní gǔ lā · pǔ sāng
marouane chamakh,马鲁万·沙马赫,mǎ lǔ wàn · shā mǎ hè
jacques offenbach,雅克·奥芬巴赫,yǎ kè · ào fēn bā hè
david guetta,大卫·库塔,dà wèi · kù tǎ
anthony réveillère,安东尼·雷维耶,ān dōng ní · léi wéi yē
paul bocuse,保罗·博库斯,bǎo luó · bó kù sī
henri bergson,亨利·柏格森,hēng lì · bǎi gé sēn
rené girard,勒内·吉拉尔,lè nèi · jí lā ěr
rigobert song,尼高拔·桑治,ní gāo bá · sāng zhì
paul dukas,保罗·杜卡斯,bǎo luó · dù kǎ sī
alain juppé,阿兰·朱佩,ā lán · zhū pèi
jérémy ménez,杰雷米·梅内,jié léi mǐ · méi nèi
yann m'vila,扬·姆维拉,yáng · mǔ wéi lā
steve mandanda,史蒂夫·曼丹达,shǐ dì fū · màn dān dá
alou diarra,阿劳·迪亚拉,ā láo · dí yà lā
anatole france,阿纳托尔·法朗士,ā nà tuō ěr · fǎ lǎng shì
marvin compper,马云·甘柏,mǎ yún · gān bǎi
sully prudhomme,苏利·普吕多姆,sū lì · pǔ lǚ duō mǔ
louise michel,路易丝·米歇尔,lù yì sī · mǐ xiē ěr
alain robbegrillet,阿兰·罗伯格里耶,ā lán · luó bǎi gé lǐ yē
alejo carpentier,阿莱霍·卡彭铁尔,ā lái huò · kǎ péng tiě ěr
éric abidal,埃里克·阿比达尔,āi lǐ kè · ā bǐ dá ěr
djibril cissé,贾布里勒·西塞,jiǎ bù lǐ lè · xī sāi
william gallas,威廉·加拉斯,wēi lián · jiā lā sī
voltaire,伏尔泰,fú ěr tài
marion cotillard,玛莉安·歌迪雅,mǎ lì ān · gē dí yǎ
gustave flaubert,古斯塔夫·福楼拜,gǔ sī tǎ fū · fú lóu bài
jacques derrida,雅克·德里达,yǎ kè · dé lǐ dá
jeanpierre jeunet,尚皮尔·桑里,shàng pí ěr · sāng lǐ
charlesvalentin alkan,夏尔瓦朗坦·阿尔康,xià ěr wǎ lǎng tǎn · ā ěr kāng
laurent fabius,洛朗·法比尤斯,luò lǎng · fǎ bǐ yóu sī
alexandre alekhine,亚历山大·阿廖欣,yà lì shān dà · ā liào xīn
antoinejean gros,安托万让·格罗,ān tuō wàn ràng · gé luó
marvin martin,马文·马田,mǎ wén · mǎ tián
sidney govou,西德尼·戈武,xī dé ní · gē wǔ
gaël clichy,盖尔·克利希,gài ěr · kè lì xī
cédric carrasso,塞德里克·卡拉索,sāi dé lǐ kè · kǎ lā suǒ
joseph fourier,约瑟夫·傅里叶,yuē sè fū · fù lǐ yè
frédéric mistral,弗雷德里克·米斯特拉尔,fú léi dé lǐ kè · mǐ sī tè lā ěr
david ginola,大卫·吉诺拉,dà wèi · jí nuò lā
joseph fouché,约瑟夫·富歇,yuē sè fū · fù xiē
mohamed sissoko,穆罕默德·西索科,mù hǎn mò dé · xī suǒ kē
valérie donzelli,华蕾莉·董泽利,huá lěi lì · dǒng zé lì
sophia loren,索非娅·罗兰,suǒ fēi yà · luó lán
pierre puvis de chavannes,皮埃尔·皮维·德·夏凡纳,pí āi ěr · pí wéi · dé · xià fán nà
hippolyte fizeau,阿尔芒·斐索,ā ěr máng · fěi suǒ
bacary sagna,巴卡雷·萨尼亚,bā kǎ léi · sà ní yà
abou diaby,阿布·迪亚比,ā bù · dí yà bǐ
andrépierre gignac,安德雷皮埃尔·吉尼亚克,ān dé léi pí āi ěr · jí ní yà kè
nicolas anelka,尼古拉·阿内尔卡,ní gǔ lā · ā nèi ěr kǎ
françois mitterrand,弗朗索瓦·密特朗,fú lǎng suǒ wǎ · mì tè lǎng
jérémy toulalan,热雷米·图拉朗,rè léi mǐ · tú lā lǎng
louis daguerre,路易·达盖尔,lù yì · dá gài ěr
bixente lizarazu,比森特·利扎拉祖,bǐ sēn tè · lì zhā lā zǔ
anna gavalda,安娜·加瓦尔达,ān nà · jiā wǎ ěr dá
catherine de médicis,凯瑟琳·德·美第奇,kǎi sè lín · dé · měi dì qí
claude simon,克劳德·西蒙,kè láo dé · xī méng
maurice béjart,莫里斯·贝雅,mò lǐ sī · bèi yǎ
sylvain wiltord,西尔万·维尔托德,xī ěr wàn · wéi ěr tuō dé
youri djorkaeff,尤里·德约卡夫,yóu lǐ · dé yuē kǎ fū
léon bourgeois,莱昂·布儒瓦,lái áng · bù rú wǎ
django reinhardt,金格·莱恩哈特,jīn gé · lái ēn hā tè
maurice gamelin,莫里斯·甘末林,mò lǐ sī · gān mò lín
alain resnais,亚伦·雷奈,yà lún · léi nài
guy de maupassant,居伊·德·莫泊桑,jū yī · dé · mò bó sāng
sébastien squillaci,塞巴斯蒂安·斯奎拉奇,sāi bā sī dì ān · sī kuí lā qí
jérôme ferrari,热罗姆·费拉里,rè luó mǔ · fèi lā lǐ
jean reno,尚·连奴,shàng · lián nú
rené descartes,勒内·笛卡尔,lè nèi · dí kǎ ěr
florence baverelrobert,弗洛朗丝·巴弗雷尔罗贝尔,fú luò lǎng sī · bā fú léi ěr luó bèi ěr
jeanpaul sartre,让保罗·萨特,ràng bǎo luó · sà tè
colette,科莱特,kē lái tè
frédéric kanouté,弗雷德里克·卡努特,fú léi dé lǐ kè · kǎ nǔ tè
françois jacob,方斯华·贾克柏,fāng sī huá · jiǎ kè bǎi
édouard herriot,爱德华·赫里欧,ài dé huá · hè lǐ ōu
anaïs nin,阿内丝·尼恩,ā nèi sī · ní ēn
jacques chirac,雅克·希拉克,yǎ kè · xī lā kè
philippe omnès,菲利普·翁内斯,fēi lì pǔ · wēng nèi sī
valéry giscard d'estaing,瓦莱里·吉斯卡尔·德斯坦,wǎ lái lǐ · jí sī kǎ ěr · dé sī tǎn
georges pompidou,乔治·蓬皮杜,qiáo zhì · péng pí dù
manuel valls,曼努埃尔·瓦尔斯,màn nǔ āi ěr · wǎ ěr sī
ludovic giuly,吕多维克·久利,lǚ duō wéi kè · jiǔ lì
andré citroën,安德烈·雪铁龙,ān dé liè · xuě tiě lóng
pierre boulle,皮埃尔·布勒,pí āi ěr · bù lè
honoré de balzac,奥诺雷·德·巴尔扎克,ào nuò léi · dé · bā ěr zhā kè
willy sagnol,威利·萨尼奥尔,wēi lì · sà ní ào ěr
alain prost,阿兰·普罗斯特,ā lán · pǔ luó sī tè
heinrich heine,海因里希·海涅,hǎi yīn lǐ xī · hǎi niè
michel foucault,米歇尔·福柯,mǐ xiē ěr · fú kē
charles maurras,夏尔·莫拉斯,xià ěr · mò lā sī
george sand,乔治·桑,qiáo zhì · sāng
jeanjacques goldman,让雅克·高德曼,ràng yǎ kè · gāo dé màn
thierry omeyer,迪尔里·奥梅耶,dí ěr lǐ · ào méi yē
roger etchegaray,罗哲·埃切加雷,luó zhé · āi qiè jiā léi
camille pissarro,卡米耶·毕沙罗,kǎ mǐ yē · bì shā luó
andré vingttrois,安德肋·万特鲁瓦,ān dé lèi · wàn tè lǔ wǎ
jacques maritain,雅克·马里顿,yǎ kè · mǎ lǐ dùn
sébastien grosjean,塞巴斯蒂安·格罗让,sāi bā sī dì ān · gé luó ràng
rené lacoste,勒内·拉科斯特,lè nèi · lā kē sī tè
saintjohn perse,圣琼·佩斯,shèng qióng · pèi sī
jean perrin,让·佩兰,ràng · pèi lán
guillaume apollinaire,纪尧姆·阿波利奈尔,jì yáo mǔ · ā bō lì nài ěr
constant troyon,康斯坦·特鲁瓦永,kāng sī tǎn · tè lǔ wǎ yǒng
abdou diouf,阿卜杜·迪乌夫,ā bǔ dù · dí wū fū
gabriel lippmann,加布里埃尔·李普曼,jiā bù lǐ āi ěr · lǐ pǔ màn
david cage,大卫·凯奇,dà wèi · kǎi qí
floyd ayité,弗洛伊德·阿伊泰,fú luò yī dé · ā yī tài
raymond queneau,雷蒙·格诺,léi méng · gé nuò
mauricequentin de la tour,莫里斯·康坦·德·拉图尔,mò lǐ sī · kāng tǎn · dé · lā tú ěr
éliphas lévi,艾利冯斯·李维,ài lì féng sī · lǐ wéi
andréjacques garnerin,安德烈雅克·加纳林,ān dé liè yǎ kè · jiā nà lín
virginie razzano,维吉妮·拉扎诺,wéi jí nī · lā zhā nuò
josephignace guillotin,约瑟夫伊尼亚斯·吉约丹,yuē sè fū yī ní yà sī · jí yuē dān
édouard lucas,爱德华·卢卡斯,ài dé huá · lú kǎ sī
coco chanel,可可·香奈尔,kě kě · xiāng nài ěr
léo westermann,里奥·韦斯特曼,lǐ ào · wéi sī tè màn
élie hoarau,埃利·瓦罗,āi lì · wǎ luó
élie cartan,埃利·嘉当,āi lì · jiā dāng
anggun,安谷,ān gǔ
christophe lemaitre,克里斯托夫·勒迈特雷,kè lǐ sī tuō fū · lè mài tè léi
habib beye,哈比·比耶,hā bǐ · bǐ yē
rené pleven,勒内·普利文,lè nèi · pǔ lì wén
rio mavuba,里奥·马乌巴,lǐ ào · mǎ wū bā
michel platini,米歇尔·普拉蒂尼,mǐ xiē ěr · pǔ lā dì ní
bernard lacombe,贝尔纳·拉孔布,bèi ěr nà · lā kǒng bù
laure manaudou,洛尔·马诺杜,luò ěr · mǎ nuò dù
suger,叙热,xù rè
jacques anquetil,雅克·安克蒂尔,yǎ kè · ān kè dì ěr
alexandre millerand,亚历山大·米勒兰,yà lì shān dà · mǐ lè lán
élieabel carrière,伊利阿贝尔·卡里埃,yī lì ā bèi ěr · kǎ lǐ āi
anne robert jacques turgot,安·罗伯特·雅克·杜阁,ān · luó bǎi tè · yǎ kè · dù gé
louis aragon,路易·阿拉贡,lù yì · ā lā gòng
paul cornu,保罗·科尔尼,bǎo luó · kē ěr ní
pierreemerick aubameyang,皮埃尔埃默里克·奥巴梅扬,pí āi ěr āi mò lǐ kè · ào bā méi yáng
elsa triolet,爱尔莎·特奥莱,ài ěr shā · tè ào lái
raoul dufy,拉乌尔·杜菲,lā wū ěr · dù fēi
édouard vaillant,爱德华·瓦扬,ài dé huá · wǎ yáng
édouard lefebvre de laboulaye,爱德华·勒内·德·拉布莱,ài dé huá · lè nèi · dé · lā bù lái
marguerite de france,玛格丽特·德·瓦卢瓦,mǎ gé lì tè · dé · wǎ lú wǎ
charles renouvier,夏尔·雷诺维耶,xià ěr · léi nuò wéi yē
guillaume pepy,纪尧姆·佩皮,jì yáo mǔ · pèi pí
aurore clément,奥萝尔·克来蒙,ào luó ěr · kè lái méng
casey legler,凯西·莱格勒,kǎi xī · lái gé lè
édouard rogervasselin,爱德华·罗歇瓦瑟兰,ài dé huá · luó xiē wǎ sè lán
camille muffat,卡米耶·米法,kǎ mǐ yē · mǐ fǎ
florent manaudou,弗洛朗·马纳杜,fú luò lǎng · mǎ nà dù
romain rolland,罗曼·罗兰,luó màn · luó lán
patrick chila,帕特里克·希拉,pà tè lǐ kè · xī lā
patrick vieira,帕特里克·维埃拉,pà tè lǐ kè · wéi āi lā
daniel schneidermann,丹尼尔·施内德芒,dān ní ěr · shī nèi dé máng
albert soboul,阿尔贝·索布尔,ā ěr bèi · suǒ bù ěr
carla bruni,卡拉·布鲁尼,kǎ lā · bù lǔ ní
marcvivien foé,马克维维安·福,mǎ kè wéi wéi ān · fú
edgar degas,埃德加·德加,āi dé jiā · dé jiā
jeanbaptiste camille corot,让巴蒂斯特·卡米耶·柯洛,ràng bā dì sī tè · kǎ mǐ yē · kē luò
andré gide,安德烈·纪德,ān dé liè · jì dé
miralem pjanić,米拉莱姆·皮亚尼奇,mǐ lā lái mǔ · pí yà ní qí
jeanfrançois millet,让弗朗索瓦·米勒,ràng fú lǎng suǒ wǎ · mǐ lè
jonathan littell,乔纳森·利特尔,qiáo nà sēn · lì tè ěr
ivan bounine,伊万·蒲宁,yī wàn · pú níng
étienne marcel,艾蒂安·马塞尔,ài dì ān · mǎ sāi ěr
émile allais,埃米尔·阿莱,āi mǐ ěr · ā lái
nadia boulanger,娜迪亚·布朗热,nà dí yà · bù lǎng rè
man ray,曼·雷,màn · léi
thierry henry,蒂埃里·亨利,dì āi lǐ · hēng lì
georges tainturier,乔治·坦蒂里耶,qiáo zhì · tǎn dì lǐ yē
zadoc kahn,扎多克·卡恩,zhā duō kè · kǎ ēn
alexis de tocqueville,亚历克西·德·托克维尔,yà lì kè xī · dé · tuō kè wéi ěr
yannick noah,雅尼克·诺阿,yǎ ní kè · nuò ā
patrick modiano,帕特里克·莫迪亚诺,pà tè lǐ kè · mò dí yà nuò
arsène wenger,阿尔塞纳·温格,ā ěr sāi nà · wēn gé
olivier dacourt,奥利维尔·达科特,ào lì wéi ěr · dá kē tè
luis fernandez,路易斯·费尔南德斯,lù yì sī · fèi ěr nán dé sī
bertrand du guesclin,贝特朗·杜·盖克兰,bèi tè lǎng · dù · gài kè lán
maurice barrès,莫里斯·巴雷斯,mò lǐ sī · bā léi sī
armand traoré,阿曼特·查奥尔,ā màn tè · chá ào ěr
jules renard,儒勒·雷纳尔,rú lè · léi nà ěr
jacques pierre brissot,雅克·皮埃尔·布里索,yǎ kè · pí āi ěr · bù lǐ suǒ
andré lwoff,安德列·利沃夫,ān dé liè · lì wò fū
marieantoinette d'autriche,玛丽·安托瓦内特,mǎ lì · ān tuō wǎ nèi tè
camille saintsaëns,卡米耶·圣桑,kǎ mǐ yē · shèng sāng
mickaël landreau,米卡埃尔·朗德罗,mǐ kǎ āi ěr · lǎng dé luó
pavel dourov,帕维尔·杜洛夫,pà wéi ěr · dù luò fū
frédéric beigbeder,费德里克·贝格岱,fèi dé lǐ kè · bèi gé dài
édouard lalo,爱德华·拉罗,ài dé huá · lā luó
aimé césaire,艾梅·塞泽尔,ài méi · sāi zé ěr
antoinelaurent de jussieu,安托万·罗兰·德朱西厄,ān tuō wàn · luó lán · dé zhū xī è
émile benveniste,埃米尔·邦弗尼斯特,āi mǐ ěr · bāng fú ní sī tè
émilelouis burnouf,埃米尔路易·比尔努夫,āi mǐ ěr lù yì · bǐ ěr nǔ fū
émile champion,埃米尔·尚皮翁,āi mǐ ěr · shàng pí wēng
maurice leblanc,莫里斯·卢布朗,mò lǐ sī · lú bù lǎng
jean froissart,让·弗鲁瓦萨尔,ràng · fú lǔ wǎ sà ěr
andré maurois,安德烈·莫洛亚,ān dé liè · mò luò yà
