vika jigulina,ヴィカ・ジグリーナ,vika・jigurīna
mihai ghimpu,ミハイ・ギンプ,mihai・ginpu
petru lucinschi,ペトル・ルチンスキー,petoru・ruchinsukī
florin răducioiu,フロリン・ラドチョウ,furorin・radochou
adrian ilie,アドリアン・イリエ,adorian・irie
alexandra maria lara,アレクサンドラ・マリア・ララ,arekusandora・maria・rara
adrian diaconu,アドリアン・ディアコヌ,adorian・diakonu
constantina dițătomescu,コンスタンティナ・ディタ,konsutantina・dita
petre dumitrescu,ペトレ・ドゥミトレスク,petore・dumitoresuku
mihaela melinte,ミハエラ・メリンテ,mihaera・merinte
maria tănase,マリア・タナセ,maria・tanase
viorica viscopoleanu,ビオリカ・ビスコポレアヌ,biorika・bisukoporeanu
julia varady,ユリア・ヴァラディ,yuria・varadi
ionela târlea,イオネラ・ティルレア,ionera・tirurea
lia manoliu,リア・マノリウ,ria・manoriu
adrian cristea,アドリアン・クリステア,adorian・kurisutea
adrian crișan,アドリアン・クリシャン,adorian・kurishan
robert vancea,ロベルト・ヴァンチャ,roberuto・vancha
bogdan stelea,ボグダン・ステレア,bogudan・suterea
mihai neșu,ミハイ・ネシュ,mihai・neshu
marius urzică,マリウス・ウルジカ,mariusu・urujika
joseph schmidt,ヨーゼフ・シュミット,yōzefu・shumitto
cristian săpunaru,クリスティアン・サプナル,kurisutian・sapunaru
dacian cioloș,ダチアン・チョロシュ,dachian・choroshu
colin kolles,コリン・コレス,korin・koresu
george enescu,ジョルジェ・エネスク,joruje・enesuku
stefan hell,シュテファン・ヘル,shutefan・heru
adalbert deșu,アダウベルト・デス,adauberuto・desu
cristian pulhac,クリスティアン・プルハク,kurisutian・puruhaku
george florescu,ゲオルゲ・フローレスク,georuge・furōresuku
hermann oberth,ヘルマン・オーベルト,heruman・ōberuto
răzvan cociș,ラズバン・コチシュ,razuban・kochishu
ilie năstase,イリ・ナスターゼ,iri・nasutāze
robert klein,ロベール・クライン,robēru・kurain
silviu lung,シルヴィウ・ルング,shiruviu・rungu
dorin goian,ドリン・ゴヤン,dorin・goyan
victor pițurcă,ヴィクトル・ピツルカ,vikutoru・pitsuruka
marius niculae,マリウス・ニクラエ,mariusu・nikurae
gigel bucur,ゲオルゲ・ブクル,georuge・bukuru
ciprian deac,チプリアン・デアク,chipurian・deaku
florin prunea,フローリアン・プルネア,furōrian・purunea
ștefan luchian,シュテファン・ルキアン,shutefan・rukian
raul rusescu,ラウル・ルセスク,rauru・rusesuku
alexandru robot,アレクサンドル・ロボット,arekusandoru・robotto
alexandru chipciu,アレクサンドル・キプチュ,arekusandoru・kipuchu
saul steinberg,ソール・スタインバーグ,sōru・sutainbāgu
nicolae dică,ニコラエ・ディカ,nikorae・dika
george lusztig,ジョージ・ルスティック,jōji・rusutikku
ștefan kovács,シュテファン・コヴァチ,shutefan・kovachi
ștefan niculescu,ステファン・ニクレスク,sutefan・nikuresuku
dragoș grigore,ドラゴシュ・グリゴレ,doragoshu・gurigore
laurențiu rus,ラウレンツィウ・ルス,raurentsiu・rusu
nicolao dumitru,ニコラオ・ドゥミトル,nikorao・dumitoru
valerică găman,ヴァレリカ・ガマン,varerika・gaman
eric bicfalvi,エリク・ビクファルヴィ,eriku・bikufaruvi
gheorghe grozav,ゲオルゲ・グロザフ,georuge・gurozafu
constantin silvestri,コンスタンティン・シルヴェストリ,konsutantin・shiruvuェsutori
dorinel munteanu,ドリネル・ムンテアヌ,dorineru・munteanu
virginia zeani,ヴィルジニア・ゼアーニ,virujinia・zeāni
tudor arghezi,トゥドール・アルゲージ,tudōru・arugēji
costel pantilimon,コステル・パンティリモン,kosuteru・pantirimon
anna lesko,アンナ・レスコ,anna・resuko
cosmin frăsinescu,コスミン・フラシネスク,kosumin・furashinesuku
marin karmitz,マリン・カルミッツ,marin・karumittsu
cătălin fercu,カタリン・フェルク,katarin・feruku
philip herschkowitz,フィリップ・ヘルシュコヴィチ,firippu・herushukovichi
ioan culcer,イオン・クルチェル,ion・kurucheru
alexandru drăghici,アレクサンドル・ドラギーチ,arekusandoru・doragīchi
sandu lungu,アレクサンドル・ルング,arekusandoru・rungu
alexandru țăruș,アレクサンドル・タルス,arekusandoru・tarusu
alexandru crețu,アレクサンドル・クレツ,arekusandoru・kuretsu
armand călinescu,アルマンド・カリネスク,arumando・karinesuku
romeo surdu,ロメオ・スルドゥ,romeo・surudu
silviu lung jr,シルヴィウ・ルング・ジュニア,shiruviu・rungu・junia
petre marin,ペトレ・マリン,petore・marin
liviu antal,リビウ・アンタル,ribiu・antaru
alexandru bourceanu,アレクサンドル・ボウルチェアヌ,arekusandoru・bourucheanu
iancu dumitrescu,イアンク・ドゥミトレスク,ianku・dumitoresuku
marius alexe,マリウス・アレクセ,mariusu・arekuse
alexandru ioniță,アレクサンドル・ヨニツァ,arekusandoru・yonitsa
vasile milea,ヴァシレ・ミリャ,vashire・mirya
paul codrea,パウル・コドレア,pauru・kodorea
florența mihai,フロレンツァ・ミハイ,furorentsa・mihai
dorin mateuț,ドリン・マテウツ,dorin・mateutsu
mircea cărtărescu,ミルチャ・カルタレスク,mirucha・karutaresuku
horia sima,ホリア・シマ,horia・shima
elizabeta samara,エリザベタ・サマラ,erizabeta・samara
dennis șerban,デニス・シェルバン,denisu・sheruban
costi ioniță,コスティ・ヨニッツァ,kosuti・yonittsa
david wechsler,デイヴィッド・ウェクスラー,deividdo・wekusurā
hildegard peplau,ヒルデガード・ペプロウ,hirudegādo・pepurou
alina cojocaru,アリーナ・コジョカル,arīna・kojokaru
andrei prepeliță,アンドレイ・プレペリツァ,andorei・pureperitsa
florin gardoș,フローリン・ガルドシュ,furōrin・garudoshu
nicolae grigorescu,ニコラエ・グリゴレスク,nikorae・gurigoresuku
bănel nicoliță,バネル・ニコリツァ,baneru・nikoritsa
mirel rădoi,ミレル・ラドイ,mireru・radoi
daniela dodean,ダニエラ・ドデアン,daniera・dodean
dumitru prunariu,ドゥミトール・プルナリウ,dumitōru・purunariu
sebastian stan,セバスチャン・スタン,sebasuchan・sutan
gabriel torje,ガブリエル・トルジェ,gaburieru・toruje
miodrag belodedici,ミオドラグ・ベロデディチ,miodoragu・berodedichi
horia tecău,ホリア・テカウ,horia・tekau
roxana luca,ログザナ・ルカ,roguzana・ruka
loredana groza,ロレダナ・グローザ,roredana・gurōza
george georgescu,ジョルジェ・ジョルジェスク,joruje・jorujesuku
florin vlaicu,フロリン・ブライク,furorin・buraiku
florin mergea,フロリン・メルジェ,furorin・meruje
florin cioabă,フロリン・チョアバ,furorin・choaba
adrian popa,アドリアン・ポパ,adorian・popa
gheorghe mureșan,ゲオルゲ・ムレシャン,georuge・mureshan
elina löwensohn,エリナ・レーヴェンソン,erina・rēvuェnson
corina ungureanu,コリーナ・ウングレアーヌ,korīna・ungureānu
florentin petre,フローレンティン・ペトレ,furōrentin・petore
francisc munteanu,フランチスク・ムンティアヌ,furanchisuku・muntianu
marius tincu,マリウス・ティンク,mariusu・tinku
nicu ceaușescu,ニク・チャウシェスク,niku・chaushesuku
daniel ghiță,ダニエル・ギタ,danieru・gita
gavril balint,ガヴリル・バリント,gavuriru・barinto
ilie dumitrescu,イリエ・ドゥミトレスク,irie・dumitoresuku
ion mihai pacepa,イオン・ミハイ・パチェパ,ion・mihai・pachepa
nicușor stanciu,ニコラエ・スタンチュ,nikorae・sutanchu
răzvan lucescu,ラズヴァン・ルチェスク,razuvan・ruchesuku
andrei cristea,アンドレイ・クリステア,andorei・kurisutea
andrei filimon,アンドレイ・フィリモン,andorei・firimon
ioan dumitrache,イオン・ドゥミトラチェ,ion・dumitorache
radu korne,ラドゥ・コルーネ,radu・korūne
aurelian chițu,アウレリアン・キツ,aurerian・kitsu
nicolae tătăranu,ニコラエ・タタラヌ,nikorae・tataranu
toni tecuceanu,トニ・テクチェアヌ,toni・tekucheanu
andreea răducan,アンドレーア・ラドゥカン,andorēa・radukan
claudiu keșerü,クラウディウ・ケセル,kuraudiu・keseru
radu lupu,ラドゥ・ルプ,radu・rupu
claudiu niculescu,クラウディウ・ニクレスク,kuraudiu・nikuresuku
mihai lazăr,ミハイ・ラザール,mihai・razāru
bogdan stoica,ボグダン・ストイカ,bogudan・sutoika
gabriel popescu,ガブリエル・ポペスク,gaburieru・popesuku
cosmin olăroiu,コスミン・オラロイ,kosumin・oraroi
anamaria vartolomei,アナマリア・ヴァルトロメイ,anamaria・varutoromei
octavian abrudan,オクタヴィアン・アブルダン,okutavian・aburudan
ovidiu tonița,オヴィディウ・トニツァ,ovidiu・tonitsa
lidia lipkovskaia,リディア・リプコフスカヤ,ridia・ripukofusukaya
denis alibec,デニス・アリベク,denisu・aribeku
andrei ivanovici,アンドレイ・イヴァノヴィチ,andorei・ivanovichi
eric de oliveira pereira,エリック・デ・オリベイラ・ペレイラ,erikku・de・oribeira・pereira
lucien goldmann,リュシアン・ゴルドマン,ryushian・gorudoman
cornel dinu,コルネル・ディヌ,koruneru・dinu
cosmin matei,コスミン・マテイ,kosumin・matei
ionel perlea,イオネル・ペルレア,ioneru・perurea
cosmin moți,コスミン・モツィ,kosumin・motsi
mircea rednic,ミルチェア・レドニク,miruchea・redoniku
cristian oroș,クリスティアン・オロシュ,kurisutian・oroshu
nicolae mitea,ニコラエ・ミテア,nikorae・mitea
marius copil,マリウス・コピル,mariusu・kopiru
constantin budescu,コンスタンティン・ブデスク,konsutantin・budesuku
mihai răduț,ミハイ・ラドゥツ,mihai・radutsu
vladimir ghika,ウラジミール・ギカ,urajimīru・gika
constantin cantacuzino,コンスタンティン・カンタクジノ,konsutantin・kantakujino
gabriela potorac,ガブリエラ・ポトラック,gaburiera・potorakku
ionel dănciulescu,イオネル・ダンチウレスク,ioneru・danchiuresuku
valentin calafeteanu,バレンティン・カラフェテアヌ,barentin・karafeteanu
paul papp,パウル・パップ,pauru・pappu
cornel gheorghe,コルネル・ゲオルゲ,koruneru・georuge
cătălin hîldan,カタリン・ヒルダン,katarin・hirudan
serge moscovici,セルジュ・モスコヴィッシ,seruju・mosukovisshi
ionel ganea,ヨアン・ガネア,yoan・ganea
doina rotaru,ドイナ・ロタル,doina・rotaru
marius lăcătuș,マリウス・ラカトゥシュ,mariusu・rakatushu
serge klarsfeld,セルジュ・クラルスフェルト,seruju・kurarusuferuto
lascăr catargiu,ラスカル・カタルジュ,rasukaru・kataruju
lászló tőkés,トゥーケーシュ・ラースロー,tūkēshu・rāsurō
anghel iordănescu,アンゲル・ヨルダネスク,angeru・yorudanesuku
george țucudean,ジョルジェ・ツクデアン,joruje・tsukudean
dan petrescu,ダン・ペトレスク,dan・petoresuku
marian oprea,マリアン・オプレア,marian・opurea
daniel isăilă,ダニエル・イザイラ,danieru・izaira
barbu catargiu,バルブ・カタルジュ,barubu・kataruju
costin lazăr,コスティン・ラザル,kosutin・razaru
lucian sânmărtean,ルチアン・スンマルテアン,ruchian・sunmarutean
alexandru maxim,アレクサンドル・マキシム,arekusandoru・makishimu
vlad chiricheș,ヴラド・キリケシュ,vurado・kirikeshu
gheorghe tătărescu,ゲオルゲ・タタレスク,georuge・tataresuku
gabriel enache,ガブリエル・エナケ,gaburieru・enake
emil klein,エミール・クライン,emīru・kurain
victor brauner,ヴィクトル・ブローネル,vikutoru・burōneru
alexandru mățel,アレクサンドル・マツェル,arekusandoru・matseru
otmar szafnauer,オトマー・サフナウアー,otomā・safunauā
dan nistor,ダン・ニストル,dan・nisutoru
valentin ceaușescu,ヴァレンティン・チャウシェスク,varentin・chaushesuku
ioan petru culianu,ヨアン・ペテル・クリアーノ,yoan・peteru・kuriāno
alexander bălănescu,アレクサンダー・バラネスク,arekusandā・baranesuku
ovidiu hațegan,オヴィディウ・ハツェガン,ovidiu・hatsegan
simona richter,シモナ・リクテル,shimona・rikuteru
marcel iureș,マーセル・ユーレス,māseru・yūresu
kehinde fatai,ケヒンデ・ファタイ,kehinde・fatai
ovidiu burcă,オビデュ・ブルカ,obidyu・buruka
constantin ion parhon,コンスタンティン・イオン・パルホン,konsutantin・ion・paruhon
ciprian tătărușanu,チプリアン・タタルシャヌ,chipurian・tatarushanu
horațiu rădulescu,ホラチウ・ラドゥレスク,horachiu・raduresuku
dorel stoica,ドレル・ストイカ,doreru・sutoika
bogdan stancu,ボグダン・スタンク,bogudan・sutanku
ludovic orban,ルドビク・オルバン,rudobiku・oruban
béla károlyi,カーロイ・ベーラ,kāroi・bēra
călin peter netzer,カリン・ピーター・ネッツァー,karin・pītā・nettsā
sergiu comissiona,セルジュ・コミッショーナ,seruju・komisshōna
roman vlad,ロマン・ヴラド,roman・vurado
dragoș firțulescu,ドラゴシュ・フィルツレスク,doragoshu・firutsuresuku
ștefan ruha,シュテファン・ルハ,shutefan・ruha
mihai pintilii,ミハイ・ピンティリイ,mihai・pintirii
radu aldulescu,ラドゥ・アルドゥレスク,radu・aruduresuku
mihail lascăr,ミハイル・ラスカル,mihairu・rasukaru
dănuț coman,ダヌツ・コマン,danutsu・koman
corneliu teodorini,コルネリウ・テオドリニ,koruneriu・teodorini
diana dondoe,ディアナ・ドンドー,diana・dondō
sabin țambrea,ザビン・タンブレア,zabin・tanburea
fritz klein,フリッツ・クライン,furittsu・kurain
eusebie mandicevschi,オイゼビウス・マンディチェフスキ,oizebiusu・mandichefusuki
eugen ciceu,オイゲン・キケロ,oigen・kikero
marius șumudică,マリウス・シュムディカ,mariusu・shumudika
george ogăraru,ゲオルゲ・オガラル,georuge・ogararu
preda mihăilescu,プレダ・ミハイレスク,pureda・mihairesuku
constantin gâlcă,コンスタンティン・ガルカ,konsutantin・garuka
klaus iohannis,クラウス・ヨハニス,kurausu・yohanisu
isidore isou,イジドール・イズー,ijidōru・izū
gheorghe craioveanu,ゲオルゲ・クライオヴェアヌ,georuge・kuraiovuェanu
paul constantinescu,パウル・コンスタンティネスク,pauru・konsutantinesuku
ovidiu hoban,オヴィディウ・ホバン,ovidiu・hoban
theodor aman,テオドール・アマン,teodōru・aman
florin niță,フローリン・ニツァ,furōrin・nitsa
ioan andone,ヨアン・アンドネ,yoan・andone
andreea chițu,アンドレア・キトゥ,andorea・kitu
mihai leu,ミハエル・ロエベ,mihaeru・roebe
lucian bute,ルシアン・ブーテ,rushian・būte
andreea bălan,アンドレア・バラン,andorea・baran
ion voicu,イオン・ヴォイク,ion・vuォiku
corina căprioriu,コリーナ・カプリオリウ,korīna・kapurioriu
mihaela buzărnescu,ミハエラ・ブザルネスク,mihaera・buzarunesuku
grigoraș dinicu,グリゴラシュ・ディニク,gurigorashu・diniku
george becali,ジジ・ベカリ,jiji・bekari
romario benzar,ロマーリオ・ベンザル,romārio・benzaru
cristian tănase,クリスティアン・タナセ,kurisutian・tanase
francis chagrin,フランシス・シャグラン,furanshisu・shaguran
ioan lupescu,イオン・ルペスク,ion・rupesuku
constantin christescu,コンスタンチン・クリステスク,konsutanchin・kurisutesuku
sebastian ciobanu,セバスチャン・チオバヌ,sebasuchan・chiobanu
alexandru șerbănescu,アレクサンドル・シェルバネスク,arekusandoru・sherubanesuku
vladimir orlov,ヴラディーミル・オルロフ,vuradīmiru・orurofu
iosif conta,イオシフ・コンタ,ioshifu・konta
nicolae titulescu,ニコラエ・ティトゥレスク,nikorae・tituresuku
nneka onyejekwe,ネーカ・オンイェジェクウェ,nēka・onyejekuwe
aurel vlaicu,アウレル・ヴライク,aureru・vuraiku
cristian melinte,クリスティアン・メリンテ,kurisutian・merinte
ilie șteflea,イリエ・シュテフレア,irie・shutefurea
gheorghe manoliu,ゲオルゲ・マノリウ,georuge・manoriu
laurențiu brănescu,ラウレンティウ・ブラネスク,raurentiu・buranesuku
edward luttwak,エドワード・ルトワック,edowādo・rutowakku
zoltán kelemen,ケレメン・ゾルターン,keremen・zorutān
nicolae cambrea,ニコラエ・カンブレア,nikorae・kanburea
charles bruck,シャルル・ブリュック,sharuru・buryukku
ionuț iftimoaie,イオヌット・イフティモアイエ,ionutto・ifutimoaie
adrian bejan,エイドリアン・ベジャン,eidorian・bejan
ada milea,アダ・ミリャ,ada・mirya
cătălin moroșanu,カタリン・モロサヌ,katarin・morosanu
geo bogza,ジェオ・ボグザ,jeo・boguza
rona hartner,ローナ・ハートナー,rōna・hātonā
constantin pantazi,コンスタンチン・パンタツ,konsutanchin・pantatsu
constantin prezan,コンスタンチン・プレザン,konsutanchin・purezan
steliano filip,ステリアーノ・フィリプ,suteriāno・firipu
benjamin fondane,バンジャマン・フォンダーヌ,banjaman・fondānu
cătălin țăranu,タラヌ・カタリン,taranu・katarin
mihail moruzov,ミハイル・モルゾフ,mihairu・moruzofu
constantin nica,コンスタンティン・ニカ,konsutantin・nika
ștefan gușă,ステファン・グシェ,sutefan・gushe
marian cristescu,マリアン・クリステスク,marian・kurisutesuku
mihai cioc,ミハイ・シオク,mihai・shioku
mircea frățică,ミルチャ・フラティカ,mirucha・furatika
istván kovács,イシュトヴァーン・コヴァーチ,ishutovān・kovāchi
mihai macovei,ミハイ・マコベイ,mihai・makobei
viorica dăncilă,ヴィオリカ・ダンチラ,viorika・danchira
camil marinescu,カミル・マリネスク,kamiru・marinesuku
andreea antonescu,アンドレア・アントネスク,andorea・antonesuku
aura urziceanu,アウラ・ウルジチェアヌ,aura・urujicheanu
ion coman,イオン・コーマン,ion・kōman
donca steriade,ドンカ・ステリアーデ,donka・suteriāde
gheorghe cucu,ゲオルゲ・クク,georuge・kuku
mircea basarab,ミルチャ・バサラブ,mirucha・basarabu
raluca turcan,ラルカ・トゥルカン,raruka・turukan
florin andone,フロリン・アンドネ,furorin・andone
yusuf isa halim,ユスフ・イサ・ハリム,yusufu・isa・harimu
emil simon,エミル・シモン,emiru・shimon
mihail aslan,ミハイ・アスラーン,mihai・asurān
cristian manea,クリスティアン・マネア,kurisutian・manea
dorin recean,ドリン・レチャン,dorin・rechan
ianis hagi,ヤニス・ハジ,yanisu・haji
ionuț nedelcearu,ヨヌツ・ネデルチャル,yonutsu・nederucharu
maia sandu,マイア・サンドゥ,maia・sandu
răzvan marin,ラズヴァン・マリン,razuvan・marin
otar turașvili,オタル・トゥラシビリ,otaru・turashibiri
julia sauter,ユリア・ザウター,yuria・zautā
erwin stoff,アーウィン・ストフ,āwin・sutofu
doina bumbea,ドイナ・ブンベア,doina・bunbea
andrei ivan,アンドレイ・イヴァン,andorei・ivan
ioan niculae,ヨアン・ニクラエ,yoan・nikurae
dragoș nedelcu,ドラゴシュ・ネデルク,doragoshu・nederuku
daniel natea,ダニエル・ナテア,danieru・natea
beatrice huștiu,ベアトリス・フスティウ,beatorisu・fusutiu
florin surugiu,フロリン・スルジュ,furorin・suruju
marcel ciolacu,マルチェル・チョラク,marucheru・choraku
dennis man,デニス・マン,denisu・man
cosmin bîrnoi,コスミン・ブルノイ,kosumin・burunoi
cristian albu,アレクサンドル・アルブ,arekusandoru・arubu
ionuț radu,ヨヌーツ・ラドゥ,yonūtsu・radu
ovidiu horșia,オヴィディウ・ホルシア,ovidiu・horushia
florin cîțu,フロリン・クツ,furorin・kutsu
florian munteanu,フロリアン・ムンテアヌ,furorian・munteanu
bianca andreescu,ビアンカ・アンドレースク,bianka・andorēsuku
tudor băluță,トゥドゥール・バルツァ,tudūru・barutsa
alexandru cicâldău,アレクサンドル・チクルダウ,arekusandoru・chikurudau
răzvan oaidă,ラズヴァン・オアイダ,razuvan・oaida
răzvan trif,ラズヴァン・トリフ,razuvan・torifu
denis drăguș,デニス・ドラグシュ,denisu・doragushu
dumitru enescu,ドゥミトル・エネスク,dumitoru・enesuku
bernadette szőcs,ベルナデッテ・スッチ,berunadette・sutchi
alexandru mitriță,アレクサンドル・ミトリツァ,arekusandoru・mitoritsa
florinel coman,フロリネル・コマン,furorineru・koman
claudiu petrila,クラウディウ・ペトリラ,kuraudiu・petorira
ianis stoica,ヤニス・ストイカ,yanisu・sutoika
alex pașcanu,アレックス・パシュカヌ,arekkusu・pashukanu
ștefan târnovanu,シュテファン・タルノヴァヌ,shutefan・tarunovanu
george pușcaș,ゲオルゲ・プスカシュ,georuge・pusukashu
alex dobre,アレックス・ドブレ,arekkusu・dobure
robert ion,ロベルト・イオン,roberuto・ion
olimpiu moruțan,オリンピウ・モルタン,orinpiu・morutan
alec secăreanu,アレック・セカレアヌ,arekku・sekareanu
andrei rațiu,アンドレイ・ラティウ,andorei・ratiu
radu boboc,ラドゥ・ボボク,radu・boboku
