de_haŋkə	항케
de_beːskov	베스코
de_kʁundik	그룬딕
de_ʃoɐn	쇼른
de_maliː	말르
de_laixliŋən	라이힐링겐
de_məndə	멘데
de_kosloː	코슬로
de_zeːhofɐ	제호퍼
de_t͡sviːkauh	츠비카우
de_kotjoə	코조
de_koyhlən	쾰런
de_deːlit͡ʃ	델리치
de_kampeɐs	캄퍼스
de_løːvənpʁoyh	뢰벤브로이
de_laiebiŋk	라이빙
de_kalsɐ	칼저
de_koːsiːmaː	코시마
de_baɐtos	바르토스
de_klauhdioː	클라우디오
de_haɐlan	할란
de_hiːʀonymus	히로니무스
de_joːseːfinə	요제피네
de_niːkoːlas	니콜라스
de_ʃtəndal	슈텐달
de_laːbøk	라뵈크
de_moːʀit͡sbuɐk	모리츠부르크
de_moɐɡənʁot	모르겐로트
de_ʁatkə	라트케
de_poːpof	포포프
de_ʁøpkə	뢰프케
de_liːpman	리프만
de_zeɐdaɐ	세르다르
de_ʁainmut	라인무트
de_maːʀiːtaː	마리타
de_ʃtatbaːn	도심선
de_ʁaedɐ	레더
de_fənskə	벤스케
de_zeɐɡej	세르게이
de_huːbeɐtus	후베르투스
de_lutvik	루트비히
de_hantkə	한트케
de_pʁamɐ	브래머
de_klausdiːtɐ	클라우스디터
de_meːsut	메수트
de_biːbl	비블
de_faːleːʀiaː	발레리아
de_ʃteltɐ	슈텔터
de_pʁoːsiːbən	프로지벤
de_poːniːt͡sil	포니칠
de_ɡioːfanə	지오바니
de_fʁaŋkaː	프랑카
de_østeɐʁaix	외스터라이히
de_noːvit͡skiː	노비츠키
de_infoɐmaːtik	인포매틱
de_fʁankist͡sek	프란치셰크
de_akif	아키프
de_haːɡən	하겐
de_kop͡f	코프
de_altənbuɐk	알텐부르크
de_kʁuiːses	크루즈
de_məndl	멘들
de_beɐnius	베르니우스
de_beɐnɐ	베르너
de_ɡiskə	기스케
de_plaxɐ	블라허
de_kopel	코펠
de_joshuaː	요주아
de_jap	얍
de_kʁupə	그룹
de_haɐt	하르트
de_andeɐs	안더스
de_meʁyem	메리엠
de_klum	클룸
de_das	다스
de_tiːneːman	티네만
de_pʁams	브람스
de_kaːʀaman	카라만
de_apaːʀat	아파라트
de_foːʀum	포럼
de_sheːʀiːdan	셰리던
de_aeːʀoːloɡik	에어로로직
de_moːhaːmet	무함마드
de_foːtokiːnaː	포토키나
de_osteɐtun	오스테르툰
de_ʁaːma	라마
de_vənt͡sel	벤첼
de_balk	발크
de_tiːɐbax	티르바흐
de_vøɐnɐ	뵈르너
de_əndeɐs	엔더스
de_ʃlautʁaf	슐라우드라프
de_ʃaːfan	샤반
de_auhtostat	아우토슈타트
de_vupeɐtal	부퍼탈
de_yːnel	위넬
de_heɐmlin	헤름린
de_lundən	룬덴
de_beːbouː	베부
de_ʁolaie	롤라이
de_zelɡə	젤게
de_fʁoeːlix	프뢸리히
de_teːdeskoː	테데스코
de_ʃlem	슐렘
de_beɐtie	베르티
de_ebeːliŋk	에벨링
de_petsos	페초스
de_kaimɐ	카이머
de_ʁamstain	램스타인
de_kaːsanoːfaː	카사노바
de_dompʁovskiː	돔브로프스키
de_kostaː	코스타
de_hilbeːʀat	힐베라트
de_skoɐpions	스콜피언스
de_doeɐʁy	되리
de_hoyhbax	호이바흐
de_jaːkobson	야콥손
de_undaf	운다브
de_bouːʀely	보릴리
de_uːdoː	우도
de_hasə	하세
de_beklauh	베글라우
de_zeːliçɐ	젤리거
de_lasɐ	라저
de_lauht͡seːmis	라우제미스
de_vilhelmshaːfən	빌헬름스하펜
de_ʃvait͡sɐ	슈바이처
de_andə	안데
de_vainbeɐɡɐ	바인베르거
de_luːnaː	루나
de_kubʃ	쿠브슈
de_dylmən	뒬멘
de_volfɡaŋk	볼프강
de_auhdiː	아우디
de_kybɐ	키버
de_veltɐ	벨터
de_haɐt͡s	하르츠
de_huɐl	헐
de_ənkholm	엥홀름
de_tʁip	트립
de_xiːleːhaus	칠레하우스
de_vulfdiːtɐ	울프디터
de_eɐtman	에르트만
de_haːlil	할릴
de_baːxiŋɐ	바힝거
de_beɐlin	베를린
de_bilt	빌트
de_vit	비트
de_buxloː	부흘로
de_ulaː	울라
de_umlauf	움라우프
de_ʁodə	로데
de_teːɡə	티에게
de_antʁeas	안드레아스
de_t͡sexlin	체힐린
de_fənɡeːʀof	벤게로브
de_buɐvit͡s	부르비츠
de_ʃtainɐ	슈타이너
de_esən	에센
de_fuldə	풀데
de_ʁøslɐ	뢰슬러
de_eʀiːmaː	에리마
de_heɐnándet͡s	에르난데스
de_maɐktoːbeɐdoɐf	마르크도버도르프
de_feːʀoːniːkaː	베로니카
de_maieɐlantʁut	마이어란드루트
de_dolkun	돌쿤
de_iljuːt͡ʃənkoː	일류첸코
de_fʁoːboes	프로뵈스
de_fleːmiŋk	플레밍
de_hombax	홈바흐
de_kølt͡sik	쾰치크
de_haim	하임
de_kaː	카
de_ɡənʃɐ	겐셔
de_kostɐ	코스터
de_etal	에탈
de_niːdiːk	니디크
de_ʁetbeɐk	레트베르크
de_ʁok	록
de_foɐbes	포브스
de_bakə	바케
de_vait	바이트
de_alant	알란드
de_noynɐ	노이너
de_biːɐbixlɐ	비어비흘러
de_aixbeɐk	아이히베르크
de_ʁiːki	리키
de_xʁistofɐ	크리스토퍼
de_heslix	헤슬리히
de_ʁiŋkman	링만
de_ʃtukʁatbaɐʁə	슈트루크라트바레
de_hoɐstman	호르스트만
de_ɡafky	가프키
de_beɐnt	베른트
de_hinʁiks	힌리히스
de_maɐsbeɐk	마르스베르크
de_alt	알트
de_ʃum	슘
de_ɡoeɐdelɐ	괴르델러
de_klump	클룸프
de_ʁeːdiːs	레디스
de_ʁoɡɐ	로거
de_baɐt	바스
de_maːnuel	마누엘
de_ɡøbl	괴블
de_noyhbeɐɡɐ	노이베르거
de_yousouːfaː	유수파
de_ʁeknɐ	레그너
de_ljuːbek	류베크
de_haushofɐ	하우스호퍼
de_aniː	아니
de_hauhsekɡɐ	하우제거
de_boːt͡sek	보제크
de_vilhelm	빌헬름
de_auhɡəntalɐ	아우겐탈러
de_myːlhauhsən	뮐하우젠
de_maːʀioː	마리오
de_pʁiŋk	브링크
de_difʁiŋk	디프링
de_veɐtaimɐ	베르트하이머
de_ʁumeːnikɡə	루메니게
de_ʁhainlant	라인란트
de_aŋeːliːkaː	앙겔리카
de_zudə	주데
de_emiːliə	에밀리
de_zeːkt	젝트
de_beaː	베아
de_vainʁix	바인리히
de_st͡smit	슈미트
de_voːdaɐk	보다르크
de_albeɐt	알베르트
de_uːl	울
de_amaːlia	아말리아
de_ʃveːʀiŋksoːnʁai	슈베링손레이
de_dikhut	딕훗
de_lombaɐdiː	롬바르디
de_helɡə	헬게
de_ɡiːfɐ	지퍼
de_janlənnaɐt	얀레나르트
de_kaspaɐ	카스파
de_zaːliː	살리흐
de_vintɐ	빈터
de_ʃmeːliŋk	슈멜링
de_ɡlyptotek	글립토테크
de_huːɡoː	후고
de_ɡauhdiːnoː	가우디노
de_ansoɐɡə	안조르게
de_jaːkop	야코프
de_iːʀis	이리스
de_t͡saitain	자이틴
de_holɡɐ	홀거
de_køpel	쾨펠
de_boɐkman	보르크만
de_anaː	아나
de_fʁiːdɐ	프리더
de_fyːʀakɐ	퓌라커
de_biːbɐ	비버
de_kʁapbə	크라베
de_tiefənseə	티펜제
de_kløknɐ	클뢰크너
de_kaɐlsʁuːɐ	카를스루에
de_ketə	캐테
de_baɐbiə	바르비
de_ənnən	에넨
de_aniːkaː	아니카
de_kaʃnit͡s	카슈니츠
de_ɡustaf	구스타프
de_voːveːʀait	보베라이트
de_ʁiːdel	리델
de_talbax	탈바흐
de_ɡoːɡiaː	고기아
de_zaːmuel	사무엘
de_ɡəndaɐmənmaɐkt	잔다르멘마르크트
de_dianə	디아네
de_kʁoup	그룹
de_maɐkʁit	마거리트
de_noːmos	노모스
de_heːɐvaːɡən	헤어바겐
de_maikə	마이케
de_bøl	뵐
de_aɐnolt	아르놀트
de_hansɐ	한저
de_hanes	하네스
de_ʃoːf	쇼프
de_unt	운트
de_liŋkə	링케
de_buk	부크
de_ɡaliːn	갈리아
de_miːlkə	밀케
de_ʃponɐ	슈포너
de_ʁaif	리프
de_etʁix	에트리히
de_xʁistianə	크리스티아네
de_ʃvaiekaɐt	슈바이카르트
de_ʃytauf	쉬타우프
de_topʁak	토프라크
de_hənʁy	헨리
de_kʁoyt͡sɐ	크로이처
de_vitik	비티히
de_fʁant͡sl	프란츨
de_kouːʀant	쿠란트
de_boːɡojeːfik	보고예비치
de_dolt	돌트
de_bøːɐnsən	뵈른젠
de_toŋkə	통케
de_sloːbodan	슬로보단
de_kuːbel	쿠벨
de_ʁolfes	롤페스
de_bulman	불만
de_liːɐhaus	리어하우스
de_noyhman	노이만
de_knop	크노프
de_haːs	하스
de_hoxhut	호흐후트
de_ʃʁaiəneːmaːkeɐs	슈라이네마커스
de_iŋoː	잉고
de_teklaː	테클라
de_meːmeʀiŋk	메메링
de_kəntʁoːlinɐ	센트로라이너
de_busə	부세
de_t͡saːʀeə	자리
de_edel	에델
de_ʁeːɡiːnaː	레기나
de_ʁiːtmylɐ	리트뮐러
de_volfeɐʁaːʀiː	볼프페라리
de_ʁeːbeɐs	레버스
de_fyːʀix	퓌리히
de_haiedeːman	하이데만
de_kolins	콜린스
de_beɐkkiɐxən	베르크키르헨
de_ʁøtɡən	뢰트겐
de_ənkə	엥케
de_ʁeːhaːɡel	레하겔
de_t͡sekvɐ	체크버
de_unt͡sikɐ	운치커
de_heːʀolt	헤롤드
de_ziːʀiusmoː	시리우즈모
de_beɐbel	베르벨
de_kʁimepʁais	그림메상
de_liːʀoːlaː	리롤라
de_ʁabə	라베
de_kalk	칼크
de_biːniːk	비니에크
de_dyɐʁhənneɐsdoɐf	뒤어헤너스도르프
de_aiesənmənɡɐ	아이젠멩거
de_helmxən	헬름센
de_fʁomloːvit͡s	프롬로비츠
de_ʃotlandɐ	쇼틀랜더
de_zeltən	젤텐
de_ziːlof	질로프
de_fʁankhkosmos	코스모스
de_pauhlaː	파울라
de_ɡʁynaoys	그리네우스
de_viliŋk	빌링
de_kaːʀatéoːdoʁy	카라테오도리
de_joel	조엘
de_hanə	한네
de_aiexel	아이헬
de_heɐms	헤름스
de_ʃtieːlɐ	슈틸러
de_toːkio	토쿄
de_josvik	조스위그
de_emelman	에멜만
de_vilkə	윌케
de_maul	마울
de_ɡeːsinə	게지네
de_zeːbalt	제발트
de_hansjoaːxim	한스요아힘
de_vaiɡant	바이간트
de_mosənbeɐk	모센베르크
de_ɡeːdek	게데크
de_kiːlman	킬만
de_heɐnə	헤르네
de_iːlijaː	일리야
de_pʁyːl	브륄
de_diːt͡sə	디체
de_esmaɐx	에스마르흐
de_pjøɐnheɐɡən	비외른헤르겐
de_noɐpot	노르포트
de_heɐʁənbeɐk	헤렌베르크
de_ʃʁamaː	슈라마
de_haːmel	하멜
de_t͡səntʁalbaŋk	중앙은행
de_kʁyːnəntal	그뤼넨탈
de_helveɡə	헬베게
de_baɐtʁam	바르트람
de_kløt͡sɐ	클뢰처
de_ʁateːnov	라테노
de_halə	할레
de_hildeːɡaɐt	힐데가르트
de_fuldaː	풀다
de_beɐʁit	베리트
de_hiltʁun	힐드룬
de_loːs	로스
de_oʀaːniːnbuɐk	오라니엔부르크
de_fet͡ʃɐ	페처
de_ʃaːbovskiː	샤보프스키
de_vundɐ	분더
de_valsɐ	발저
de_haint͡s	하인츠
de_zaːleː	살레
de_pʁoːbeɐɡən	브로베르겐
de_jaːkoːbiː	야코비
de_ʃult	슐트
de_laːt͡sa	라차
de_ʃaumbuɐk	샤움부르크
de_eʃvailɐ	에슈바일러
de_noypʁandənbuɐk	노이브란덴부르크
de_main	마인
de_mathoys	마테우스
de_kʁuɡɐ	크루거
de_koːl	콜
de_tʁistaːnoː	트리스타노
de_vilmɐ	빌머
de_etdiː	에디
de_haiedekʁautbaːn	하이데크라우트선
de_niːkoːlof	니콜로프
de_ʁøbɐ	뢰버
de_kaːminskiː	카민스키
de_zakman	자크만
de_bety	베티
de_ʃtaieɐl	슈타이얼
de_haɐdy	하르디
de_hampʁext	함브레히트
de_zatlɐ	새들러
de_jiə	제
de_hekman	헤크만
de_tʁeːbit͡ʃ	트레비치
de_kaiuvə	카이우베
de_kaɐlsbat	칼스바드
de_tuːʀauh	투라우
de_valdpʁøl	발트브뢸
de_kʁost͡s	그로스
de_ɡaudɐ	가우더
de_ʃyɐʁlə	쉬를레
de_maiəniŋən	마이닝겐
de_ekiːki	에키지
de_faisal	파이살
de_eʀik	에리크
de_ʁut	루트
de_ʃtaːpelbuɐk	슈타펠부르크
de_miːnoks	미녹스
de_lipok	리포크
de_haineɐt	헤너트
de_ʃʁemp͡f	슈렘프
de_ʁoːɡovskiː	로고프스키
de_baieːʀiʃɐ	바이에른
de_xeːmiə	케미
de_beɐɡɐ	베르거
de_milkoː	밀코
de_ʃeɐxən	셰르헨
de_fuːɐman	푸르만
de_depʁit͡s	데브리츠
de_onel	오넬
de_beːkənbauɐ	베켄바워
de_holst	홀스트
de_hoeːnes	회네스
de_boyys	보이스
de_veːsel	베젤
de_puls	풀스
de_hylkənbeɐk	휠켄베르크
de_pʁiːseːvit͡s	브리제비츠
de_kaːlɐ	칼러
de_kaɐɡel	카겔
de_dotkom	닷컴
de_kaːpelman	카펠만
de_uŋeɐs	웅거스
de_paːliːnaː	팔리나
de_foeːɡelin	푀겔린
de_maɐkus	마르쿠스
de_ʁal	랄
de_t͡sfeːʀef	즈베레프
de_baŋeːman	방게만
de_ʁoːjinskiː	로진스키
de_pʁaːʃ	브라슈
de_foːɡel	포겔
de_duːkən	두켄
de_osʁam	오스람
de_xʁistof	크리스토프
de_vølfel	뵐펠
de_hindeːmit	힌데미트
de_antʁaie	안드레이
de_ʃvainfuɐt	슈바인푸르트
de_ʃily	실리
de_heːknɐ	헤그너
de_joːʀində	요린데
de_shiːʀin	시린
de_ʁitɐ	리터
de_valdeːmaɐ	발데마르
de_noyhsitlɐ	노이지들러
de_t͡seːʀiŋɐ	체링겐가
de_paslak	파슬라크
de_maːʀion	마리온
de_kemp͡ff	켐프
de_tiːɐsə	티르제
de_hambuɐkmitə	함부르크미테
de_maɐlənə	마를레네
de_heɐbeɐk	헤르베르크
de_alɡeːmainə	알게마이네
de_zinshaim	진스하임
de_fʁankənbeɐk	프랑켄베르크
de_liːsə	리제
de_nmeːxaː	은메차
de_aiesənhytənstat	아이젠휘텐슈타트
de_miːleːnaː	밀레나
de_daːhout	다후드
de_holt	홀트
de_kal	콜
de_buslɐ	부슬러
de_ʃpeːman	슈페만
de_deːloŋə	델롱게
de_uːt͡seɐliː	우제를리
de_ʃpaiexeɐstat	슈파이허슈타트
de_tʁutfetɐ	트루트페터
de_joːs	요스
de_polydoɐ	폴리도르
de_demə	데메
de_jeɐmainə	저메인
de_ʁøːnɐ	노너
de_pʁatlai	브래들리
de_fiːkaːʀiː	비카리
de_toybɐ	토이버
de_vaʃkə	바슈케
de_jopix	요피히
de_joːhaːnoː	요하노
de_daʃ	다슈
de_hansdiːtʁix	한스디트리히
de_obeːʀuɐsel	오버우어젤
de_linkə	린케
de_mason	마손
de_tatdaː	타다
de_kaːfən	카벤
de_vaxtel	바히텔
de_tomy	토미
de_yuːʀiː	유리
de_ʁemɐ	레머
de_naːsaɐ	나사르
de_hop	호프
de_lypkə	륍케
de_ʃtʁatman	슈트라트만
de_daːʃa	다샤
de_biːdənkop͡f	비덴코프
de_øt͡sdeːmiɐ	외즈데미르
de_bondə	본데
de_luɐt͡s	루르츠
de_ʁostok	로스토크
de_aŋeːliːnaː	안젤리나
de_t͡sak	차크
de_kisiŋk	키싱
de_ɡamouɐ	그무르
de_skipbə	스키베
de_haːbeɐman	하버만
de_t͡saːlandoː	잘란도
de_obeɐhoysɐ	오버호이저
de_ʃpitkaː	슈피트카
de_ɡaɐʁet	가렛
de_beɐkiŋk	베르킹
de_jaeːnikə	예니케
de_ɡoepbels	괴벨스
de_halhubɐ	할후버
de_beɐkmanpoːl	베르크만폴
de_moɐɡənsteɐn	모르겐슈테른
de_ɡuntʁemiŋən	군트레밍겐
de_daːfitson	데이비슨
de_fos	포스
de_ʁoytliŋən	로이틀링겐
de_moɐlok	모를로크
de_bisky	비스키
de_ebeɐbax	에버바흐
de_beɐlinɐ	베를린
de_disl	디즐
de_zoːliŋən	졸링겐
de_noːvaːkovskiː	노바코프스키
de_aidin	아이딘
de_poːsiːpal	포지팔
de_hənɡel	헹겔
de_mikə	미케
de_osvalt	오스발트
de_fʁaŋkfuɐtɐ	프랑크푸르트
de_peːteɐjyɐɡən	페터위르겐
de_ənɡelkə	엥겔케
de_otmaɐ	오트마어
de_lənɡsfelt	렝스펠트
de_luːbit͡ʃ	루비치
de_boːdən	보덴
de_aiebən	아이벤
de_hokstaːdən	호흐슈타덴
de_haiedənʁaix	하이덴라이히
de_mainə	마이네
de_voɐmsɐ	보름스
de_vim	빔
de_feːliks	펠릭스
de_maːʀin	마린
de_vindek	빈데크
de_kʁistiənaː	크리스티나
de_ulʁaix	울라이히
de_eʀix	에리히
de_zaːl	잘
de_jøɐdis	외르디스
de_tiav	티아우
de_efeːlin	에벨린
de_zaːmiː	사미
de_veːnɐ	베너
de_ʁauhʃənbeɐk	라우션버그
de_fiːʃeɐdiːskauh	피셔디스카우
de_ɡisbeɐt	기스베르트
de_heːʀiːbeɐt	헤리베르트
de_konoɐ	코너
de_ɡøːʀiŋeːkaɐt	괴링에카르트
de_pʁeːmə	브레메
de_pʁil	브릴
de_ʁoːbin	로빈
de_heːkiŋk	헤킹
de_iːfaːna	이바나
de_pʁitaː	브리타
de_diːtʁix	디트리히
de_liːbeɐman	리버만
de_apʁaːham	아브라함
de_heɐspʁuk	허스부르크
de_ʃtaŋənbeɐk	슈탕겐베르크
de_heɐfuɐt	헤르푸르트
de_kʁyɡɐ	크뤼거
de_t͡siːtlov	지에우로우
de_daneːman	다네만
de_niːkel	니켈
de_kølnɐ	쾰른
de_mitelfʁaŋkən	미텔프랑켄현
de_fin	핀
de_ʁeːsiːdənt͡s	레지덴츠
de_vəndeːlin	벤델린
de_binik	비니히
de_ofə	오페
de_kaɐstəns	카르스텐스
de_feːmɐ	페머
de_kʁeːfelt	크레펠트
de_leːvon	레본
de_aŋkeɐmylɐ	앙커뮐러
de_vaʃnek	바슈네크
de_kvelmalt͡s	켈말츠
de_anselm	안젤름
de_boɐxeɐs	보르헤르스
de_ɡolɐ	골러
de_aman	아만
de_uːsiŋən	위징겐
de_klefə	클레베
de_øt͡stuːnaːliː	외즈투날르
de_zelbeɐk	셀버그
de_ʃuːlait	슐라이트
de_heɐbɐ	헤르버
de_juːliːtə	줄리엣
de_maːtuʃyk	마투슈치크
de_klainʁokɡə	클라인로게
de_daɐɡaː	다르가
de_efənbeɐk	에펜베르크
de_kaisɐ	카이저
de_foɐpomeɐn	포어포메른
de_noyhbaueɐvoeɐnɐ	노이바워뵈르너
de_meɐklin	메르클린
de_xuːsoːfiːtinaː	추소비티나
de_t͡siːtelman	치텔만
de_oɐtoːmol	오쏘몰
de_niːkoːlaus	니콜라우스
de_ɡaby	가비
de_viːkʁat͡s	비그라츠
de_ɡopel	고펠
de_bet͡ʃ	베치
de_ɡotliːp	고틀리프
de_beɐɡkʁuən	베르그루엔
de_meːmet	메멧
de_auhɡust	아우구스트
de_laipt͡sik	라이프치히
de_t͡saxɐ	차허
de_ɡeːdeon	게데온
de_kaɐlvilhelm	카를빌헬름
de_foːʁɐ	보렐
de_tʁesel	드레셀
de_uiːsənmaː	위센마
de_jaːnin	야닌
de_boːk	보크
de_zødɐ	죄더
de_joɐdan	요르단
de_koːkot	코코트
de_loːvəns	로웬스
de_leːman	레만
de_pʁənniŋɐ	브레닝거
de_badstubɐ	바트슈투버
de_juːdənkøːnik	유덴쾨니히
de_kunstman	컨스트먼
de_vaitliŋk	바이틀링
de_føpl	푀플
de_helmstet	헬름슈테트
de_ziɐx	지르히
de_keɐnɐ	커너
de_pʁøt͡sman	브뢰츠만
de_kelə	첼레
de_jaːɐ	자르
de_ʃynt͡sel	쉰첼
de_knilkaː	그닐카
de_doneɐsmaɐk	도너스마르크
de_antʁé	안드레
de_hailbat	하일바트
de_tysənkʁup	티센크루프
de_inteɐnet	인터넷
de_ʃtʁeːkənbax	슈트레켄바흐
de_eɐkek	에르체그
de_liliː	릴리
de_vesiŋkhaɡə	베싱하게
de_ʃvoːlov	슈볼로브
de_hølɐ	횔러
de_haːmaxɐ	하마허
de_fʁiːtʁix	프리드리히
de_ɡaːluːbaː	갈루바
de_maːduːkaː	마두카
de_kʁøsnɐ	크뢰스너
de_jeliŋkhaus	옐링하우스
de_tuːt͡siŋk	투칭
