angela,앙겔라,anggelra
bastian,바스티안,baseutian
schweinsteiger,슈바인슈타이거,syubainsyutaigeo
günter,귄터,gwinteo
netzer,네처,neceo
karl,카를,kareul
valentin,발렌틴,balrentin
wlaschiha,블라시하,beulrasiha
kohl,콜,kol
schröder,슈뢰더,syuroedeo
peter,페터,peteo
sloterdijk,슬로터다이크,seulroteodaikeu
werner,베르너,bereuneo
herzog,헤어초크,heeocokeu
gauck,가우크,gaukeu
christian,크리스티안,keuriseutian
wulff,불프,bulpeu
lothar,로타어,rotaeo
matthäus,마테우스,mateuseu
annette,아네테,anete
horst,호르스트,horeuseuteu
köhler,쾰러,koelreo
uli,울리,ulri
hoeneß,회네스,hoeneseu
marcel,마르셀,mareusel
reichranicki,라이히라니츠키,raihiraniceuki
bernd,베른트,bereunteu
schuster,슈스터,syuseuteo
breitner,브라이트너,beuraiteuneo
johannes,요하네스,yohaneseu
rau,라우,rau
rita,리타,rita
könig,쾨니히,koenihi
dennis,데니스,deniseu
seidenberg,자이덴베르크,jaidenbereukeu
herta,헤르타,hereuta
birol,비롤,birol
ünel,위넬,winel
oliver,올리버,olribeo
riedel,리델,ridel
heinrich,하인리히,hainrihi
lübke,륍케,rwibke
gustav,구스타프,guseutapeu
heinemann,하이네만,haineman
theodor,테오도어,teodoeo
heuss,호이스,hoiseu
sandra,잔드라,jandeura
bullock,불럭,bulreog
rudi,루디,rudi
völler,푈러,poelreo
uwe,우베,ube
seeler,젤러,jelreo
ottmar,오트마어,oteumaeo
hitzfeld,히츠펠트,hiceupelteu
josef,요제프,yojepeu
strauß,슈트라우스,syuteurauseu
seehofer,제호퍼,jehopeo
feodor,페오드르,peodeureu
lynen,리넨,rinen
ernst,에른스트,ereunseuteu
otto,오토,oto
fischer,피셔,pisyeo
richard,리하르트,rihareuteu
weizsäcker,바이츠제커,baiceujekeo
friedrich,프리드리히,peurideurihi
edmund,에드문트,edeumunteu
stoiber,슈토이버,syutoibeo
eucken,오이켄,oiken
sidney,시드니,sideuni
sam,샘,saem
koray,코라이,korai
kirch,키르히,kireuhi
erich,에리히,erihi
honecker,호네커,honekeo
egon,에곤,egon
krenz,크렌츠,keurenceu
manfred,만프레트,manpeureteu
gerlach,게를라흐,gereulraheu
kalkbrenner,칼크브레너,kalkeubeureneo
raphael,라파엘,rapael
schäfer,섀퍼,syaepeo
aland,알란드,alrandeu
scheel,셸,syel
carstens,카르스텐스,kareuseutenseu
maria,마리아,maria
remarque,레마르크,remareukeu
hermann,헤르만,hereuman
hesse,헤세,hese
frank,프랑크,peurangkeu
ordenewitz,오르데네비츠,oreudenebiceu
rahn,란,ran
pierre,피에르,piereu
littbarski,리트바르스키,riteubareuseuki
marika,마리카,marika
rökk,뢰크,roekeu
mies,미스,miseu
van,판,pan
der,데어,deeo
rohe,로에,roe
stefan,슈테판,syutepan
effenberg,에펜베르크,epenbereukeu
magnus,마그누스,mageunuseu
enzensberger,엔첸스베르거,encenseubereugeo
sebastian,제바스티안,jebaseutian
vettel,페텔,petel
otfried,오트프리트,oteupeuriteu
preußler,프로이슬러,peuroiseulreo
andreas,안드레아스,andeureaseu
ottl,오틀,oteul
nico,니코,niko
wolfgang,볼프강,bolpeugang
overath,오베라트,oberateu
mario,마리오,mario
gómez,고메스,gomeseu
tim,팀,tim
hoogland,후글란트,hugeulranteu
staudinger,슈타우딩거,syutaudinggeo
hindenburg,힌덴부르크,hindenbureukeu
böll,뵐,boel
wolf,볼프,bolpeu
blitzer,블리처,beulriceo
albert,알베르트,albereuteu
schweitzer,슈바이처,syubaiceo
timo,티모,timo
gebhart,게브하르트,gebeuhareuteu
abraham,아브라함,abeuraham
gotthelf,고트헬프,goteuhelpeu
kästner,케스트너,keseuteuneo
reiner,라이너,raineo
knizia,크니치아,keunicia
leonid,레오니트,reoniteu
kreutzer,크로이처,keuroiceo
stöck,슈퇴크,syutoekeu
bernard,베르나르트,bereunareuteu
katz,카츠,kaceu
franciszek,프란치셰크,peurancisyekeu
smuda,스무다,seumuda
eugen,오이겐,oigen
polanski,폴란스키,polranseuki
adolf,아돌프,adolpeu
butenandt,부테난트,butenanteu
beckenbauer,베켄바워,bekenbaweo
ulrich,울리히,ulrihi
wilamowitzmoellendorff,빌라모비츠묄렌도르프,bilramobiceumoelrendoreupeu
henry,헨리,henri
koster,코스터,koseuteo
eichinger,아이힝거,aihinggeo
frenkel,프렝켈,peurengkel
löw,뢰프,roepeu
philipp,필리프,pilripeu
lahm,람,ram
gerd,게르트,gereuteu
hilde,힐데,hilde
schrader,슈라더,syuradeo
hempel,헴펠,hempel
heidi,하이디,haidi
biebl,비블,bibeul
balian,발리안,balrian
buschbaum,부시바움,busibaum
raab,라브,rabeu
sabine,자비네,jabine
busch,부슈,busyu
eicher,아이허,aiheo
radbruch,라드브루흐,radeubeuruheu
grass,그라스,geuraseu
siodmak,시오드맥,siodeumaeg
merckle,메클레,mekeulre
knispel,크니슈펠,keunisyupel
ellen,엘렌,elren
unwerth,운베르트,unbereuteu
tatjana,타탸나,tatyana
patitz,파티츠,paticeu
günther,귄터,gwinteo
maleuda,말로이다,malroida
florian,플로리안,peulrorian
schwarthoff,슈바르토프,syubareutopeu
linda,린다,rinda
stahl,슈탈,syutal
josefine,요제피네,yojepine
preuß,프로이스,peuroiseu
hanns,한스,hanseu
zischler,지슐러,jisyulreo
markus,마르쿠스,mareukuseu
söder,죄더,joedeo
welter,벨터,belteo
noth,노트,noteu
christoph,크리스토프,keuriseutopeu
blumhardt,블룸하르트,beulrumhareuteu
bibiana,비비아나,bibiana
beglau,베글라우,begeulrau
kaufmann,카우프만,kaupeuman
kaas,카스,kaseu
ratzinger,라칭거,racinggeo
toni,토니,toni
garrn,가른,gareun
emanuel,에마누엘,emanuel
markgraf,폰,pon
meißen,변경백,byeongyeongbaeg
godehard,고트하르트,goteuhareuteu
hildesheim,힐데스하임,hildeseuhaim
rüdiger,뤼디거,rwidigeo
safranski,자프란스키,japeuranseuki
lena,레나,rena
meyerlandrut,마이어란드루트,maieorandeuruteu
agnes,아그네스,ageuneseu
pockels,포켈스,pokelseu
rosa,로자,roja
luxemburg,룩셈부르크,rugsembureukeu
hannelore,하넬로레,hanelrore
lubitsch,루비치,rubici
grethe,그레테,geurete
weiser,바이저,baijeo
erwin,에르빈,ereubin
schrödinger,슈뢰딩거,syuroedinggeo
sami,사미,sami
khedira,케디라,kedira
danny,대니,daeni
latza,라차,raca
jooss,요스,yoseu
gröttrup,그뢰트룹,geuroeteurub
weill,바일,bail
margot,마르고트,mareugoteu
edith,에디트,editeu
frankholländer,프랑크,peurangkeu
corinna,코리나,korina
harfouch,하르포우흐,hareupouheu
martina,마르티나,mareutina
gedeck,게데크,gedekeu
beate,베아테,beate
klarsfeld,클라르스펠트,keulrareuseupelteu
alfred,알프레트,alpeureteu
hugenberg,후겐베르크,hugenbereukeu
mariella,마리엘라,marielra
ahrens,아렌스,arenseu
nolte,놀테,nolte
klaus,클라우스,keulrauseu
wowereit,보베라이트,boberaiteu
tommy,토미,tomi
haas,하스,haseu
andres,안드레스,andeureseu
hannah,하나,hana
herzsprung,헤르츠스프룽,hereuceuseupeurung
ken,켄,ken
duken,두켄,duken
anton,안톤,anton
diffring,디프링,dipeuring
gudrun,구드룬,gudeurun
landgrebe,란트그레베,ranteugeurebe
alexandra,알렉산드라,alregsandeura
lara,라라,rara
franka,프랑카,peurangka
potente,포텐테,potente
justus,유스투스,yuseutuseu
möser,뫼저,moejeo
binsfeld,빈스펠트,binseupelteu
michael,미하엘,mihael
schumacher,슈마허,syumaheo
katja,카탸,katya
seizinger,자이칭거,jaicinggeo
engelbert,엥겔베르트,enggelbereuteu
humperdinck,훔퍼딩크,humpeodingkeu
viktoria,빅토리아,bigtoria
rebensburg,레벤스부르크,rebenseubureukeu
höflriesch,회플리슈,hoepeulrisyu
wim,빔,bim
wenders,벤더스,bendeoseu
ophüls,오퓔스,opwilseu
steffi,슈테피,syutepi
graf,그라프,geurapeu
wilhelm,빌헬름,bilhelreum
murnau,무르나우,mureunau
william,윌리엄,wilrieom
dieterle,디터리,diteori
gisela,기젤라,gijelra
schwaben,슈바벤,syubaben
haase,하제,haje
trittin,트리틴,teuritin
ballack,발라크,balrakeu
leni,레니,reni
riefenstahl,리펜슈탈,ripensyutal
margarethe,마르가레테,mareugarete
trotta,트로타,teurota
lisa,리자,rija
kreuzer,크루저,keurujeo
rudolf,루돌프,rudolpeu
kleinrogge,클라인로게,keulrainroge
kinski,킨스키,kinseuki
gregor,그레고르,geuregoreu
gysi,기지,giji
ensslin,엔슬린,enseulrin
renate,레나테,renate
künast,퀴나스트,kwinaseuteu
karoline,카롤리네,karolrine
günderrode,귄데로데,gwinderode
ostwald,오스트발트,oseuteubalteu
strauss,슈트라우스,syuteurauseu
wien,빈,bin
stern,슈테른,syutereun
lenard,레나르트,renareuteu
lins,린스,rinseu
selten,젤텐,jelten
stark,슈타르크,syutareukeu
hansi,한지,hanji
meissner,마이스너,maiseuneo
köppel,쾨펠,koepel
moers,뫼르스,moereuseu
förster,푀르슈터,poereusyuteo
schäuble,쇼이블레,syoibeulre
klinsmann,클린스만,keulrinseuman
änis,아니스,aniseu
benhatira,벤하티라,benhatira
eisenstaedt,아이젠슈테트,aijensyuteteu
hansjosef,유프,yupeu
kapellmann,카펠만,kapelman
nelly,넬리,nelri
sachs,작스,jagseu
laue,라우에,raue
weinzierl,바인치를,baincireul
schuman,쉬망,swimang
dimitri,디미트리,dimiteuri
schleicher,슐라이허,syulraiheo
grünberg,그륀베르크,geurwinbereukeu
frits,프리츠,peuriceu
clausen,클라우센,keulrausen
julia,율리아,yulria
dietze,디체,dice
behrendt,베흐렌트,beheurenteu
heß,헤스,heseu
tölzer,퇼처,toelceo
timothy,티모시,timosi
chandler,챈들러,caendeulreo
bieberbach,비버바흐,bibeobaheu
karlheinz,카를하인츠,kareulhainceu
krull,크룰,keurul
schlink,슐링크,syulringkeu
reinecke,라이네케,raineke
salmuth,잘무트,jalmuteu
volker,폴커,polkeo
strassen,슈트라센,syuteurasen
moser,모저,mojeo
yuri,유리,yuri
manin,마닌,manin
leo,레오,reo
august,아우구스트,auguseuteu
pochhammer,포흐하머,poheuhameo
kähler,켈러,kelreo
canaris,카나리스,kanariseu
kossel,코셀,kosel
hansulrich,한스울리히,hanseuulrihi
rudel,루델,rudel
eike,아이케,aike
immel,이멜,imel
petersen,페테르젠,petereujen
oswald,오스발트,oseubalteu
spengler,슈펭글러,syupenggeulreo
constantin,콘스탄틴,konseutantin
carathéodory,카라테오도리,karateodori
diane,디아네,diane
kruger,크루거,keurugeo
jens,옌스,yenseu
lehmann,레만,reman
winterkorn,빈터코른,binteokoreun
torsten,토르스텐,toreuseuten
may,마이,mai
buch,부흐,buheu
bahr,바르,bareu
hillgruber,힐그루버,hilgeurubeo
levi,레비,rebi
thore,토레,tore
schölermann,슐레만,syulreman
raeder,레더,redeo
sachsen,작센,jagsen
witt,비트,biteu
reitsch,라이치,raici
muthesius,무테지우스,mutejiuseu
wendt,웬트,wenteu
zé,제,je
roberto,호베르투,hobereutu
galland,갈란트,galranteu
küchler,퀴흘러,kwiheulreo
halder,할더,haldeo
blomberg,블롬베르크,beulrombereukeu
meret,메레트,mereteu
becker,베커,bekeo
beck,베크,bekeu
schneider,슈나이더,syunaideo
milch,밀히,milhi
brendel,브렌델,beurendel
johann,요한,yohan
geiler,가일러,gailreo
kaysersberg,카이저스베르크,kaijeoseubereukeu
sander,잔더,jandeo
cacau,카카우,kakau
hoth,호트,hoteu
jeremias,예레미아스,yeremiaseu
hitzlsperger,히츨슈페르거,hiceulsyupereugeo
hartung,하르퉁,hareutung
schörner,쇠르너,soereuneo
sepp,제프,jepeu
dietrich,디트리히,diteurihi
hausser,하우서,hauseo
matthias,마티아스,matiaseu
sammer,자머,jameo
dalbert,달베르,dalbereu
ingrid,잉그리트,inggeuriteu
micklerbecker,베커,bekeo
gogarten,고가르텐,gogareuten
sudermann,주더만,judeoman
gundi,군디,gundi
lewy,레비,rebi
störmer,슈퇴르머,syutoereumeo
claude,클라우드,keulraudeu
dornier,도르니에,doreunie
hildebrand,힐데브란트,hildebeuranteu
walther,발터,balteo
brauchitsch,브라우히치,beurauhici
fassbender,패스벤더,paeseubendeo
dahlhaus,달하우스,dalhauseu
senta,젠타,jenta
berger,베르거,bereugeo
dana,다나,dana
vávrová,바브로바,babeuroba
george,게오르게,georeuge
krebs,크렙스,keurebseu
domagk,도마크,domakeu
magda,마그다,mageuda
maihofer,마이호퍼,maihopeo
herbert,헤르베르트,hereubereuteu
kroemer,크뢰머,keuroemeo
bisky,비스키,biseuki
furler,푸를러,pureulreo
alex,앨릭스,aelrigseu
wright,라이트,raiteu
heinz,하인츠,hainceu
london,론돈,rondon
jochen,요헨,yohen
hecht,헥트,hegteu
allgöwer,알괴버,algoebeo
hartmann,하르트만,hareuteuman
moritz,모리츠,moriceu
schlick,슐리크,syulrikeu
peiper,파이퍼,paipeo
list,리스트,riseuteu
goebbels,괴벨스,goebelseu
seeckt,젝트,jegteu
lettowvorbeck,레토포어베크,retopoeobekeu
hinkel,힝켈,hingkel
arthur,아르투어,areutueo
nikisch,니키슈,nikisyu
karen,카렌,karen
horney,호나이,honai
ruska,루스카,ruseuka
james,제임스,jeimseu
last,라스트,raseuteu
traudl,트라우들,teuraudeul
junge,융에,yunge
klitzing,클리칭,keulricing
funk,풍크,pungkeu
brdarić,브르다리치,beureudarici
röpke,뢰프케,roepeuke
paula,파울라,paulra
riemann,리만,riman
emilie,에밀리,emilri
schindler,쉰들러,swindeulreo
plenzdorf,플렌츠도르프,peulrenceudoreupeu
mark,마르크,mareukeu
medlock,메드록,medeurog
tron,트론,teuron
christl,크리스틀,keuriseuteul
cranz,크란츠,keuranceu
bergmannpohl,베르크만폴,bereukeumanpol
niklas,니클라스,nikeulraseu
luhmann,루만,ruman
bloch,블로흐,beulroheu
heike,하이케,haike
drechsler,드렉슬러,deuregseulreo
modrow,모드로,modeuro
hindemith,힌데미트,hindemiteu
kilius,킬리우스,kilriuseu
hansjürgen,한스위르겐,hanseuwireugen
bäumler,보임러,boimreo
bachmann,바흐만,baheuman
antje,안톄,antye
buschschulte,부슈슐테,busyusyulte
sulzer,줄처,julceo
klausdieter,클라우스디터,keulrauseuditeo
sieloff,질로프,jilropeu
maurizio,마우리치오,mauricio
gaudino,가우디노,gaudino
rolff,롤프,rolpeu
pietsch,피치,pici
zermelo,체르멜로,cereumelro
ulf,울프,ulpeu
timmermann,티머만,timeoman
jonas,요나스,yonaseu
anneliese,아넬리제,anelrije
michel,미헬,mihel
sarah,자라,jara
hecken,헤켄,heken
hape,하페,hape
kerkeling,케르켈링,kereukelring
britta,브리타,beurita
steffen,슈테펜,syutepen
helmuth,헬무트,helmuteu
weidling,바이틀링,baiteulring
elisabeth,엘리자베트,elrijabeteu
schwarzkopf,슈바르츠코프,syubareuceukopeu
furtwängler,푸르트벵글러,pureuteubenggeulreo
mühe,뮈헤,mwihe
kuno,쿠노,kuno
westarp,베스타르프,beseutareupeu
harald,하랄트,haralteu
gottfried,고트프리트,goteupeuriteu
benn,벤,ben
ermanno,에르만노,ereumanno
wolfferrari,볼프페라리,bolpeuperari
melitta,멜리타,melrita
schenk,솅크,syengkeu
gräfin,그래핀,geuraepin
stauffenberg,슈타우펜베르크,syutaupenbereukeu
dem,뎀,dem
bachzelewski,바흐,baheu
barkhorn,바르크호른,bareukeuhoreun
rolf,롤프,rolpeu
kanies,카니스,kaniseu
stengel,슈텡겔,syutenggel
baade,바데,bade
hansgert,한스게르트,hanseugereuteu
pöttering,푀테링,poetering
michels,미헬스,mihelseu
mielke,밀케,milke
wieneke,비네케,bineke
jörg,외르크,oereukeu
fiedler,피들러,pideulreo
anna,아나,ana
seghers,제거스,jegeoseu
til,틸,til
schweiger,슈바이거,syubaigeo
coccejus,코케이우스,kokeiuseu
quandt,크반트,keubanteu
sibylla,지빌라,jibilra
merian,메리안,merian
makatsch,마카치,makaci
wolfram,볼프람,bolpeuram
sievers,지페르스,jipereuseu
genzel,겐첼,gencel
imke,임케,imke
duplitzer,두플리처,dupeulriceo
göring,괴링,goering
burwitz,부르비츠,bureubiceu
sören,쇠렌,soeren
kam,캄,kam
stipe,스티페,seutipe
erceg,에르체그,ereucegeu
joschka,요슈카,yosyuka
rahner,라너,raneo
schlöndorff,슐뢴도르프,syulroendoreupeu
diehl,딜,dil
nicolaus,니콜라우스,nikolrauseu
reimers,라이머스,raimeoseu
diana,디아나,diana
amft,암프트,ampeuteu
albig,알비히,albihi
noske,노스케,noseuke
pfitzner,피츠너,piceuneo
prinz,폰,pon
preußen,프로이센,peuroisen
reichhart,라이히하르트,raihihareuteu
wuttke,부트케,buteuke
detlev,데틀레프,deteulrepeu
buck,부크,bukeu
christiane,크리스티아네,keuriseutiane
gollwitzer,골비처,golbiceo
lale,랄레,ralre
andersen,안데르센,andereusen
christa,크리스타,keuriseuta
groß,그로스,geuroseu
schickard,시카르트,sikareuteu
brandi,브란디,beurandi
walser,발저,baljeo
döblin,되블린,doebeulrin
raabe,라베,rabe
keppler,케플러,kepeulreo
krieck,크리크,keurikeu
kegel,케겔,kegel
dorothea,도로테아,dorotea
röschmann,뢰슈만,roesyuman
käutner,코이트너,koiteuneo
abendroth,아벤트로트,abenteuroteu
staudte,슈타우테,syutaute
ernstwolfgang,에른스트볼프강,ereunseuteubolpeugang
böckenförde,뵈켄푀르데,boekenpoereude
kittler,키틀러,kiteulreo
gerard,헤라르트,herareuteu
kleisterlee,클레이스테를레이,keulreiseutereulrei
rinser,린저,rinjeo
waldburg,발트부르크,balteubureukeu
gaffky,가프키,gapeuki
ackermann,아커만,akeoman
trapp,트라프,teurapeu
christine,크리스티네,keuriseutine
wenzel,브링커,beuringkeo
nicolas,니콜라스,nikolraseu
limbach,림바흐,rimbaheu
knappertsbusch,크나퍼츠부슈,keunapeoceubusyu
jochum,요훔,yohum
goerdeler,괴르델러,goereudelreo
heiner,하이너,haineo
berthold,베르톨트,bereutolteu
leopold,레오폴트,reopolteu
jessner,예스너,yeseuneo
reitz,라이츠,raiceu
sandberger,잔트베르거,janteubereugeo
stefanie,슈테파니,syutepani
zweig,츠바이크,ceubaikeu
röhm,룀,roem
deßloch,데슬로흐,deseulroheu
jan,얀,yan
hendrik,헨드릭,hendeurig
schön,쇤,soen
oster,오스터,oseuteo
hermannbernhard,헤르만베른하르트,hereumanbereunhareuteu
ramcke,람케,ramke
traue,트라우에,teuraue
woldemar,볼데마르,boldemareu
voigt,포크트,pokeuteu
scholl,숄,syol
hoffmann,호프만,hopeuman
burgdorf,부르크도르프,bureukeudoreupeu
schabowski,샤보프스키,syabopeuseuki
knochen,크노헨,keunohen
maetzig,매치히,maecihi
götz,괴츠,goeceu
zacharias,차하리아스,cahariaseu
ursinus,우르시누스,ureusinuseu
wand,반트,banteu
gunkel,궁켈,gungkel
thyssen,티센,tisen
koller,콜러,kolreo
mandy,맨디,maendi
capristo,카프리스토,kapeuriseuto
caspar,카스파,kaseupa
olevian,올레비안,olrebian
gustloff,구스틀로프,guseuteulropeu
krupinski,크루핀스키,keurupinseuki
lil,릴,ril
dagover,다고버,dagobeo
vadim,바딤,badim
glowna,글로브나,geulrobeuna
schreiber,슈라이버,syuraibeo
claus,클라우스,keulrauseu
meinecke,마이네케,maineke
wehler,벨러,belreo
curt,쿠르트,kureuteu
goetz,괴츠,goeceu
loki,로키,roki
stumpf,슈툼프,syutumpeu
battenberg,루이,rui
brandrup,브란트루프,beuranteurupeu
ruth,루트,ruteu
fuchs,푹스,pugseu
benno,베노,beno
ohnesorg,오네조르크,onejoreukeu
theo,테오,teo
morell,모렐,morel
knuth,크누트,keunuteu
groener,그뢰너,geuroeneo
seldte,젤테,jelte
remer,레머,remeo
rochus,로후스,rohuseu
misch,미슈,misyu
aljona,알리오나,alriona
savchenko,사브첸코,sabeucenko
weingärtner,바인게르트너,baingereuteuneo
schumann,슈만,syuman
heller,헬러,helreo
hoßbach,호스바흐,hoseubaheu
offe,오페,ope
ringmann,링만,ringman
cornell,코르넬,koreunel
borchers,보르헤르스,boreuhereuseu
fady,파디,padi
maalouf,말루프,malrupeu
karlmichael,카를미하엘,kareulmihael
vogler,포글러,pogeulreo
roleder,롤레더,rolredeo
udo,우도,udo
samel,자멜,jamel
günsche,귄셰,gwinsye
bruno,브루노,beuruno
labbadia,라바디아,rabadia
priebke,프리프케,peuripeuke
hirschfeld,히르슈펠트,hireusyupelteu
sıla,슬라,seulra
şahinradlinger,샤힌,syahin
winkler,빙클러,bingkeulreo
helena,헬레나,helrena
fromm,프롬,peurom
laufer,라우퍼,raupeo
vittorio,비토리오,bitorio
hösle,회슬레,hoeseulre
marina,마리나,marina
kiehl,킬,kil
julian,율리안,yulrian
ramin,라민,ramin
djawadi,자와디,jawadi
daluege,달루에게,dalruege
arnim,아르님,areunim
felix,펠릭스,pelrigseu
steiner,슈타이너,syutaineo
backe,바케,bake
hartert,하르테르트,hareutereuteu
joel,조엘,joel
matip,마티프,matipeu
runge,룽게,rungge
jessica,예시카,yesika
iris,이리스,iriseu
berben,베르벤,bereuben
andrea,안드레아,andeurea
nahles,날레스,nalreseu
spemann,슈페만,syupeman
höhne,회네,hoene
anja,아냐,anya
kling,클링,keulring
nicolette,니콜레테,nikolrete
krebitz,크레비츠,keurebiceu
stefano,슈테파노,syutepano
celozzi,첼로치,celroci
roland,롤란트,rolranteu
freisler,프라이슬러,peuraiseulreo
kretschmann,크레치만,keureciman
hildegard,힐데가르트,hildegareuteu
knef,크네프,keunepeu
tibor,티보어,tiboeo
pleiß,플라이스,peulraiseu
maximilian,막시밀리안,magsimilrian
weichs,바이흐스,baiheuseu
schenker,쉥커,swengkeo
godoj,고도이,godoi
katrin,카트린,kateurin
sass,자스,jaseu
flint,플린트,peulrinteu
katharina,카타리나,katarina
thalbach,탈바흐,talbaheu
mathieu,마티외,matioe
carrière,카리에,karie
klaws,클라우스,keulrauseu
gedeon,게데온,gedeon
burkhard,부르크하르트,bureukeuhareuteu
hanke,항케,hangke
alice,알리체,alrice
schwarzer,슈바르처,syubareuceo
john,존,jon
rabe,라베,rabe
sawatzki,사바츠키,sabaceuki
heiko,하이코,haiko
gerber,게르버,gereubeo
ulric,율릭,yulrig
neisser,나이서,naiseo
krämergulbin,크레머,keuremeo
feld,펠드,peldeu
hoppe,호페,hope
rust,루스트,ruseuteu
röhrl,뢰를,roereul
stumpff,슈툼프,syutumpeu
boll,볼,bol
nebe,네베,nebe
kathrin,카트린,kateurin
neimke,나임케,naimke
erzberger,에르츠베르거,ereuceubereugeo
gerald,게랄트,geralteu
götting,괴팅,goeting
hausding,하우스딩,hauseuding
ningel,닝겔,ninggel
marco,마르코,mareuko
hofschneider,호프슈나이더,hopeusyunaideo
neumann,노이만,noiman
nomi,노미,nomi
schellenberg,셸렌베르크,syelrenbereukeu
pascalina,파스칼리나,paseukalrina
lehnert,레네르트,renereuteu
isolda,이졸다,ijolda
dychauk,뒤하우크,dwihaukeu
paschen,파셴,pasyen
wunderlich,분더리히,bundeorihi
rösler,뢰슬러,roeseulreo
rendtorff,렌토르프,rentoreupeu
thierack,티라크,tirakeu
keller,켈러,kelreo
terboven,테르보펜,tereubopen
brigitte,브리기테,beurigite
mohnhaupt,몬하우프트,monhaupeuteu
sindermann,진더만,jindeoman
annegret,안네그레트,annegeureteu
richter,리히터,rihiteo
wolff,볼프,bolpeu
ralf,랄프,ralpeu
rangnick,랑니크,rangnikeu
kempe,켐페,kempe
heide,하이데,haide
eckerrosendahl,로젠달,rojendal
henckel,헨켈,henkel
donnersmarck,도너스마르크,doneoseumareukeu
henny,헤니,heni
jahnn,얀,yan
veronica,베로니카,beronika
ferres,페레스,pereseu
dibelius,디벨리우스,dibelriuseu
waldemar,발데마르,baldemareu
bonsels,본젤스,bonjelseu
kostja,코스차,koseuca
ullmann,울만,ulman
schirach,시라흐,siraheu
daßler,다슬러,daseulreo
maxi,막시,magsi
herber,헤르버,hereubeo
vietinghoff,피팅호프,pitinghopeu
ilona,일로나,ilrona
slupianek,슬루피아네크,seulrupianekeu
greis,그라이스,geuraiseu
ullrich,울리히,ulrihi
rommel,로멜,romel
eva,에바,eba
habermann,하버만,habeoman
hilpert,힐페르트,hilpereuteu
hüller,휠러,hwilreo
michelle,미셸,misyel
heldt,헬트,helteu
ehrhoff,에어호프,eeohopeu
natalie,나탈리,natalri
geisenberger,가이젠베르거,gaijenbereugeo
krupp,크루프,keurupeu
severing,제베링,jebering
menahem,메나헴,menahem
pressler,프레슬러,peureseulreo
todt,토트,toteu
guido,기도,gido
westerwelle,베스터벨레,beseuteobelre
rené,레네,rene
pape,파페,pape
conzelmann,콘젤만,konjelman
marvin,마르빈,mareubin
plattenhardt,플라텐하르트,peulratenhareuteu
ulli,울리,ulri
lommel,롬멜,rommel
jasmin,야스민,yaseumin
tabatabai,타바타바이,tabatabai
himmler,힘러,himreo
kristina,크리스티나,keuriseutina
bach,바흐,baheu
else,엘제,elje
laskerschüler,라스커쉴러,raseukeoswilreo
horch,호르히,horeuhi
kamil,카밀,kamil
glik,글리크,geulrikeu
stuckart,슈투카르트,syutukareuteu
carius,카리우스,kariuseu
streckenbach,슈트레켄바흐,syuteurekenbaheu
chemnitz,켐니츠,kemniceu
