éverton,艾华顿
floriano,弗洛里亚诺
peixoto,佩绍托
ana,安娜
beatriz,比阿特丽斯
robson,罗布松
caetano,卡塔诺
pizzonia,皮佐尼亚
astrud,阿斯特鲁德
sarah,萨拉赫
clarice,克拉丽斯
lispector,利斯佩克托
gal,盖儿
costa,科斯塔
caroline,卡罗琳
trentini,特伦尼
alex,亚历克斯
sebastião,塞巴斯蒂昂
lazaroni,拉扎罗尼
daniel,丹尼尔
cristiano,克里斯蒂亚诺
matta,马塔
teliana,特莉阿娜
maicon,麦孔
douglas,道格拉斯
sisenando,西塞南多
nathalia,纳塞利亚
dill,迪尔
jaqueline,杰奎琳
carvalho,卡瓦略
raquel,拉奎尔
zimmermann,芝玛曼
sarney,萨尔内
royce,罗伊斯
gracie,格雷西
geovanni,祖云尼
joubert,若伯特
araújo,阿劳约
sérgio,塞尔吉奥
rocha,罗沙
dilma,迪尔玛
rousseff,罗塞夫
ronald,罗纳德
golias,戈里亚斯
sheilla,谢拉
castro,卡斯特罗
jade,杰德
barbosa,巴博萨
bebel,贝波
thaísa,泰莎
daher,梅内塞斯
biggs,毕格斯
garrincha,加林查
hickmann,希克曼
arthur,亚瑟
zanetti,扎内蒂
huenes,晓尼斯
marcelo,马塞洛
lemos,利莫斯
tite,蒂特
romário,罗马里奥
cafu,卡福
bismarck,比斯马克
barreto,巴雷托
faria,法利亚
zé,泽
alfie,阿尔弗雷德
enoch,伊诺奇
mineiro,米内罗
alan,阿兰
danilo,达尼洛
wallace,华莱士
kelvin,凯尔文
mateus,马特乌斯
zico,济科
djalminha,贾米尼亚
lina,莉娜
bo,博
bardi,巴尔迪
mangabeira,曼格贝拉
unger,昂格尔
mello,梅洛
giovane,吉奥瓦尼
élber,埃尔伯
cláudio,克劳迪奥
hummes,胡默斯
michelle,米歇尔
jorginho,若尔吉尼奥
putinatti,普提那堤
claudino,科劳迪诺
bruna,布鲁娜
tenório,特诺里奥
gemignani,热米尼亚尼
victor,维克托
bagy,巴吉
osvaldo,奥斯瓦尔多
aranha,阿拉尼亚
edu,埃杜
marangon,马兰贡
vinício,维尼西奥
falkenburg,福尔肯伯格
tancredo,坦克雷多
natália,娜塔莉亚
tandara,坦达拉
caixeta,凯谢塔
maya,玛雅
gabeira,加贝拉
pé,雷纳托
murcho,弗雷德里科
jesus,赫苏斯
cacau,卡考
robinho,罗宾奴
leão,莱昂
xuxa,舒莎
rogério,罗热里奥
dutra,杜特拉
celso,塞尔索
amorim,阿莫里姆
muriqui,穆里奇
firmino,菲尔米诺
gérson,热尔松
antonio,安东尼奥
possamai,波萨马伊
flávio,弗拉维奥
pinto,平托
chaves,查韦斯
augusto,奥古斯托
rademaker,拉德马克
carioca,卡里奥卡
waldemar,瓦尔德马尔
santana,桑塔纳
delani,德拉尼
éder,埃德尔
luciano,卢西亚诺
soares,苏亚雷斯
rodrigo,罗德里戈
defendi,德芬迪
nicholas,尼古拉斯
conceição,孔塞桑
sheik,埃莫森
lessa,莱萨
tomás,托马斯
behrend,贝哈连德
caio,卡约
canedo,卡内多
correa,科雷亚
maria,玛丽亚
gomes,戈麦斯
valentim,瓦琳廷
marjorie,马乔里
estiano,德奥利维拉
dênis,丹尼士
marques,马克斯
imre,伊姆雷
simon,西蒙
guilherme,吉列尔梅
clezar,克里札
eninho,埃尼尼奥
andre,安德烈
matos,马托斯
echigo,越后
fofão,弗法奥
ziad,齐亚德
fazah,法扎赫
paiola,帕约拉
dino,迪诺
sani,辛尼
argel,阿吉尔
fuchs,法克斯
ernesto,埃内斯托
geisel,盖泽尔
jucilei,尤西雷
santoro,桑托罗
schmidt,施密特
tasso,塔索
fragoso,弗拉戈索
césar,塞萨尔
cielo,西埃洛
torres,托雷斯
alvim,阿尔维姆
evaristo,立德
elinton,埃林顿
deco,迪高
pedro,佩德罗
aleixo,阿莱绍
plínio,普林尼奥
salgado,萨尔加多
wilson,威尔逊
rodrigues,罗德里格斯
roger,罗杰
guerreiro,盖雷罗
aldair,阿尔代尔
mancini,文仙尼
edmílson,埃德米尔森
eurico,尤里科
gaspar,加斯帕尔
taddei,塔代伊
freyre,弗雷雷
lúcio,卢西奥
vágner,瓦格纳
love,勒夫
taffarel,塔法雷尔
alkmin,奥克明
fabão,法巴奥
emílio,埃米利奥
garrastazu,加拉斯塔苏
médici,梅迪西
djalma,贾尔马
fratus,富拉图斯
dines,迪内斯
leonardo,莱昂纳多
bittencourt,比滕考特
winck,温克
zuzu,茱茱
angel,安琪尔
muricy,墨里西
ramalho,拉马略
hypólito,伊波利托
severino,史华连奴
ceni,切尼
ivan,伊万
lins,林斯
santacroce,桑塔克罗切
rink,林克
braz,布拉兹
aviz,阿维斯
slobodan,斯洛博丹
soro,索罗
bohm,玻姆
artur,阿图尔
bernardes,贝纳德斯
epitácio,埃皮塔西奥
pessoa,佩索阿
machado,马查多
assis,阿西斯
coutinho,科蒂尼奥
veloso,维罗索
jânio,雅尼奥
quadros,夸德罗斯
café,小若昂
amoroso,阿莫罗索
cavalieri,卡瓦列里
prudente,普鲁登特
morais,莫赖斯
michel,米歇尔
bastos,巴斯托斯
ribeiro,里贝罗
gonçalves,贡萨尔维斯
wanderson,云达臣
paula,保拉
sabino,沙宾奴
kita,基塔
afonso,阿方索
pena,佩纳
nagamura,永村
eugênio,恩仁
sales,萨勒斯
padilha,帕蒂尔哈
rafael,拉斐尔
mariano,马利安奴
luana,卢瓦娜
vicente,维森特
lohaynny,洛海尼
ierusalimschy,耶鲁萨林斯希
manga,曼加
tostão,托斯唐
vavá,瓦瓦
frança,法兰卡
giuliano,久利亚诺
saatkamp,斯特坎普
rafaela,拉斐拉
wilker,威尔克
carneiro,卡内罗
avila,阿维拉
erison,艾利臣
mignone,米戈农
huertas,韦尔塔斯
giuseppe,朱塞培
ungaretti,翁加雷蒂
philippe,菲利普
haddad,哈达德
maia,马亚
sylvinho,西尔维尼奥
weldon,威尔顿
thomaz,托马斯
bellucci,贝鲁奇
sampaio,桑帕约
morris,莫里斯
albert,阿尔伯特
fernanda,费尔南达
venturini,文图里尼
affonso,阿丰索
évora,埃沃拉
falcão,法尔考
saverin,萨维林
didi,迪迪
frederico,弗雷德里科
guedes,格德斯
marson,马尔松
saragosa,沙拉高沙
marco,马尔科
maciel,马西埃尔
isaías,伊萨伊亚斯
noronha,诺罗尼亚
dinho,蒂尼奥
mendes,门德斯
hermes,埃梅斯
mário,马里奥
kardec,卡尔德克
vampeta,云比达
naldo,拿杜
hernanes,埃尔纳内斯
toldo,托度
ganso,甘索
andrés,安德列斯
d'alessandro,达历山德罗
pantera,潘得拉
karim,凯里
aïnouz,阿努兹
robyn,罗宾
regehr,雷格尔
cláudia,克劳迪亚
abreu,阿布雷乌
prestes,普列斯特斯
nilo,尼洛
peçanha,佩萨尼亚
vanderlei,万德雷
luxemburgo,卢森博格
gilmar,吉马尔
rinaldi,里纳尔迪
oreco,奥利高
bábby,阿劳约
venceslau,文塞斯劳
brás,布拉斯
linhares,里尼亚雷斯
ketleyn,凯特琳
nenê,尼利
paulista,保利斯塔
nereu,内雷乌
allan,阿兰
loureiro,洛雷罗
candido,坎迪多
portinari,波尔蒂纳里
kieza,杰萨
b,比阿特丽斯
possebon,波塞邦
adaílton,艾达顿
nasr,纳斯尔
marcelinho,马塞利尼奥
daniella,丹妮埃拉
cicarelli,西卡雷莉
cortês,哥迪斯
edivaldo,埃迪瓦尔多
rojas,夏莫沙
montenegro,蒙特纳哥
anderson,安德森
jonas,庄拿斯
léo,莱奥
baptistão,巴普蒂斯唐
mauro,毛罗
reis,雷斯
careca,卡雷卡
meirelles,梅雷莱斯
alexandra,亚历山德拉
araujo,阿劳若
mattioni,马蒂奥尼
cionek,西奥内克
zago,萨高
algodão,阿尔戈当
sidiclei,薛迪利
nascimento,纳西门托
christian,克里斯蒂安
corrêa,科雷亚
dionísio,迪奥尼西乌
aurora,奥罗拉
alencar,阿伦卡尔
ponte,邦迪
milos,米洛斯
albano,阿尔巴诺
bortoletto,博托莱托
cavallin,卡瓦林
tiago,蒂亚戈
splitter,斯普利特
bolzan,保坦
rodolfo,鲁道夫
pires,皮雷斯
cajá,卡贾
garcia,加西亚
martial,马夏尔
gueroult,盖鲁
anselmo,安塞尔莫
chierighini,切尔希尼
ghosn,戈恩
cássio,卡西奥
tardelli,塔尔德利
guilheiro,古列罗
demoliner,德莫里内
castán,卡斯坦
santin,辛坦
wagner,瓦格纳
moura,莫拉
davi,戴维
junior,儒尼奥尔
aureliano,奥雷利亚诺
zito,济托
galvão,加尔旺
bonfim,邦芬
bordon,博登
varejão,瓦莱乔
donato,多纳托
cuca,库卡
carol,卡罗尔
gattaz,盖塔兹
siqueira,西凯拉
rochemback,罗申巴克
medina,梅迪纳
raul,劳尔
pacheco,帕切科
matuzalém,马度沙林
adílson,阿迪尔森
müller,缪勒
delfim,德尔芬
moreira,莫雷拉
juliana,朱莉安娜
imai,今井
loalwa,拉娃
guimarães,吉马良斯
larangeira,拉朗杰拉
campos,坎波斯
calixto,卡利斯托
yan,杨
claudemir,哥迪马
mayra,梅拉
aguiar,阿吉亚尔
tjong,汤
seu,塞乌
sarahyba,萨拉伊巴
estácio,埃施塔西奥
coimbra,科英布拉
charles,查尔斯
miller,米勒
melo,梅洛
viana,维亚纳
niède,聂德
guidon,吉东
véra,维拉
clouzot,克鲁佐
obina,奥比纳
alexandro,亚历山德罗
serafim,色辣芬
cândido,坎迪多
rondon,龙东
geraldo,杰拉尔多
alckmin,阿尔克明
jacob,雅各布
palis,帕里斯
éldis,艾迪斯
damasio,达马斯奥
adiel,艾迪尔
prado,普拉多
saretta,萨雷塔
meligeni,梅利杰尼
gabriela,加布里埃拉
sá,萨
mourão,莫朗
reges,列谢斯
milton,米尔顿
finkler,芬拿
kuhlmann,库尔曼
alison,艾利森
cerutti,切鲁蒂
lincoln,连干
renan,雷南
bressan,布雷桑
cíntia,辛蒂亚
dicker,迪克
joaquim,若阿金
demerson,德默森
giba,吉巴
camilo,卡米洛
hélio,艾里奥
detinho,迪天奴
glover,格洛佛
teixeira,特谢拉
walter,沃尔特
salles,萨勒斯
chana,沙娜
masson,马松
jéssica,杰茜卡
pauletto,保莱托
miguel,米格尔
henkel,康内莉
canto,坎托
ederson,埃德森
honorato,奥诺拉托
alcides,艾斯迪斯
clodoaldo,哥罗多度
temer,特梅尔
aécio,阿埃西奥
raffael,拉斐尔
simplício,森比斯奥
latuff,拉特福
daniela,达妮埃拉
mercury,玛克丽
lindell,林戴尔
washington,华盛顿
stecanela,斯泰卡奈罗
cerqueira,塞凯拉
poliana,波利亚娜
okimoto,冲本
danielson,丹尼尔臣
trindade,特林达德
rubem,鲁本
itamar,伊塔马尔
franco,佛朗哥
luna,路拿
dinélson,迪尼尔森
chuva,祖华
marcela,玛赛拉
cunha,库尼亚
magno,马格诺
guido,吉多
beck,贝克
pepe,佩佩
rivaldo,里瓦尔多
caboré,卡保利
farias,法里亚斯
occhialini,奥基亚利尼
orzechowski,奥谢霍夫斯基
rolando,罗兰多
teló,泰洛
tavares,塔瓦雷斯
otávio,奥塔维奥
monteiro,蒙泰罗
rodriguez,罗德里格斯
lily,莉莉
safra,萨夫拉
jefferson,谢佛逊
benjamin,本杰明
insfran,因斯福兰
aldo,阿尔多
aline,艾琳
weber,韦伯
nathalie,纳塔莉
moellhausen,默尔豪森
pölking,珀金
tolói,特洛伊
uvini,乌维尼
angelo,安杰洛
sormani,索尔马尼
saldanha,萨尔达尼亚
amanda,阿曼达
nunes,努内斯
dória,多瑞亚
tonho,托尼奥
gil,吉尔
narde,纳尔德
roberta,罗贝塔
ratzke,拉兹克
weligton,维列顿
burle,布雷
marx,马克思
rosaly,罗莎莉
ferraz,费拉斯
dal,达尔
zotto,佐托
nogueira,诺盖拉
kaká,卡卡
edson,埃德森
barboza,巴博萨
kaiser,凯撒
raymundo,雷蒙
damasceno,达玛森诺
palmieri,帕尔米耶里
majella,马热拉
agnelo,阿涅洛
eusébio,欧瑟伯
scheid,沙伊德
ratinho,拉蒂尼奥
peres,佩雷斯
fabrício,法布里西奥
messias,梅西亚斯
gamalho,加马奴
ely,埃利
ithamara,伊莎
koorax,柯芮
stefan,史提芬
manfredo,曼弗雷多
fest,菲斯特
carrijo,卡里祖
gilbert,吉尔伯特
burns,伯恩斯
ned,内德
toscano,托斯卡诺
ronaldo,罗纳尔多
moraes,莫赖斯
igor,伊戈尔
sidraílson,沙域臣
darlan,达兰
romani,罗马尼
mauri,莫里
könig,柯尼格
may,梅
east,伊斯特
zarif,扎里夫
araripe,艾拉莱普
inácio,伊纳西奥
arruda,阿鲁达
amazonas,阿马佐纳斯
jumar,胡马尔
baroni,巴罗尼
wendell,文德尔
lira,利拉
laura,劳拉
pigossi,皮戈西
schroeber,施勒伯
élcio,埃尔西奥
álvares,阿尔瓦雷斯
etiene,艾蒂安
medeiros,梅德罗斯
daiene,戴妮
alcino,阿尔西诺
márcio,马斯奥
calderano,卡尔德拉诺
jair,雅伊尔
bolsonaro,博索纳罗
marcélia,马塞利娅
cartaxo,卡尔塔绍
mike,迈克
krieger,克里格
luciana,卢西亚娜
moisés,莫伊塞斯
magalhães,马加良斯
agnelli,阿格内利
róger,罗热
manuela,曼努埃拉
d'ávila,达阿维拉
valle,瓦莱
pomar,波马尔
tereza,特雷扎
delta,德尔塔
pietro,彼得罗
rebeca,丽贝卡
winicki,桑托斯
suzana,苏珊娜
herculanohouzel,埃尔库拉诺乌泽尔
suzane,苏珊
guerra,格拉
azevêdo,阿泽维多
anitta,阿妮塔
cícero,西塞罗
dourado,多拉多
escobar,埃斯科巴
kleber,克雷伯
mendonça,曼东沙
telles,泰利斯
barra,巴拉
zormann,索尔曼
matheus,马特乌斯
malcom,马尔甘
cebolinha,索亚雷斯
hyuri,尤里
marlon,马龙
codá,科达
jemerson,谢美臣
luan,卢安
vieira,维埃拉
joelinton,祖连顿
boschilia,保治利亚
martine,马蒂娜
grael,格拉埃尔
marcus,马库斯
vinicius,维尼修斯
d'almeida,德阿尔梅达
isaquias,伊萨基亚斯
queiroz,凯罗斯
kahena,卡埃娜
kunze,孔泽
josip,约瑟普
vrlić,弗尔利奇
arana,阿拉纳
sancho,桑乔
gualberto,瓜尔贝托
veríssimo,维里西莫
richarlison,理查利森
tiquinho,蒂基尼奥
brandonn,布兰顿
rosamaria,罗萨马利亚
montibeller,蒙蒂贝勒
altamir,阿尔塔米尔
luisa,路易莎
stefani,斯特凡尼
melody,旋律
jardim,雅尔丁
yoandy,约安迪
leal,莱亚
marília,玛丽亚
neres,涅里斯
julio,胡利奥
pedreira,佩德雷拉
pantoja,潘托哈
alok,阿洛克
militão,米利唐
royal,莱耶
paquetá,帕克塔
borrachinha,科斯塔
cargnin,卡格连
patrícia,帕特里夏
drugovich,德鲁戈维奇
vinícius,维尼修斯
gleison,格雷森
bremer,布雷默
jessica,杰西卡
andrew,安德鲁
parsons,帕森斯
cabral,卡布拉尔
marielle,马里耶勒
seyboth,赛博特
wild,维尔德
lodi,洛迪
milena,米莱娜
titoneli,蒂托内尼
ícaro,伊卡洛
deiveson,戴维森
kaio,凯奥
hamilton,汉密尔顿
rodrygo,罗德里戈
goes,德戈埃斯
martinelli,马丁内利
scheffer,舍费尔
yuri,尤里
catarina,卡塔里娜
macario,马卡里奥
giovanna,焦万娜
diamante,迪亚曼特
viviane,维维亚娜
jungblut,容布卢特
johnny,约翰尼
walker,沃克
menino,梅尼诺
lamoglia,拉莫利亚
ângelo,安哲奴
veron,贝隆
sávio,萨维奥
vladas,弗拉达斯
sidoravicius,西多拉维丘斯
andrey,安德烈
endrick,恩德里克
vitor,域陀
roque,罗克
inah,伊娜
canabarro,卡纳巴罗
riedel,里德尔
xanana,沙纳纳
gusmão,古斯芒
abel,阿贝尔
xavier,沙维尔
sócrates,苏格拉底
rui,鲁伊
maniche,马尼切
luísa,路易莎
sobral,索布拉尔
teófilo,特奥菲洛
silvestre,西尔维斯特
varela,瓦雷拉
vitorino,维托里诺
antunes,安图内斯
mondlane,蒙德拉纳
manoel,曼诺
petit,佩蒂特
simão,西芒
sabrosa,萨布罗萨
policarpo,保理加布
patrício,帕特里西奥
bernardino,贝尔纳迪诺
amaury,阿莫里
bischoff,比绍夫
larcher,拉莎
brito,布里托
quaresma,夸雷斯马
caneira,简利拿
bebé,贝贝
craveiro,克拉维罗
saramago,萨拉马戈
teresa,特雷莎
saraiva,萨拉依瓦
telma,特尔玛
vanessa,瓦妮莎
antónio,安东尼奥
egas,埃加斯
moniz,莫尼斯
bosingwa,博辛瓦
lobo,洛博
baía,巴亚
domingos,多明戈斯
paciência,帕西恩西亚
indi,恩迪
nuno,努诺
futre,富特雷
heinz,海因茨
kerry,克里
ticha,蒂莎
penicheiro,佩尼谢罗
hanna,安娜
damásio,达马西奥
vieirinha,维埃里尼亚
sidónio,西多尼奥
pais,派斯
mamona,马蒙娜
passos,帕索斯
villasboas,维拉斯波亚斯
amílcar,阿米尔卡
rúben,鲁本
hilário,希拉里奥
hélder,埃尔德
postiga,波斯蒂加
moutinho,穆蒂尼奥
samora,萨莫拉
machel,马谢尔
rosa,罗莎
mota,莫塔
meira,梅拉
cabeçadas,卡贝萨达斯
américo,阿梅里科
bettencourt,贝登科特
espírito,埃斯皮里托
santo,桑托
aristides,阿里斯蒂德
sousa,索萨
barroso,巴罗佐
mia,米娅
rose,罗斯
guterres,古特雷斯
olegário,奥莱加里欧
benquerença,本奎伦卡
paulinho,保利尼奥
mourinho,穆里尼奥
cédric,塞德里克
nelly,妮莉
furtado,弗塔度
ruah,鲁阿
valente,华伦迪
tabucchi,塔布其
esteves,埃斯特维斯
marcello,马尔塞洛
costinha,哥斯甸亚
nani,兰尼
souto,苏托
figo,菲戈
coentrão,干查奥
dinis,迪尼什
hermínia,赫米尼亚
magueijo,马盖若
álvaro,阿尔瓦罗
cunhal,库尼亚尔
bento,本托
freitas,弗雷塔斯
siza,西塞
salazar,萨拉查
proença,普罗恩卡
guilhermina,古尔赫米娜
suggia,苏吉娅
carreira,卡雷拉
micael,米凯尔
couto,库托
lamy,拉米
roman,罗曼
abramovich,阿布拉莫维奇
jeanmichel,让米歇尔
bismut,比斯姆
kaúlza,考尔扎
arriaga,阿里亚加
kátia,卡蒂娅
aveiro,阿维罗
meireles,梅雷莱斯
humberto,温贝托
delgado,德尔加多
raphaël,拉斐尔
beltrão,贝尔特朗
fineza,费尼扎
gonzaga,贡沙华
lucy,露西
bronze,布龙泽
apolónia,阿波罗尼亚
manuel,曼努埃尔
félix,菲利克斯
leitão,莱唐
d'eça,德萨
diogo,迪奥戈
salomão,萨洛芒
pereirinha,佩雷林哈
quina,基纳
sassetti,萨塞蒂
camacho,卡马乔
sílvio,西尔维奥
vasco,瓦斯科
inês,伊内斯
henriques,亨里克斯
fonte,冯特
adrien,阿德里恩
orlando,奥兰多
rony,罗尼
róró,罗罗
ilori,伊洛里
podence,波登塞
magdolna,普格利
purgly,玛格多娜
bello,贝洛
ljubinko,柳宾科
drulović,德鲁洛维奇
tobias,托比亚斯
mario,马里奥
rondón,隆东
nadir,那德尔
bruma,布鲁马
madalena,马格达连那
cavaleiro,卡瓦莱罗
pimenta,皮门塔
fiúza,菲乌萨
infante,因凡特
emanuel,埃马努埃尔
cancelo,坎塞洛
jaime,杰米
resende,雷森德
anthony,安东尼
paredes,帕雷德斯
rolão,罗朗
preto,普雷托
bragança,布拉干萨
ileana,艾莉安娜
d'cruz,迪古斯
gastão,盖斯托
elias,埃利亚斯
clemente,克莱门特
geraldes,格拉德斯
sara,萨拉
gonçalo,贡萨洛
trincão,特林康
sanches,桑谢斯
jota,祖达
ivo,伊沃
horta,奥尔塔
gelson,谢臣
gedson,谢特臣
dalot,达洛特
auriol,奥丽奥尔
dongmo,东戈莫
palhinha,帕利尼亚
salvador,萨尔瓦多
semedo,塞梅多
manafá,马纳法
carmo,卡尔莫
dantas,丹塔斯
loïs,罗伊斯
openda,奥彭达
iúri,尤里
armando,阿曼多
alba,艾芭
melchior,梅尔基奥
gerson,葛森
vitinha,维蒂尼亚
maro,玛萝
raimundo,雷蒙多
osasco,奥萨斯库
pelotas,佩洛塔斯
manicoré,马尼科雷
embraer,巴西航空工业公司
brasil,巴西
campinas,坎皮纳斯
curitiba,库里蒂巴
fortaleza,福塔莱萨
real,巴西雷亚尔
brasília,巴西利亚
sergipe,塞尔希培州
ernestina,埃内斯蒂娜
amazônia,亚马逊雨林
matinhos,马蒂尼奥斯
cascavel,卡斯卡韦尔
tocantins,托坎廷斯州
recife,累西腓
bagé,巴热
crixás,克里沙斯
carapicuíba,卡拉皮库伊巴
reserva,雷塞尔瓦
leblon,莱伯伦
natal,纳塔尔
niterói,尼泰罗伊
petrobras,巴西石油
palmas,帕尔马斯
chaco,大查科
maringá,马林加
paraná,巴拉那州
macapá,马卡帕
sinop,锡诺普
florianópolis,弗洛里亚诺波利斯
caldazinha,卡尔达齐尼亚
pampa,彭巴草原
anápolis,阿纳波利斯
tramandaí,特拉曼达伊
encantado,恩坎塔杜
guarulhos,瓜鲁柳斯
olinda,奥林达
blumenau,布卢梅瑙
sorocaba,索罗卡巴
bauru,包鲁
petrópolis,彼得罗波利斯
aratiba,阿拉蒂巴
arambaré,阿兰巴雷
joinville,若因维利
pantanal,潘塔纳尔湿地
londrina,隆德里纳
diamantina,迪亚曼蒂纳
vitória,维多利亚
capoeira,卡波耶拉
itumbiara,伊通比亚拉
jacuizinho,雅奎济纽
catalão,卡塔洛
poconé,波科内
teresina,特雷西纳
goiânia,戈亚尼亚
taubaté,陶巴特
ijuí,伊茹伊
aracaju,阿拉卡茹
maceió,马塞约
uberlândia,乌贝兰迪亚
canoas,卡诺阿斯
nanuque,纳努克
ibirubá,伊比鲁巴
jóia,若亚
pará,帕拉州
braúnas,布劳纳斯
sairé,赛雷
rialma,里亚尔马
coaraci,科阿拉西
guarapari,瓜拉帕里
guarujá,瓜鲁雅
condado,孔达杜
xambioá,尚比奥阿
autódromo,若泽
interlagos,帕塞赛道
cuiabá,库亚巴
coroaci,科罗阿西
vereda,韦雷达
arara,阿拉拉
olímpia,奥林匹亚
brazabrantes,布拉扎布兰特斯
paraíba,帕拉伊巴州
aspásia,阿斯帕夏
balbinos,巴尔比努斯
bananal,巴纳纳尔
axixá,阿希沙
chimarrão,玛黛茶
copacabana,科帕卡巴纳
dumont,杜蒙特
auriflama,奥里夫拉马
corumbá,科伦巴
contagem,孔塔任
glória,格洛里亚
jaguari,雅瓜里
paranapuã,帕拉纳普昂
turiaçu,图里亚苏
brasiléia,巴西莱亚
arcoverde,阿尔科韦迪
caratinga,卡拉廷加
oiapoque,奥亚波基
peruíbe,佩鲁伊比
aceguá,阿塞瓜
mairipotaba,迈里波塔巴
aloândia,阿洛安迪亚
hidrolândia,伊德罗兰迪亚
firminópolis,菲尔米诺波利斯
matrinchã,马特林尚
congonhas,孔戈尼亚斯
jundiaí,永贾伊
jarinu,雅里努
derrubadas,德鲁巴达斯
crucilândia,克鲁西兰迪亚
butiá,布蒂亚
guaratinguetá,瓜拉廷格塔
juti,茹蒂
porteirão,波尔泰朗
itarumã,伊塔鲁芒
ceará,塞阿拉州
goianira,戈亚尼拉
amapá,阿马帕州
cerrado,塞拉多
alumínio,阿卢米尼奥
itaberá,伊塔贝拉
piripiri,皮里皮里
santiago,圣地牙哥
arenópolis,阿雷诺波利斯
paraúna,帕拉乌纳
serro,塞鲁
