ernests,厄内斯特
zemgale,瑟米加利亚
brocēni,布罗采尼
tukums,图库姆斯
krāslava,克拉斯拉瓦
pulvertornis,火药塔
kurzeme,库尔兰
aloja,阿洛亚
pāvilosta,帕维洛斯塔
salacgrīva,萨拉茨格里瓦
ainaži,艾纳日
aizkraukle,艾兹克劳克莱
balvi,巴尔维
staicele,斯泰采莱
mazsalaca,马兹萨拉察
lubāna,卢巴纳
talsi,塔尔西
kandava,坎达瓦
kārsava,卡尔萨瓦
salaspils,萨拉斯皮尔斯
varakļāni,瓦拉克利亚尼
valdemārpils,瓦尔代马尔皮尔斯
grobiņa,格罗比尼亚
viļaka,维利亚卡
olaine,奥莱内
preiļi,普雷利
cesvaine,采斯瓦伊内
dagda,达格达
dobele,多贝莱
ogre,奥格雷
alūksne,阿卢克斯内
airbaltic,波罗的海航空
madona,马多纳
skrunda,斯克伦达
baloži,巴洛日
lielvārde,利耶尔瓦尔代
vangaži,万加日
gulbene,古尔贝内
līvāni,利瓦尼
vidzeme,维泽梅
saldus,萨尔杜斯
ludza,卢扎
strenči,斯特伦奇
līgatne,利加特内
pļaviņas,普利亚维尼亚斯
seda,塞达
ilūkste,伊卢克斯泰
subate,苏巴泰
daugavpils,陶格夫匹尔斯
valka,瓦尔卡
auce,奥采
ape,阿佩
rūjiena,鲁伊耶纳
daugava,道加瓦足球俱乐部
ventspils,文茨皮尔斯
cēsis,采西斯
sēlija,塞罗尼亚
priekule,普列库莱
valmiera,瓦尔米耶拉
ķegums,基耶古姆斯
stende,斯滕代
kuldīga,库尔迪加
lats,拉脱维亚拉特
skrīveri,斯克里韦里
rucava,鲁察瓦
vienotība,团结
rfs,里加足球学校
limbaži,林巴日
liepāja,利耶帕亚
auda,奥达足球俱乐部
gaiziņš,盖幸肯山
karosta,卡洛斯塔
metta,梅塔足球俱乐部
priekuļi,普里埃库利
vaivari,瓦伊瓦里
kolkasrags,科尔卡角
lielupe,利耶卢佩
jaundubulti,新杜布尔季
dzintari,津塔里
lašupe,拉舒佩
kolka,科尔卡村
nepilsoņi,非公民
vārnukrogs,瓦尔努克罗格斯
namiķi,纳米基
lutriņi,卢特里尼
zīlāni,济拉尼
dubulti,杜布尔季
kūdra,库德拉
latavio,拉脱维亚航空
vendi,温迪
rupjmaize,拉脱维亚黑麦面包
skulte,斯库尔泰
asari,阿萨里
sloka,斯洛卡
krievvalodīgie,东欧文化圈
ķemeri,基耶梅里
valērijs,瓦列里斯
žolnerovičs,佐尔内罗维奇斯
romāns,罗门
višņaks,维许尼亚克
bertolds,汉诺威的贝特霍尔德
piebalgs,皮耶巴尔格斯
lūsis,卢西斯
aivars,艾瓦斯
lembergs,伦伯格斯
pauls,保尔斯
valdens,瓦尔登
ritus,里图斯
krjauklis,克利亚乌克里斯
andrejs,安德烈斯
upīts,乌匹茨
vladimirs,弗拉迪米尔斯
kamešs,卡梅斯
konrāds,康拉斯
kalējs,卡雷斯
pļaviņš,普拉维斯
ādolfs,阿道夫斯
bļodnieks,布罗德涅克斯
balodis,巴洛迪斯
bartolomejs,巴塞洛缪
hēneke,霍内克
viktors,维克托斯
arājs,阿拉斯
gustavs,古斯塔夫斯
zemgals,曾加尔斯
martinsons,马丁松斯
ščerbatihs,谢尔巴蒂斯
konstantīns,康士坦丁
raudive,鲁迪夫
imants,伊曼茨
bleidelis,布雷德利斯
ugrjumovs,优格马福
igors,伊戈尔斯
stepanovs,斯特帕诺夫斯
zīle,兹勒
pabriks,帕布里克斯
baltazars,巴尔塔萨
fon,冯
kampenhauzens,坎彭豪森
arnis,阿尼斯
mednis,梅德尼斯
zbigņevs,兹比格涅夫斯
stankevičs,斯坦克维奇斯
perepļotkins,佩雷珀特金斯
rubins,鲁宾斯
birkavs,比尔卡夫斯
intars,英塔尔
busulis,布苏利斯
lija,利亚
mara,玛拉
elīna,艾琳娜
garanča,嘉兰莎
sandra,桑德拉
kalniete,卡尔尼特
aija,艾贾
andrejeva,安德烈耶娃
zigfrīds,齐格弗里兹
anna,安纳
meierovics,梅耶罗维茨
munters,蒙特斯
slavens,斯拉文斯
neimanis,诺伊曼
ksenija,克塞尼亚
solo,索罗
lipmans,利普曼
berss,伯斯
ambainis,安贝尼斯
samoilovs,萨莫洛夫
līga,里加
dekmeijere,德克梅耶尔
larisa,拉里萨
neilande,内兰德
renārs,雷纳斯
kaupers,考普斯
aspazija,阿斯帕姬娅
upatnieks,乌帕特尼克斯
nils,尼尔斯
ušakovs,乌萨科夫斯
anatolijs,阿纳托利斯
gorbunovs,戈尔布诺夫斯
hugo,胡戈
celmiņš,采尔明什
klucis,克卢茨斯
boriss,鲍里斯
teterevs,泰特里夫
biruta,比鲁塔
baumane,包马涅
edmunds,埃德蒙兹
ivanovs,伊凡诺夫斯
lauris,劳里斯
dārziņš,达吉斯
arturs,阿尔图尔斯
alberings,阿尔贝林斯
marģers,马尔格尔斯
skujenieks,斯库耶涅克斯
silovs,思洛夫斯
ieva,伊娃
akuratere,阿库拉特雷
rausis,劳西
ināra,伊娜拉
mūrniece,莫妮卡
lilita,丽丽塔
ozoliņa,奥佐利亚
ikaunieceadmidiņa,伊坎尼恩斯
skudra,斯库德拉
lelde,莱尔德
gasūna,加苏娜
jevgeņijs,叶夫盖尼
paškēvičs,帕斯肯维奇
vladislavs,弗拉迪斯拉夫斯
gutkovskis,古特科夫斯基斯
regīna,雷吉娜
razuma,拉祖玛
ivo,伊沃
fomins,福明斯
leonīds,列昂尼德
tambijevs,坦比耶夫
šefere,舍费尔
fēlikss,菲利克斯
cielēns,切连斯
frīdenbergs,弗里登伯格
muktupāvels,穆克图帕维尔斯
kaža,卡扎
džemma,杰玛
skulme,斯库尔梅
zemļinskis,詹姆霖斯克斯
heinrihs,亨里希
eihe,艾歇
sproģis,斯普罗吉斯
gundars,甘达尔斯
celitāns,塞利坦斯
filips,菲利浦
hiršhorns,赫斯宏
babičevs,巴比切夫斯
ansis,安西斯
cīrulis,西鲁里斯
stradiņš,斯特拉金什
kalniņš,卡尔尼斯
gints,金特斯
frumins,弗鲁明
tetereva,泰特雷瓦
lolita,洛丽塔
cauka,考卡
rolfs,罗尔夫
kāns,卡恩
jarāns,贾兰斯
arveds,阿尔韦德斯
švābe,史瓦贝
olga,奥尔加
rajecka,拉杰卡
samanta,萨曼塔
tīna,蒂娜
štolcers,史杜锡
šabala,沙巴拉
ernsts,厄恩斯特
rasburgs,拉斯伯格
zariņš,扎林士
dagnija,达格尼娅
dreika,德莱卡
prohorenkovs,普罗霍伦科夫
dravnieks,德拉韦涅克斯
reiniks,雷尼克斯
grebis,格里比斯
maija,迈亚
doveika,多维卡
endzelīns,恩泽林斯
berķis,贝尔基斯
keišs,凯斯
arvīds,阿尔维兹
daudze,道泽
štokenbergs,斯托肯伯格斯
purvītis,珀维蒂斯
rutanja,拉特安亚
olda,阿尔达
guna,古纳
zariņa,扎里扎
žigajevs,日格耶夫
putniņš,普特尼什
ģirts,吉兹
ķesteris,喀士德利斯
pope,普佩
gabrāns,加布拉恩斯
lagūna,拉格那
dmitrijs,德米特里斯
miļkevičs,米尔克维奇斯
diāna,戴安娜
marcinkēviča,马辛科维卡
ingūna,英古纳
butāne,布塔恩
laila,莱拉
pakalniņa,巴卡尼娜
mikus,米库斯
igo,伊戈
daudziņš,道齐什
markus,马库斯
riva,里瓦
nevarauska,内瓦劳斯卡
strenga,斯特伦加
brauns,布劳恩斯
matīss,马蒂斯
akuraters,阿库拉特斯
reinis,雷尼斯
rēzija,蕾济亚
kalniņa,卡宁娜
uldis,乌尔迪斯
vazdiks,瓦兹迪克斯
dumpis,杜毕士
dons,唐斯
lejnieks,莱吉尼克斯
laimute,莱姆特
balode,巴罗德
šturms,什图尔姆斯
kariņš,卡林斯
ojārs,奥尔亚斯
siliņš,西林什
zīverts,济韦尔茨
miķelis,迈克
dancis,丹西斯
roze,罗泽
stiebra,施蒂布拉
pāvels,佩维尔斯
šteinbors,史泰因博尔斯
dainis,戴尼斯
kazakevičs,卡扎凯维奇
sidorova,西多罗娃
hermanis,赫尔曼尼斯
albats,阿尔巴茨
gobziņš,戈布兹什
voldemārs,伏地魔
akurāters,阿库拉特斯
signe,西格内
ronalds,罗纳德斯
zaķis,赞克兹
angelina,安吉丽娜
kučvaļska,布拉尔斯卡
niks,尼克斯
matvejevs,马特维耶夫斯
ikaunieks,伊考涅克斯
viesturs,维埃斯图尔斯
koziols,科济奥尔斯
belokoņs,贝洛科尼斯
žoržs,佐尔日斯
tikmers,蒂克莫斯
rizoto,里佐托
anžejs,昂热
pasečņiks,帕施尼克
staņislavs,斯坦尼斯瓦夫
petkēvičs,佩特凯维奇
semanis,塞马尼斯
ance,安斯
krauze,克劳兹
gaudiņš,高迪什
salnais,萨尔奈斯
guntars,贡塔尔斯
račs,拉什
radzevičs,瓦达那维奇
kairišs,凯里什
krists,克里斯特
neilands,尼兰兹
jurašs,尤拉什
staķis,史达基
didzis,季济斯
šmits,什米茨
monika,莫妮卡
radovska,拉多夫斯卡
lībietis,利别蒂斯
koha,科哈
antonijs,安东尼
černomordijs,切尔诺莫迪
adris,阿德里斯
plūksna,普卢克斯纳
inga,英奇
freidenfelds,弗里登费尔兹
bumbērs,邦伯斯
lasmanis,拉斯马尼斯
krūmiņš,克鲁明斯
šubrovskis,舒布罗夫斯基斯
darja,达尔亚
semeņistaja,赛门尼斯塔娅
poļina,波利娜
rožkova,罗日科娃
vaska,瓦斯卡
sircovs,西尔科夫
sprindžuks,斯普林朱克斯
daniels,丹尼尔斯
ontužāns,昂图赞斯
graudiņa,格劳季尼亚
kravčenoka,萨莫伊洛娃
feldbergs,费尔德伯格斯
toms,汤姆斯
grēviņš,格雷文斯
kamilla,卡米拉
bartone,巴尔通
una,伍娜
celma,塞尔玛
kazāks,卡扎克斯
zane,赞恩
daudziņa,多齐娜
daiga,代佳
mieriņa,米埃林娜
meņģelsone,梅尼杰尔索内
zeļģe,泽杰
ilze,伊尔兹
vazdika,瓦兹迪卡
zvejnieks,兹韦伊尼埃克斯
kolmane,科尔马内
krūzbergs,克鲁日贝格斯
jurģis,尤尔吉斯
krāsons,克拉松
aleksandrovaeklone,亚历山大洛娃厄克隆
tobers,杜贝斯
aivita,艾维塔
putniņa,普特尼娜
vilma,维尔玛
lasmane,拉斯曼讷
vītols,维托尔斯
krollis,克罗利斯
vilnis,维尔尼斯
kalnaellis,卡尔奈里斯
nauris,诺睿斯
miezis,密亚齐斯
plostošana,木材漂流
durbe,杜尔贝
alsunga,阿尔松加
koknese,科肯胡森
ikšķile,伊克斯基莱
skonto,斯康图足球俱乐部
biksti,比克斯季
ērgļi,厄格里
baldone,巴尔东埃
ādaži,阿达日
ķekava,凯卡瓦
ķīpsala,基普萨拉
dundaga,敦达加
līksna,利克斯纳
aglona,阿格纳
inčukalns,印楚卡伦斯
mārupe,马鲁佩
mērsrags,梅尔斯拉格斯
ulbroka,乌尔布罗卡
smārde,斯马尔代
carnikava,察尔尼卡瓦
kalnciems,坎希姆斯
vecpiebalga,旧皮耶巴尔加
bērze,贝尔泽
cena,采拿
ozolnieki,奥佐尔涅基
roja,罗亚
daugavgrīva,道加格里伐
delfi,德尔斐
jaunolaine,新奥莱内
dalbe,达尔贝
vabole,瓦博莱
gaiziņkalns,盖幸肯山
gardene,加尔登内
melluži,梅卢日
iecava,耶察瓦
zvejnieki,兹韦伊尼埃基墓葬群
dzērbene,泽尔贝内
jumprava,尤姆普拉瓦
pārdaugava,帕尔道加瓦
līvbērze,利夫贝尔泽
pumpuri,普姆普里
milzkalne,米尔兹卡尔内
majori,马约里
miķeļbāka,米开洛夫斯科
jāņi,亚尼节
nīcgale,尼茨加莱
saulkalne,绍尔卡尔内
terehova,德雷霍瓦
tiņģere,季尼杰雷
leta,拉脱维亚通讯社
lilaste,利拉斯泰
rīdzene,里泽内
rītausmas,里陶斯马斯
priedaine,普里埃代内
imanta,伊曼塔
vecmīlgrāvis,维茨米尔格拉维斯
zasulauks,扎苏劳克斯
bulduri,布尔杜里
tērvete,特尔韦特
spāre,斯帕雷
zvejniekciems,兹维伊涅克茨埃姆斯
zālīte,扎利特
svētciems,斯维特茨埃姆斯
per,解释节奏
melnsils,梅尔席恩斯
saunags,绍纳格斯
kazdanga,卡兹丹加
stūnīši,斯通尼希
ēdole,埃多莱
vaide,瓦伊德
baltezers,巴尔泰泽尔斯
atgāzene,阿特加泽内
reverta,巴莱克斯银行
pārolaine,帕罗赖内
latgalieši,拉特加利亚
košrags,科什拉格斯
torņakalns,托尔尼亚卡尔内斯
glūda,格卢达
melnbārži,梅尔恩巴尔日
pitrags,皮特拉格斯
toce,托切
bērstele,贝尔斯泰莱
omega,欧米茄反恐部队
zaķusala,扎求萨拉
mazirbe,马济尔贝
sīkrags,斯基克拉格斯
riga,里加足球俱乐部
venta,文塔足球俱乐部
gaujiena,高伊耶纳
vilksala,维尔克萨拉
uši,乌希
dižilmāja,季日尔马亚
mazilmāja,马济尔马亚
līgciems,利格茨埃姆
europe,欧洲
