кирилл,基里尔,kirill
полесье,波利西亚,polese
хамниганы,哈米尼干,hamnigany
укок,乌科克高原,ukok
приозерск,普里奥焦尔斯克,priozersk
белокуриха,别洛库里哈,belokuriha
анадырь,阿纳德尔,anadyr
абдулино,阿卜杜利诺,abdulino
бийск,比斯克,biysk
газпром,俄罗斯天然气工业股份公司,gazprom
агрыз,阿格雷兹,agryz
агидель,阿吉杰利,agidel
камбарка,坎巴尔卡,kambarka
арбат,阿尔巴特街,arbat
калачинск,卡拉钦斯克,kalachinsk
калтан,卡尔坦,kaltan
калининск,加里宁斯克,kalininsk
каменьнаоби,鄂毕河畔卡缅,kamennaobi
каменскшахтинский,卡缅斯克沙赫京斯基,kamenskshahtinskiy
калязин,卡利亚津,kalyazin
камешково,卡梅什科沃,kameshkovo
камызяк,卡梅贾克,kamyzyak
кандалакша,坎达拉克沙,kandalaksha
алатырь,阿拉特里,alatyr
канск,坎斯克,kansk
карабаш,卡拉巴什,karabash
алапаевск,阿拉帕耶夫斯克,alapaevsk
алагир,阿拉吉尔,alagir
амкар,彼尔姆安卡足球俱乐部,amkar
карабулак,卡拉布拉克,karabulak
азнакаево,阿兹纳卡耶沃,aznakaevo
ангарск,安加尔斯克,angarsk
амурск,阿穆尔斯克,amursk
канаш,卡纳什,kanash
касли,卡斯利,kasli
касимов,卡西莫夫,kasimov
москвасити,莫斯科国际商业中心,moskvasiti
акдовурак,阿克多武拉克,akdovurak
азов,亚速,azov
катавивановск,卡塔夫伊万诺夫斯克,katavivanovsk
каспийск,卡斯皮斯克,kaspiysk
аксай,阿克赛,aksay
камышин,卡梅申,kamyshin
камышлов,卡梅什洛夫,kamyshlov
путорана,普托拉纳高原,putorana
анжеросудженск,安热罗苏真斯克,anzherosudzhensk
андреаполь,安德烈亚波尔,andreapol
катайск,卡泰斯克,kataysk
качканар,卡奇卡纳尔,kachkanar
кедровый,克德罗维,kedrovyy
аргун,阿尔贡,argun
арамиль,阿拉米尔,aramil
апрелевка,阿普雷列夫卡,aprelevka
апатиты,阿帕季特,apatity
анива,阿尼瓦,aniva
алдан,阿尔丹,aldan
александровск,亚历山德罗夫斯克,aleksandrovsk
александров,亚历山德罗夫,aleksandrov
алексин,阿列克辛,aleksin
карачаевск,卡拉恰耶夫斯克,karachaevsk
карасук,卡拉苏克,karasuk
александровсксахалинский,萨哈林岛亚历山德罗夫斯克,aleksandrovsksahalinskiy
алзамай,阿尔扎迈,alzamay
каргат,卡尔加特,kargat
карачев,卡拉切夫,karachev
карталы,卡尔塔雷,kartaly
карпинск,卡尔平斯克,karpinsk
альметьевск,阿尔梅季耶夫斯克,almetevsk
каргополь,卡尔戈波尔,kargopol
арск,阿尔斯克,arsk
искра,火星报,iskra
хасавюрт,哈萨维尤尔特,hasavyurt
асино,阿西诺,asino
кизел,基泽尔,kizel
кемь,凯姆,kem
кашира,卡希拉,kashira
кашин,卡申,kashin
кизилюрт,克孜勒尤尔特,kizilyurt
шхара,什哈拉山,shhara
кимры,基姆雷,kimry
кинель,基涅利,kinel
кимовск,基莫夫斯克,kimovsk
ахтубинск,阿赫图宾斯克,ahtubinsk
аткарск,阿特卡尔斯克,atkarsk
ванавара,瓦纳瓦拉,vanavara
арзамас,阿尔扎马斯,arzamas
ардатов,阿尔达托夫,ardatov
кихпиныч,基赫皮内奇火山,kihpinych
алексеевское,阿列克谢耶夫斯科耶,alekseevskoe
балей,巴列伊,baley
балашов,巴拉绍夫,balashov
кириллов,基里洛夫,kirillov
кировочепецк,基洛沃切佩茨克,kirovochepeck
кировград,基洛夫格勒,kirovgrad
аркадак,阿尔卡达克,arkadak
арсеньев,阿尔谢尼耶夫,arsenev
артём,阿尔乔姆,artyom
артёмовск,阿尔乔莫夫斯克,artyomovsk
артёмовский,阿尔乔莫夫斯基,artyomovskiy
кизляр,基兹利亚尔,kizlyar
опочка,奥波奇卡,opochka
асбест,阿斯别斯特,asbest
нерчинск,尼布楚,nerchinsk
шумиха,舒米哈,shumiha
щигры,希格雷,shchigry
альфа,阿尔法小组,alfa
луза,卢扎,luza
лукоянов,卢科亚诺夫,lukoyanov
бабушкин,巴布什金,babushkin
царьколокол,沙皇钟,carkolokol
барабинск,巴拉宾斯克,barabinsk
барыш,巴雷什,barysh
бежецк,别热茨克,bezheck
батайск,巴泰斯克,bataysk
бисерть,比谢尔季,bisert
царицыно,察里津公园,caricyno
царьпушка,沙皇炮,carpushka
балабаново,巴拉巴诺沃,balabanovo
ялуторовск,亚卢托罗夫斯克,yalutorovsk
бавлы,巴夫雷,bavly
багратионовск,巴格拉季奥诺夫斯克,bagrationovsk
байкальск,贝加尔斯克,baykalsk
баймак,拜马克,baymak
баксан,巴克桑,baksan
бакал,巴卡尔,bakal
алроса,埃罗莎,alrosa
лакинск,拉金斯克,lakinsk
тасс,塔斯社,tass
курагино,库拉吉诺,kuragino
кировск,基洛夫斯克,kirovsk
ачинск,阿钦斯克,achinsk
бабаево,巴巴耶沃,babaevo
аша,阿沙,asha
балашиха,巴拉希哈,balashiha
балахна,巴拉赫纳,balahna
балаково,巴拉科沃,balakovo
киржач,基尔扎奇,kirzhach
киреевск,基列耶夫斯克,kireevsk
киренск,基廉斯克,kirensk
кинешма,基涅什马,kineshma
нарышкино,纳雷什基诺,naryshkino
курган,库尔干,kurgan
белово,别洛沃,belovo
белинский,别林斯基,belinskiy
белозерск,别洛焦尔斯克,belozersk
климовск,克利莫夫斯克,klimovsk
белогорск,别洛戈尔斯克,belogorsk
княгинино,克尼亚吉尼诺,knyaginino
клин,克林,klin
клинцы,克林齐,klincy
прогресс,进步号飞船,progress
белебей,别列别伊,belebey
сонково,松科沃,sonkovo
киселёвск,基谢廖夫斯克,kiselyovsk
кирсанов,基尔萨诺夫,kirsanov
белёв,别廖夫,belyov
кирс,基尔斯,kirs
кисловодск,基斯洛沃茨克,kislovodsk
белый,别雷,belyy
белоярский,别洛亚尔斯基,beloyarskiy
белоусово,别洛乌索沃,belousovo
белорецк,别洛列茨克,beloreck
орешек,什利谢利堡要塞,oreshek
бокситогорск,博克西托戈尔斯克,boksitogorsk
пикалёво,皮卡廖沃,pikalyovo
ковылкино,科维尔基诺,kovylkino
ковдор,科夫多尔,kovdor
волосово,沃洛索沃,volosovo
дружба,友谊输油管道,druzhba
бердск,别尔茨克,berdsk
волхов,沃尔霍夫,volhov
березники,别列兹尼基,berezniki
берёзовский,别廖佐夫斯基,beryozovskiy
когалым,科加雷姆,kogalym
кодинск,科金斯克,kodinsk
козельск,科泽利斯克,kozelsk
катынь,卡廷,katyn
мгимо,莫斯科国立国际关系学院,mgimo
ивангород,伊万哥罗德,ivangorod
всеволожск,弗谢沃洛日斯克,vsevolozhsk
высоцк,维索茨克,vysock
бикин,比金,bikin
билибино,比利比诺,bilibino
кингисепп,金吉谢普,kingisepp
каменногорск,卡缅诺戈尔斯克,kamennogorsk
беслан,别斯兰,beslan
колпашево,科尔帕舍沃,kolpashevo
колпино,科尔皮诺,kolpino
кольчугино,科利丘吉诺,kolchugino
благодарный,布拉戈达尔内,blagodarnyy
бобров,博布罗夫,bobrov
козьмодемьянск,科兹莫杰米扬斯克,kozmodemyansk
кола,科拉,kola
кологрив,科洛格里夫,kologriv
бирск,比尔斯克,birsk
козловка,科兹洛夫卡,kozlovka
бирюч,比留奇,biryuch
бирюсинск,比留辛斯克,biryusinsk
светогорск,斯韦托戈尔斯克,svetogorsk
подпорожье,波德波罗日耶,podporozhe
богучар,博古恰尔,boguchar
богородицк,博戈罗季茨克,bogorodick
богданович,波格丹诺维奇,bogdanovich
приморск,普里莫尔斯克,primorsk
боготол,博戈托尔,bogotol
богородск,博戈罗茨克,bogorodsk
конаково,科纳科沃,konakovo
кондопога,孔多波加,kondopoga
никольское,尼科利斯科耶,nikolskoe
лукойл,卢克石油,lukoyl
отрадное,奥特拉德诺耶,otradnoe
сланцы,斯兰齐,slancy
сертолово,谢尔托洛沃,sertolovo
луга,卢加,luga
сясьстрой,夏西斯特罗伊,syasstroy
тихвин,季赫温,tihvin
болхов,博尔霍夫,bolhov
болохово,博洛霍沃,bolohovo
константиновск,康斯坦丁诺夫斯克,konstantinovsk
копейск,科佩伊斯克,kopeysk
туруханск,图鲁汉斯克,turuhansk
коркино,科尔基诺,korkino
костерёво,科斯捷廖沃,kosteryovo
коряжма,科里亚日马,koryazhma
кораблино,科拉布利诺,korablino
бор,博尔,bor
бодайбо,博代博,bodaybo
болгар,博尔加尔,bolgar
королёв,科罗廖夫,korolyov
борзя,博尔贾,borzya
бологое,博洛戈耶,bologoe
болотное,博洛特诺耶,bolotnoe
кондрово,孔德罗沃,kondrovo
сихотэалинь,锡霍特山脉,sihotealin
корсаков,科尔萨科夫,korsakov
ахтанг,阿赫坦格火山,ahtang
ахты,阿赫特,ahty
листвянка,利斯特维扬卡,listvyanka
тосно,托斯诺,tosno
суздаль,苏兹达尔,suzdal
анапа,阿纳帕,anapa
армавир,阿尔马维尔,armavir
георгиевск,格奥尔吉耶夫斯克,georgievsk
вытегра,维捷格拉,vytegra
темрюк,捷姆留克,temryuk
каменскуральский,乌拉尔地区卡缅斯克,kamenskuralskiy
красновишерск,克拉斯诺维舍尔斯克,krasnovishersk
красногорск,克拉斯诺戈尔斯克,krasnogorsk
чернушка,切尔努什卡,chernushka
урюпинск,乌留平斯克,uryupinsk
котельнич,科捷利尼奇,kotelnich
яхрома,亚赫罗马,yahroma
горный,戈尔内,gornyy
миасс,米阿斯,miass
ахтырский,阿赫特尔斯基,ahtyrskiy
мирный,米尔内,mirnyy
котлас,科特拉斯,kotlas
вяртсиля,维亚尔齐利亚,vyartsilya
чапаев,苏俄弹戏,chapaev
котово,科托沃,kotovo
котовск,科托夫斯克,kotovsk
красавино,克拉萨维诺,krasavino
кохма,科赫马,kohma
крымск,克雷姆斯克,krymsk
кропоткин,克鲁泡特金,kropotkin
краснослободск,克拉斯诺斯洛博茨克,krasnoslobodsk
краснотурьинск,克拉斯诺图林斯克,krasnoturinsk
краснокаменск,克拉斯诺卡缅斯克,krasnokamensk
краснокамск,克拉斯诺卡姆斯克,krasnokamsk
лабинск,拉宾斯克,labinsk
курганинск,库尔加宁斯克,kurganinsk
хадыженск,哈德任斯克,hadyzhensk
геленджик,格连吉克,gelendzhik
белореченск,别洛列琴斯克,belorechensk
донецк,顿涅茨克,doneck
дегтярск,杰格佳尔斯克,degtyarsk
новороссийск,新罗西斯克,novorossiysk
гулькевичи,古利克维奇,gulkevichi
котельники,科捷利尼基,kotelniki
котельниково,科捷利尼科沃,kotelnikovo
костомукша,科斯托穆克沙,kostomuksha
кореновск,科列诺夫斯克,korenovsk
семилуки,谢米卢基,semiluki
мыски,梅斯基,myski
апшеронск,阿普歇伦斯克,apsheronsk
абинск,阿宾斯克,abinsk
осетия,奥塞梯,osetiya
красноуральск,克拉斯诺乌拉尔斯克,krasnouralsk
краснозаводск,克拉斯诺扎沃茨克,krasnozavodsk
краснознаменск,克拉斯诺兹纳缅斯克,krasnoznamensk
демянск,杰米扬斯克,demyansk
лиман,利曼,liman
кувандык,库万德克,kuvandyk
кубинка,库宾卡,kubinka
кувшиново,库夫希诺沃,kuvshinovo
аэрофлоткарго,俄罗斯货运航空,aeroflotkargo
колывань,科雷万,kolyvan
красноуфимск,克拉斯诺乌菲姆斯克,krasnoufimsk
новошахтинск,新沙赫京斯克,novoshahtinsk
кошка,科什卡亚山,koshka
малошуйка,小舒伊卡,maloshuyka
анжи,马哈奇卡拉安郅足球俱乐部,anzhi
подольск,波多利斯克,podolsk
симферополь,辛菲罗波尔,simferopol
кремёнки,克列苗恩基,kremyonki
кронштадт,喀琅施塔得,kronshtadt
кстово,克斯托沃,kstovo
забайкальск,外贝加尔斯克,zabaykalsk
кулшариф,库尔沙里夫清真寺,kulsharif
интерфакс,国际文传电讯社,interfaks
палтога,帕托加,paltoga
купино,库皮诺,kupino
курильск,库里尔斯克,kurilsk
курлово,库尔洛沃,kurlovo
куровское,库罗夫斯科耶,kurovskoe
куртамыш,库尔塔梅什,kurtamysh
кудымкар,库德姆卡尔,kudymkar
кунгур,昆古尔,kungur
калинка,雪球花,kalinka
кулебаки,库列巴基,kulebaki
кузнецк,库兹涅茨克,kuzneck
куйбышев,古比雪夫,kuybyshev
афипский,阿菲普斯基,afipskiy
черский,切尔斯基,cherskiy
кумертау,库梅尔套,kumertau
кяхта,恰克图,kyahta
кыштым,克什特姆,kyshtym
лабытнанги,拉贝特南吉,labytnangi
мытищи,梅季希,mytishchi
ладушкин,拉杜什金,ladushkin
рамонь,拉蒙,ramon
голицыны,戈利岑家族,golicyny
черногорск,切尔诺戈尔斯克,chernogorsk
кушва,库什瓦,kushva
куса,库萨,kusa
находка,纳霍德卡,nahodka
майский,迈斯基,mayskiy
лангепас,兰格帕斯,langepas
керчь,刻赤,kerch
лермонтов,莱蒙托夫,lermontov
ленск,连斯克,lensk
ликинодулёво,利基诺杜廖沃,likinodulyovo
лесосибирск,列索西比尔斯克,lesosibirsk
ливны,利夫内,livny
лахденпохья,拉赫坚波希亚,lahdenpohya
футуризм,未来主义,futurizm
ленинск,列宁斯克,leninsk
лениногорск,列宁诺戈尔斯克,leninogorsk
лебедянь,列别姜,lebedyan
ленинсккузнецкий,列宁斯克库兹涅茨基,leninskkuzneckiy
лесозаводск,列索扎沃茨克,lesozavodsk
зюраткуль,久拉特库尔国家公园,zyuratkul
сербы,塞尔维亚族,serby
ялта,雅尔塔,yalta
лагань,拉甘,lagan
лаишево,莱舍沃,laishevo
агинское,阿金斯科耶,aginskoe
борисоглебск,鲍里索格列布斯克,borisoglebsk
липки,利普基,lipki
лиски,利斯基,liski
кадошкино,卡多什基诺,kadoshkino
дербент,杰尔宾特,derbent
лесной,列斯诺伊,lesnoy
лихославль,利霍斯拉夫尔,lihoslavl
лобня,洛布尼亚,lobnya
лосинопетровский,洛西诺彼得罗夫斯基,losinopetrovskiy
луховицы,卢霍维齐,luhovicy
ломоносов,罗蒙诺索夫,lomonosov
буй,布伊,buy
буйнакск,布伊纳克斯克,buynaksk
бутурлиновка,布图尔利诺夫卡,buturlinovka
валдай,瓦尔代,valday
малоархангельск,小阿尔汉格尔斯克,maloarhangelsk
малоярославец,小雅罗斯拉韦茨,maloyaroslavec
бронницы,布龙尼齐,bronnicy
боровск,博罗夫斯克,borovsk
боровичи,博罗维奇,borovichi
велиж,韦利日,velizh
валуйки,瓦卢伊基,valuyki
малмыж,马尔梅日,malmyzh
бородино,博罗季诺,borodino
братск,布拉茨克,bratsk
макарьев,马卡里耶夫,makarev
макаров,马卡罗夫,makarov
эрмитаж,埃尔米塔日博物馆,ermitazh
лысково,雷斯科沃,lyskovo
лысьва,雷西瓦,lysva
мамадыш,马马德什,mamadysh
льгов,利戈夫,lgov
лыткарино,雷特卡里诺,lytkarino
любим,柳比姆,lyubim
правдинский,普拉夫金斯基,pravdinskiy
айхал,艾哈尔,ayhal
мегион,梅吉翁,megion
мглин,姆格林,mglin
бугульма,布古利马,bugulma
будённовск,布琼诺夫斯克,budyonnovsk
бугуруслан,布古鲁斯兰,buguruslan
людиново,柳季诺沃,lyudinovo
буинск,布因斯克,buinsk
лянтор,良托尔,lyantor
вознесенье,沃兹涅谢尼耶,voznesene
махнёво,马赫尼奥沃,mahnyovo
малышева,马雷舍瓦,malysheva
медногорск,梅德诺戈尔斯克,mednogorsk
медвежьегорск,梅德韦日耶戈尔斯克,medvezhegorsk
видное,维德诺耶,vidnoe
вилюйск,维柳伊斯克,vilyuysk
макушино,马库希诺,makushino
вешкайма,韦什凯马,veshkayma
вельск,韦利斯克,velsk
малгобек,马尔戈别克,malgobek
верещагино,韦列夏吉诺,vereshchagino
верея,韦列亚,vereya
венёв,韦尼奥夫,venyov
февральск,费夫拉利斯克,fevralsk
верхнеуральск,上乌拉尔斯克,verhneuralsk
мамоново,马莫诺沃,mamonovo
мантурово,曼图罗沃,manturovo
кубань,克拉斯诺达尔库班足球俱乐部,kuban
коломна,科洛姆纳,kolomna
междуреченск,梅日杜列琴斯克,mezhdurechensk
межгорье,梅日戈里耶,mezhgore
минусинск,米努辛斯克,minusinsk
ленфильм,列宁格勒电影制片厂,lenfilm
медынь,梅登,medyn
меленки,梅连基,melenki
мезень,梅津,mezen
мелеуз,梅列乌兹,meleuz
аян,阿扬,ayan
алания,弗拉季高加索阿拉尼亚足球俱乐部,alaniya
верхотурье,韦尔霍图里耶,verhoture
верхоянск,上扬斯克,verhoyansk
кусково,库斯科沃,kuskovo
весьегонск,韦西耶贡斯克,vesegonsk
ветлуга,韦特卢加,vetluga
мензелинск,缅泽林斯克,menzelinsk
мещовск,梅晓夫斯克,meshchovsk
менделеевск,门捷列夫斯克,mendeleevsk
могоча,莫戈恰,mogocha
будогощь,布多戈希,budogoshch
зеленогорский,泽列诺戈尔斯基,zelenogorskiy
миллерово,米列罗沃,millerovo
микунь,米昆,mikun
вичуга,维丘加,vichuga
вилючинск,维柳钦斯克,vilyuchinsk
вихоревка,维霍列夫卡,vihorevka
миньяр,米尼亚尔,minyar
волгодонск,伏尔加顿斯克,volgodonsk
михайловка,米哈伊洛夫卡,mihaylovka
михайлов,米哈伊洛夫,mihaylov
михайловск,米哈伊洛夫斯克,mihaylovsk
камов,卡莫夫设计局,kamov
мичуринск,米丘林斯克,michurinsk
моршанск,莫尔尚斯克,morshansk
шойна,绍伊纳,shoyna
яшкино,亚什基诺,yashkino
аник,阿尼克山,anik
володарск,沃洛达尔斯克,volodarsk
вуктыл,武克特尔,vuktyl
волжск,沃尔日斯克,volzhsk
уральский,乌拉尔斯基,uralskiy
свободный,斯沃博德内,svobodnyy
протон,质子运载火箭,proton
камаз,卡马汽车厂,kamaz
волгореченск,伏尔加列琴斯克,volgorechensk
можга,莫日加,mozhga
можайск,莫扎伊斯克,mozhaysk
мончегорск,蒙切戈尔斯克,monchegorsk
