vika,ヴィカ
coandă,コアンダ
zamfir,ザンフィル
gabriel,ガブリエル
tamaș,タマシュ
filat,フィラト
ponta,ポンタ
andrei,アンドレイ
pavel,パベル
florica,フロリカ
musicescu,ムジチェスク
maia,マヤ
morgenstern,モルゲンステルン
iliescu,イリエスク
maria,マリア
brânză,ポペスク
paula,パウラ
ivan,イヴァン
doina,ドイナ
melinte,メリンテ
blandiana,ブランディアナ
sorin,ソリン
ghionea,ギオネア
amânar,アマナール
seling,セリング
daniela,ダニエラ
silivaș,シリバシュ
linda,リンダ
baros,バロス
hagi,ハジ
sandra,サンドラ
romain,ロマン
larisa,ラリサ
iordache,ヨルダケ
virginia,バージニア
ruzici,ルジッチ
ștefan,シュテファン
radu,ラドゥ
sergiu,セルジュ
celibidache,チェリビダッケ
ladislau,ラースロー
bölöni,ベレニ
lászló,ラースロー
sepsi,セプシ
ovidiu,オヴィディウ
cernăuțeanu,チェルナウツェアヌ
harvey,ハーヴェイ
keitel,カイテル
cioncan,チオンカン
ileana,イレアナ
cotrubaș,コトルバシュ
jean,ジャン
negulesco,ネグレスコ
cioran,シオラン
badea,バデア
panait,パナイト
istrati,イストラティ
mutu,ムトゥ
zoia,ゾヤ
arthur,アーサー
segal,シーガル
chivu,キヴ
maricica,マリチカ
puică,プイカ
liane,リアーヌ
de,デ
pougy,プジー
anișoara,アニショアラ
cușmirstanciu,スタンチウ
mihaela,ミハエラ
peneș,ペネシュ
diana,ディアナ
mocanu,モカヌ
camelia,カメリア
potec,ポテク
alexandru,アレクサンドル
averescu,アヴェレスク
rose,ローゼ
ausländer,アウスレンダー
artur,アルトゥール
phleps,フレプス
astafei,アスタフェイ
ursuleasa,ウルスレアサ
emeric,エメリック
jenei,イェネイ
niculae,ニクラエ
walter,ワルテル
zenga,ゼンガ
cosmin,コスミン
contra,コントラ
ghimpu,ギンプ
petru,ペトル
lucinschi,ルチンスキー
florin,フロリン
răducioiu,ラドチョウ
ilie,イリエ
lara,ララ
diaconu,ディアコヌ
constantina,コンスタンティナ
dițătomescu,ディタ
dumitrescu,ドゥミトレスク
tănase,タナセ
viscopoleanu,ビスコポレアヌ
julia,ユリア
varady,ヴァラディ
ionela,イオネラ
târlea,ティルレア
lia,リア
manoliu,マノリウ
cristea,クリステア
crișan,クリシャン
robert,ロベルト
vancea,ヴァンチャ
stelea,ステレア
neșu,ネシュ
marius,マリウス
urzică,ウルジカ
joseph,ヨーゼフ
schmidt,シュミット
săpunaru,サプナル
dacian,ダチアン
cioloș,チョロシュ
colin,コリン
kolles,コレス
enescu,エネスク
stefan,シュテファン
hell,ヘル
adalbert,アダウベルト
deșu,デス
pulhac,プルハク
florescu,フロレスク
hermann,ヘルマン
oberth,オーベルト
cociș,コチシュ
klein,クライン
silviu,シルヴィウ
lung,ルング
dorin,ドリン
goian,ゴヤン
pițurcă,ピツルカ
gigel,ゲオルゲ
bucur,ブクル
deac,デアク
prunea,プルネア
luchian,ルキアン
raul,ラウル
rusescu,ルセスク
robot,ロボット
chipciu,キプチュ
saul,ソール
steinberg,スタインバーグ
dică,ディカ
lusztig,ルスティック
kovács,コヴァチ
dragoș,ドラゴシュ
laurențiu,ラウレンツィウ
rus,ルス
nicolao,ニコラオ
dumitru,ドゥミトル
valerică,ヴァレリカ
găman,ガマン
eric,エリク
bicfalvi,ビクファルヴィ
grozav,グロザフ
silvestri,シルヴェストリ
dorinel,ドリネル
zeani,ゼアーニ
tudor,トゥドル
arghezi,アルゲージ
costel,コステル
pantilimon,パンティリモン
anna,アンナ
lesko,レスコ
frăsinescu,フラシネスク
marin,マリン
karmitz,カルミッツ
cătălin,カタリン
fercu,フェルク
philip,フィリップ
herschkowitz,ヘルシュコヴィチ
ioan,イオン
culcer,クルチェル
drăghici,ドラギーチ
sandu,サンドゥ
lungu,ルング
țăruș,タルス
crețu,クレツ
armand,アルマンド
călinescu,カリネスク
romeo,ロメオ
surdu,スルドゥ
jr,ジュニア
antal,アンタル
bourceanu,ボウルチェアヌ
iancu,イアンク
alexe,アレクセ
ioniță,ヨニツァ
vasile,ヴァシレ
milea,ミリャ
codrea,コドレア
florența,フロレンツァ
mateuț,マテウツ
cărtărescu,カルタレスク
horia,ホリア
sima,シマ
elizabeta,エリザベタ
samara,サマラ
dennis,デニス
șerban,シェルバン
costi,コスティ
david,デイヴィッド
wechsler,ウェクスラー
hildegard,ヒルデガード
peplau,ペプロウ
cojocaru,コジョカル
prepeliță,プレペリツァ
gardoș,ガルドシュ
grigorescu,グリゴレスク
bănel,バネル
nicoliță,ニコリツァ
mirel,ミレル
rădoi,ラドイ
dodean,ドデアン
prunariu,プルナリウ
sebastian,セバスチャン
torje,トルジェ
miodrag,ミオドラグ
belodedici,ベロデディチ
tecău,テカウ
roxana,ログザナ
luca,ルカ
loredana,ロレダナ
groza,グローザ
vlaicu,ヴライク
mergea,メルジェ
cioabă,チョアバ
popa,ポパ
mureșan,ムレシャン
elina,エリナ
löwensohn,レーヴェンソン
corina,コリーナ
florentin,フローレンティン
francisc,フランチスク
tincu,ティンク
nicu,ニク
ghiță,ギタ
gavril,ガヴリル
balint,バリント
pacepa,パチェパ
nicușor,ニクショル
stanciu,スタンチュ
filimon,フィリモン
dumitrache,ドゥミトラチェ
korne,コルーネ
aurelian,アウレリアン
chițu,キツ
tătăranu,タタラヌ
toni,トニ
tecuceanu,テクチェアヌ
răducan,ラドゥカン
claudiu,クラウディウ
keșerü,ケセル
lupu,ルプ
lazăr,ラザール
stoica,ストイカ
olăroiu,オラロイ
vartolomei,ヴァルトロメイ
octavian,オクタヴィアン
abrudan,アブルダン
tonița,トニツァ
lipkovskaia,リプコフスカヤ
denis,デニス
alibec,アリベク
ivanovici,イヴァノヴィチ
oliveira,オリベイラ
pereira,ペレイラ
lucien,リュシアン
goldmann,ゴルドマン
cornel,コルネル
matei,マテイ
ionel,イオネル
perlea,ペルレア
moți,モツィ
rednic,レドニク
oroș,オロシュ
mitea,ミテア
copil,コピル
budescu,ブデスク
răduț,ラドゥツ
vladimir,ウラジミール
ghika,ギカ
cantacuzino,カンタクジノ
potorac,ポトラック
dănciulescu,ダンチウレスク
valentin,ヴァレンティン
calafeteanu,カラフェテアヌ
papp,パップ
hîldan,ヒルダン
serge,セルジュ
moscovici,モスコヴィッシ
ganea,ガネア
rotaru,ロタル
lăcătuș,ラカトゥシュ
klarsfeld,クラルスフェルト
lascăr,ラスカル
catargiu,カタルジュ
tőkés,ラースロー
anghel,アンゲル
iordănescu,ヨルダネスク
țucudean,ツクデアン
petrescu,ペトレスク
marian,マリアン
oprea,オプレア
isăilă,イザイラ
barbu,バルブ
costin,コスティン
lucian,ルチアン
sânmărtean,スンマルテアン
maxim,マキシム
chiricheș,キリケシュ
tătărescu,タタレスク
enache,エナケ
brauner,ブローネル
mățel,マツェル
otmar,オトマー
szafnauer,サフナウアー
nistor,ニストル
culianu,クリアーノ
alexander,アレクサンダー
bălănescu,バラネスク
hațegan,ハツェガン
richter,リクテル
marcel,マルセル
iureș,ユーレス
kehinde,ケヒンデ
fatai,ファタイ
burcă,ブルカ
parhon,パルホン
tătărușanu,タタルシャヌ
horațiu,ホラツィウ
rădulescu,ラドゥレスク
dorel,ドレル
stancu,スタンク
ludovic,ルドビク
orban,オルバン
béla,カーロイ
károlyi,ベーラ
călin,カリン
peter,ピーター
netzer,ネッツァー
comissiona,コミッショーナ
firțulescu,フィルツレスク
ruha,ルハ
pintilii,ピンティリイ
aldulescu,アルドゥレスク
mihail,ミハイル
dănuț,ダヌツ
coman,コマン
corneliu,コルネリウ
teodorini,テオドリニ
dondoe,ドンドー
sabin,サビン
țambrea,タンブレア
fritz,フリッツ
eusebie,オイゼビウス
mandicevschi,マンディチェフスキ
ciceu,キケロ
șumudică,シュムディカ
ogăraru,オガラル
preda,プレダ
mihăilescu,ミハイレスク
gâlcă,ガルカ
klaus,クラウス
iohannis,ヨハニス
isidore,イジドール
isou,イズー
craioveanu,クライオヴェアヌ
hoban,ホバン
theodor,テオドール
aman,アマン
niță,ニツァ
andone,アンドネ
leu,ロエベ
bute,ブーテ
bălan,バラン
voicu,ヴォイク
căprioriu,カプリオリウ
buzărnescu,ブザルネスク
grigoraș,グリゴラシュ
dinicu,ディニク
becali,ベカリ
romario,ロマーリオ
benzar,ベンザル
francis,フランシス
chagrin,シャグラン
lupescu,ルペスク
christescu,クリステスク
ciobanu,チオバヌ
șerbănescu,シェルバネスク
orlov,オルロフ
iosif,イオシフ
conta,コンタ
titulescu,ティトゥレスク
nneka,ネーカ
onyejekwe,オンイェジェクウェ
aurel,アウレル
șteflea,シュテフレア
brănescu,ブラネスク
luttwak,ルトワック
zoltán,ケレメン
kelemen,ゾルターン
cambrea,カンブレア
charles,シャルル
bruck,ブリュック
ionuț,ヨヌツ
iftimoaie,イフティモアイエ
bejan,ベジャン
ada,アダ
moroșanu,モロサヌ
geo,ジェオ
bogza,ボグザ
rona,ローナ
hartner,ハートナー
pantazi,パンタツ
prezan,プレザン
steliano,ステリアーノ
filip,フィリプ
benjamin,バンジャマン
fondane,フォンダーヌ
țăranu,カタリン
moruzov,モルゾフ
nica,ニカ
gușă,グシェ
cristescu,クリステスク
cioc,シオク
frățică,フラティカ
istván,イシュトヴァーン
macovei,マコベイ
dăncilă,ダンチラ
camil,カミル
marinescu,マリネスク
aura,アウラ
urziceanu,ウルジチェアヌ
donca,ドンカ
steriade,ステリアーデ
cucu,クク
basarab,バサラブ
raluca,ラルカ
turcan,トゥルカン
yusuf,ユスフ
isa,イサ
halim,ハリム
simon,シモン
aslan,アスラーン
manea,マネア
recean,レチャン
ianis,ヤニス
nedelcearu,ネデルチャル
otar,オタル
turașvili,トゥラシビリ
sauter,ザウター
erwin,アーウィン
stoff,ストフ
bumbea,ブンベア
nedelcu,ネデルク
natea,ナテア
huștiu,フスティウ
surugiu,スルジュ
ciolacu,チョラク
man,マン
bîrnoi,ブルノイ
albu,アルブ
horșia,ホルシア
cîțu,クツ
bianca,ビアンカ
andreescu,アンドレースク
băluță,バルツァ
cicâldău,チクルダウ
oaidă,オアイダ
trif,トリフ
drăguș,ドラグシュ
bernadette,ベルナデッテ
szőcs,スッチ
mitriță,ミトリツァ
florinel,フロリネル
petrila,ペトリラ
alex,アレックス
pașcanu,パシュカヌ
târnovanu,タルノヴァヌ
pușcaș,プスカシュ
olimpiu,オリンピウ
moruțan,モルタン
alec,アレック
secăreanu,セカレアヌ
rațiu,ラティウ
boboc,ボボク
comănescu,コマネスク
adina,アディナ
pintilie,ピンティリエ
karim,カリム
adeyemi,アデイェミ
itu,イトゥ
fotino,フォティノ
borța,ボルツァ
mihăilă,ミハイラ
ciucă,チウカ
drăgușin,ドラグシン
miculescu,ミクレスク
pantea,パンテア
popovici,ポポビッチ
octaviangeorge,オクタヴィアン
natalia,ナタリア
gavrilița,ガブリリツァ
enes,エネス
sali,サリ
mitran,ミトラン
istrate,イストラテ
târgoviște,トゥルゴヴィシュテ
brăila,ブライラ
cluj,クルジュ
arena,アレナ
românia,ルーマニア
iași,ヤシ
suceava,スチャヴァ
bistrița,ビストリツァ
pitești,ピテシュティ
reșița,レシツァ
constanța,コンスタンツァ
stepa,ポントス
euroasiatică,ステップ
brașov,ブラショヴ
craiova,クラヨーヴァ
sibiu,シビウ
timișoara,ティミショアラ
galați,ガラツィ
tarom,タロムコウクウ
banat,バナト
focșani,フォクシャニ
nogai,ノガイゾク
vaslui,ヴァスルイ
tulcea,トゥルチャ
botoșani,ボトシャニ
zărnești,ザルネシュティ
valahia,ワラキア
arad,アラド
oradea,オラデア
sighișoara,シギショアラ
râmnicu,ルムニク
vâlcea,ヴルチャ
alba,アルバ
iulia,ユリア
bucovina,ブコヴィナ
buzău,ブザウ
ploiești,プロイェシュティ
giurgiu,ジュルジュ
târgu,トゥルグ
jiu,ジウ
sfântu,スフントゥ
deva,デヴァ
bucurești,ブカレスト
românesc,レウ
dobrogea,ドブロジャ
muntenia,ムンテニア
lugoj,ルゴジ
balș,バルシュ
caransebeș,カランセベシュ
borșa,ボルシャ
turda,トゥルダ
transilvania,トランシルヴァニア
mureș,ムレシュ
delta,ドナウ
dunării,デルタ
hunedoara,フネドアラ
oltenia,オルテニア
baia,バヤ
mare,マーレ
satu,サトゥ
călărași,カララシ
sinaia,シナヤ
slobozia,スロボジア
buftea,ブフテア
holcim,ホルシムグループ
pontocaspică,カスピカイソウゲン
fetești,フェテシュティ
dej,デジ
caracal,カラカル
sărat,サラト
roșiorii,ロシオリイ
vede,ヴェデ
buhuși,ブフシ
odorheiu,オドルヘユ
secuiesc,セクイエスク
blaj,ブラジ
comănești,コマネシュティ
dorohoi,ドロホイ
băicoi,バイコイ
băilești,バイレシュティ
filiași,フィリアシ
supercupa,スーペルクパ
româniei,ロムニエイ
fălticeni,ファルティチェニ
sulina,スリナ
sighetu,シゲトゥ
marmației,マルマツィエイ
voluntari,ヴォルンタリ
bucharest,ブカレスト
ring,リンク
națională,ナツィオナーラ
horă,ホラ
călușarii,カルシャリ
luduș,ルドゥシュ
câmpulung,クンプルング
moldovenesc,モルドヴェネスク
curtea,クルテア
argeș,アルジェシュ
sebeș,セベシュ
mioveni,ミオヴェニ
cernavodă,チェルナヴォダ
pașcani,パシュカニ
oltenița,オルテニツァ
transfăgărășan,トランスファガラシャン
cupa,バルカン
balcanică,カップ
mangalia,マンガリア
câmpia,クンピア
turzii,トゥルジー
urziceni,ウルジチェニ
rădăuți,ラダウツィ
moinești,モイネシュティ
gherla,ゲルラ
moreni,モレニ
făgăraș,ファガラシュ
medgidia,メドジディア
petroșani,ペトロシャニ
vatra,ヴァトラ
dornei,ドルネイ
marghita,マルギタ
powerwolf,パワーウルフ
ligii,リギー
universitatea,バベシュ
babeșbolyai,ボーヤイダイガク
onești,オネシュティ
tecuci,テクチ
carpatair,カルパトエア
brad,ブラド
turnu,トゥルヌ
măgurele,マグレレ
corabia,コラビア
drăgășani,ドラガシャニ
gheorgheni,ゲオルゲニ
carei,カレイ
salonta,サロンタ
lupeni,ルペニ
târnăveni,トゥルナヴェニ
codlea,コドレア
electrecord,エレクトレコード
centura,アルプス
alpidă,ヒマラヤツクリヤマタイ
siret,シレト
stadionul,スタディオヌル
oană,オアナ
lupii,ルーマニアン
servtrans,セルブトランス
scînteia,スクンテイア
centrul,チェントルル
civic,チヴィク
liga,リーガ
rugby,ラグビー
fly,フライ
project,プロジェクト
canalul,ドナウ
dunărebucurești,ブカレストウンガ
roton,ロトン
transhumanță,ウツリマキ
anastasovici,アナスタソヴィチ
bacău,バカウ
moldova,モルドバ
steaua,ステアウア
zoltan,ゾルタン
lunka,ルンカ
mesko,メスコ
martha,マルト
bibescu,ビベスコ
raed,ラーイド
arafat,アラファト
lavinia,ラビニア
miloșovici,ミロソビッチ
otto,オットー
ackermann,アッカーマン
spoerri,スペーリ
goga,ゴガ
alexianu,アレクシアヌ
argentina,アルゲンティーナ
menis,メニシュ
scarlat,スカルラット
bărbulescu,バルブレスク
verdeț,ヴェルデット
izbașa,イズバサ
edina,エディナ
gallovitshall,ガロビッツ
cătălina,カタリナ
ponor,ポノル
costian,コスティアン
adriana,アドリアーナ
hölszky,ヘルツキー
cornelia,コルネリア
tăutu,タゥトゥ
ilena,エレナ
gheorghi,ゲオルゲ
raoul,ラウル
gunsbourg,ギュンブール
croitoru,クロイトル
titu,ティトゥ
maiorescu,マイオレスク
wilhelm,ゲオルク
georg,ヴィルヘルム
berger,ベルガー
neaga,ネアガ
violeta,ヴィオレタ
dinescu,ディネスク
lateiner,ラタイナー
jános,ケメーニ
kemény,ヤーノシュ
babeș,バベシュ
rădescu,ラデスク
aliuță,アリウツァ
linca,リンカ
becheru,ベケル
titus,ティトゥス
corlățean,コルラツェアン
dincă,ディンカ
iurie,ユリエ
leancă,レアンカ
adelina,アデリーナ
oprean,オプリーン
trăistariu,トライスタリウ
mugur,ムグル
isărescu,イサレスク
reghecampf,レゲカンプ
vrănceanu,ヴランチャーヌ
vintilă,ヴィンティラ
simion,シミオン
anca,アンカ
parghel,パーゲル
văcărescu,ヴァカレスク
strămăturaru,シュトラマトゥラル
porgras,ポルグラス
áron,マールトン
márton,アーロン
marga,マルガ
dinică,ディニカ
nicoleta,ニコレタ
grasu,グラス
hellman,ヘルマン
arnold,アルノルト
rosé,ロゼ
marghiloman,マルギロマン
éva,エヴァ
tófalvi,トファルヴィ
gray,グレイ
steriadi,ステリアディ
fiscuteanu,フィスクティーヌ
maurer,マウレル
michael,ミヒャエル
radulescu,ラドレスク
bumbescu,ブンベスク
diță,ディタ
pick,ピック
cîrțu,カルトゥ
olaru,オラル
dănălache,ダナラケ
costea,コステア
steve,スティーブ
holmes,ホルムズ
șăineanu,シャイネヤヌ
ungur,ウングル
dobrin,ドブリン
alexandrescu,アレキサンドレスク
carol,カロル
lambrino,ランブリノ
iorgulescu,イオルグレスク
stănuleț,スタヌレツ
adolf,アドリフ
albin,アルビン
rudolph,ルドルフ
carl,カール
von,フォン
ripper,リッパー
hans,ハンス
bergel,ベルゲル
take,タケ
cesereanu,チェセリアヌ
comes,コムス
géza,セーチ
sănmărtean,スンマルテアン
nicodim,ニコディム
tătărăscu,タタレスク
jude,ジュデ
elek,エレク
schwartz,シュヴァルツ
argeșanu,アルジェシャヌ
spiess,スピース
bobu,ボブ
iovan,ヨヴァン
mănescu,マネスク
blaga,バルガ
berceanu,ベルチェアヌ
ianu,イアヌ
spielmann,スピルマン
gigurtu,ギグルツ
mădălina,マダリーナ
manole,マノール
druc,ドルク
pușcașu,プシュカシュ
negoițescu,ネゴイツェスク
procopiu,プロコピウ
hunor,ケレメン
țiriac,ティリアック
domokos,ゲーザ
ciobotariu,チョボタリウ
vaștag,ヴァシュタグ
leonte,レオンテ
tismăneanu,ティスマネアヌ
yisroel,イスロエル
avrohom,アヴロホム
portugal,ポルトガル
pantelimon,パン
halippa,ハリッパ
gherman,ゲルマン
pântea,パンテア
korner,ケルナー
noni,ノニ
ene,エネ
chișinevschi,キシネフスキ
haiducii,ハイドゥチー
apostol,アポストル
miriță,ミリツァ
leonard,レナード
doroftei,ドリン
ancuța,アンクタ
bobocel,ボボセル
stere,ステール
tatiana,タチアナ
cezar,チェーザル
mădălin,マダリン
silvia,シルビア
stroescu,ストロエスク
pepene,ペペネ
teodora,テオドラ
crin,クリン
tattarescu,タッタレスク
chiper,チッパー
a,アレクサンドル
rosetti,ロゼッティ
justinian,ジュスティニアン
marina,マリーナ
geoană,ジョアナ
chițac,チツァック
păucă,ポーカ
julius,ジュリアス
popper,ポッパー
ghelber,ペリエ
fița,フィタ
lovin,ロビン
mime,マイム
misu,ミス
hurezeanu,フレザヌ
jula,ジュラ
constant,コンスタン
foiaș,フォイアス
racoviță,ラコヴィツァ
țuțea,ツツェア
alla,アッラー
baianova,バヤノワ
henry,アンリ
deutschmeister,デューチュメイステル
valerian,ヴァレリア
trifa,トリファ
gala,ガラ
galaction,ガラクチオン
gina,ジーナ
gogean,ゴージャン
burincă,ブルニカ
cristeana,クリスティアーナ
toma,トマ
caragiu,カラギウ
mărăcineanu,マラシネアヌ
zaharia,ハリア
spiru,スピル
haret,ハレット
macellariu,マチェリャリウ
erik,エリック
lincar,リンカル
golopența,ゴロペンタ
forescu,フォレスク
georgiana,ゲオルギアナ
birțoiu,ビルトー
lovinescu,ロヴィネスク
ramona,ラモーナ
balaci,バラチ
delia,デリア
matache,マタチェ
holender,ホレンダー
patilineț,パティリネス
loteanu,ロチャヌー
serafim,セラフィム
urechean,ウレケアン
arianna,アリアナ
sinn,シン
pola,ポーラ
illéry,イレリ
mariana,マリアナ
nicolesco,ニコレスコ
bădoi,バドイ
pompiliu,ポンピリウ
claudia,クラウディア
presăcan,プレサカン
fazekas,ヤノシュ
rotariu,ロタリウ
florea,フロレア
mendi,メンディ
rodan,ロダン
baba,ババ
bretan,ブレタン
guță,グッツァ
maier,マイヤー
liliana,リリアナ
covaci,コヴァチ
nae,ナエ
halagian,ハラジアン
păunescu,パウネスキュー
iuliu,ユリウ
maniu,マニウ
rebreanu,レブリヤヌ
anuța,アヌタ
cătună,カツナ
attila,フェリ
feri,アッティラ
moga,モガ
udrea,ウドリア
eremia,エレミア
harry,ハリー
oana,バン
ban,オアナ
gavrilă,ガブリラ
ogoranu,オゴラヌ
ella,エラ
kovacs,コバクス
otilia,オティリア
bădescu,バデスク
alfonso,アルフォンソ
castaldi,カスタルディ
ghica,ギカ
cristina,クリスティーナ
bontaș,ボンタシュ
mihalache,ミハラチェ
rodion,ロディオン
cămătaru,カマタル
boștină,ボシュティナ
bodnăraș,ボドナラス
romica,ロミカ
puceanu,プチャヌ
mirela,ミレラ
pașca,パシュカ
tataee,タテー
bellow,ベロー
porumboiu,ポルンボユ
moșuc,モシュク
veronica,ベロニカ
micle,ミクレ
herbolzheimer,ハーボルツハイマー
avram,アヴラム
georges,ゲオルゲス
manolescu,マノレスク
sitaru,シタル
beloiu,ベロウ
luminița,ルミニツァ
salam,サラーム
megelea,メゲレア
mărgineanu,マルジネアヌ
radici,ラディチ
ivanovitch,イヴァノヴィチ
mureșanu,ムレシャヌ
visarion,ヴィサリオン
puiu,プイウ
leo,レオ
butnaru,ブトナル
liliac,リリアク
zicu,ジク
oișteanu,オイシュテアヌ
gogu,ゴグ
dabija,ダビハ
badovici,バドヴィッチ
duca,ドゥカ
cosma,コスマ
donici,ドニチ
iacob,ヤコブ
sternberg,シュテルンベルグ
israil,イスライル
bercovici,ベルコヴィチ
erhan,エルハン
sarău,サラウ
anton,アントン
tararache,タララチェ
teohari,テオハリ
heimann,ハイマン
hariton,ハリトン
tiktin,ティトキン
codrescu,コドレスク
preoteasa,プレオターサ
mosko,モスコ
alkalai,アルカライ
imre,イムレ
edouard,エドゥアルト
lindenberg,リンデンベルク
pârvulescu,プルヴォレスク
dăscălescu,ダスカレスク
sadoveanu,サドヴャーヌ
xenopol,ゼノポール
mugurel,ムグレル
buga,ブーガ
dragalina,ドラガリナ
anastasia,アナスタシア
lazariuc,ラザリュク
chirtoacă,キルトアカ
lăzărescu,ラザレスク
christian,クリスティアン
beldi,ベルディ
solomon,ソロモン
marcus,マーコス
cosmina,コスミナ
dușa,ドゥシャ
plahotniuc,プラホトニク
raicea,ライチャ
leontina,レオンティーナ
văduva,ヴァドゥヴァ
pittiș,ピティス
ilarie,イラリエ
voronca,ヴォロンカ
sonnabend,ソナベンド
varujan,ヴァルジャン
vosganian,ヴォスゲイニアン
stănescu,スタネスク
sturza,ストゥルザ
augustin,オーガスティン
céline,セリーヌ
arnauld,アルノー
ropcea,ロプシー
isidor,ガンスル
gansl,イジドル
răutu,ロウト
dobrescu,ドブレスク
ermil,エルミル
majearu,マジェアル
mihăileanu,ミヘイレアニュ
băjenaru,ベジェナル
stoilov,ストイロフ
boris,ボリス
ștefanov,ステファンコフ
sârbu,サルブ
aldea,アルデア
teodorovici,テオドロヴィチ
c,コンスタンティン
cionca,シオンカ
vitali,ヴィタリ
holostenco,ホロステンコ
ciugureanu,チュグレアヌ
câlția,クルツィア
tapalagă,タパラガ
eva,エヴァ
mozes,モーゼス
kor,コー
iustin,ジャスティン
moisescu,モイセスク
elisabeta,エリザベータ
bostan,ボスタン
octav,オクタヴ
băncilă,バンキラ
egon,エゴン
balas,バラス
constantinovici,コンスタンティノヴィチ
mazilu,マジル
decebal,デチェバル
remeș,レメシュ
rebengiuc,レベンギュウク
argetoianu,アルジェトイアヌ
mitiță,ミティツァ
pița,ピッツァ
esthera,エステラ
ted,テッド
ilarion,フローリン
ionescugalați,ヨネスガラツィ
vadim,ヴァディム
negru,ネグル
bratu,ブラトゥ
brezoianu,ブレゾヤヌ
hariclea,エリクレア
darclée,ダルクレー
gabi,ガビ
luncă,ルンカ
alexa,アレクサ
celestina,セレスティナ
țurcanu,ツォルカーノ
mișu,ミシュ
popp,ポプ
dana,ダナ
nălbaru,ナバルバ
cutaș,クタシュ
cristi,クリスティ
mandeal,マンデアル
avrămia,アヴラミア
stângaciu,ストゥンガチウ
banu,バニュ
bellio,ベリオ
cocoș,ココス
antipa,アンティパ
sîncrăian,シンクレヤン
mărginean,マルジネアン
carpo,カルポ
dociu,ドシウ
manta,マンタ
predoiu,プレドユ
hugo,ウーゴ
luz,ルス
ursu,ウルス
dem,デメトル
i,イオン
tudorel,トゥドレル
trică,トリカ
muntean,ムンテアン
jacques,ジャック
hérold,エロルド
bellu,ベル
botezatu,ボテザトゥ
dimitrie,ディミトリ
bogos,ボゴス
dean,ディーン
beța,ベシャ
dimofte,ディモフテ
buzura,ブズラ
nicolaescu,ニコラエスク
john,ジョン
chastelain,シャステレン
jules,ジュール
perahim,ペラヒム
moses,モーゼス
gaster,ガスター
chipăruș,シパリュス
albert,アルバート
saritov,サリトフ
voiculescu,ヴォイコレスク
cătinaș,カティナス
doru,アイザック
isac,ドール
dida,ディダ
drăgan,ドラガン
fărcaș,ファルカシュ
bârlădeanu,ブーラダーノ
dov,ダヴ
seltzer,セルツァー
nemescu,ネメスク
