inna,茵娜
zelea,泽莱亚
ilie,伊利耶
verdeț,维尔德茨
dinu,迪努
lipatti,李帕蒂
linca,林卡
marian,马里安
simion,西米翁
larisa,拉里莎
iordache,约尔达凯
oana,瓦娜
pantelimon,潘泰利蒙
becheru,贝克鲁
alexandru,亚历山德鲁
averescu,阿维雷斯库
titus,蒂图斯
corlățean,科尔拉泰安
iurie,尤里
leancă,莱安克
lara,拉那
artur,阿图尔
phleps,弗利普斯
mutu,穆图
călin,卡林
popescutăriceanu,波佩斯库特里恰努
vasile,瓦西里
dîba,德巴
marghiloman,马吉罗曼
astafei,阿斯塔费伊
bölöni,拉斯洛
florin,弗洛林
răducioiu,勒杜乔尤
dincă,丁卡
irinacamelia,伊琳娜卡梅利亚
begu,贝古
cotrubaș,柯特鲁巴斯
cioncan,琼坎
cosmin,科斯明
contra,孔特拉
ghimpu,金普
vrănceanu,弗伦斯努
mihaela,米哈埃拉
loghin,洛金
lucian,卢奇安
mureșan,穆雷桑
niculescumizil,尼古列斯库米齐尔
mocanu,莫卡努
maricica,玛丽奇卡
puică,普伊克
voinea,沃伊内亚
camelia,卡梅利娅
potec,波泰克
walter,沃尔特
zenga,曾加
gheorghiudej,乔治乌德治
zoia,佐娅
anișoara,阿尼什瓦拉
cușmirstanciu,库什米尔斯坦丘
peneș,佩内什
lucinschi,卢钦斯基
niculae,尼古拉
maurer,毛雷尔
iorga,约尔加
emeric,埃梅里克
jenei,热内伊
ciorbea,乔尔贝亚
lia,莉娅
manoliu,马诺柳
stefan,斯特凡
hell,赫尔
ungur,乌格
loredana,洛雷达娜
boboc,博博克
nana,纳拿
falemi,拿加斯森
marius,马里乌斯
urzică,乌尔济克
dobrin,多布林
isărescu,伊瑟雷斯库
cristea,克里斯蒂亚
stelea,斯泰莱亚
dumitrescu,杜米特雷斯库
carol,卡罗尔
lambrino,拉姆布林诺
stăiculescu,斯特伊库列斯库
șelariu,谢拉留
olaru,奥拉鲁
ioan,伊万
silviu,西尔维乌
suciu,苏丘
dănălache,达纳拉赫
dorin,多林
goian,戈伊安
iosif,约瑟夫
czako,约瑟夫
luca,卢卡
pintilii,平蒂利
agache,阿加凯
stănuleț,斯特努莱茨
cutina,库蒂纳
cristina,克里斯蒂娜
grigoraș,格里戈拉什
nicu,尼库
basarab,巴萨拉布
panduru,潘杜鲁
dembroschi,登布罗夫斯基
adalbert,阿达尔贝特
deșu,德舒
dănuț,德努茨
lupu,卢普
rășinaru,勒希纳鲁
moraru,莫拉鲁
enescu,埃内斯库
hermann,赫尔曼
oberth,奥伯特
gregor,格雷戈尔
von,冯
rezzori,雷佐里
mugur,穆古尔
viscopoleanu,维斯科波莱亚努
benția,本茨亚
dorel,多雷尔
dan,丹
potra,波特拉
alexandrescu,亚历山德雷斯库
jude,裘德
tătaru,特塔鲁
săpunaru,瑟普纳鲁
cociș,科奇什
manea,马尼亚
mănescu,曼内斯库
lusztig,卢斯蒂格
rusu,鲁苏
saul,索尔
steinberg,斯坦伯格
dică,迪克
stângă,斯滕格
neagu,内亚古
ciobotariu,乔博塔留
chițac,赤塔克
lăpușneanu,勒普什内亚努
prunea,普鲁内亚
marcel,马塞尔
coraș,科拉什
elemér,科奇什
kocsis,埃莱梅尔
săndoi,森多伊
noemi,诺埃米
lung,伦格
teohari,特奥哈里
berceanu,贝尔恰努
ovidiu,奥维迪乌
stîngă,斯滕格
kovács,高华斯
preda,普雷达
barbu,巴尔布
dobay,多巴伊
draica,德拉伊卡
țiriac,提里亚克
socaci,索卡奇
laurențiu,劳伦丘
dumănoiu,杜默诺尤
glăvan,格勒万
ioana,伊万娜
olteanu,奥尔泰亚努
sanda,珊达
toma,托马
rodica,罗迪卡
arba,阿尔巴
veronica,韦罗妮卡
cochelacogeanu,科凯拉
dorinel,多里内尔
geoană,杰瓦讷
armășel,阿尔默谢尔
apostol,阿波斯托尔
dacian,达奇安
cioloș,乔洛什
costel,哥斯度
pantilimon,彭迪利蒙
silvia,西尔维娅
stroescu,斯特罗埃斯库
florența,弗洛伦察
crin,克林
codrea,科德雷亚
mateuț,马泰乌茨
armand,阿曼德
călinescu,克利内斯库
srgian,斯德扬
luchin,卢钦
leonard,莱昂纳德
doroftei,多罗夫泰伊
marinescu,马里内斯库
monea,莫内亚
panțuru,潘楚鲁
valerică,瓦列里克
găman,格曼
dicu,迪库
raul,劳尔
rusescu,鲁塞斯库
dolipschi,多利普斯基
romulus,罗穆卢斯
gabor,加博尔
chipciu,奇普丘
hobana,霍巴纳
cătălin,克特林
fercu,费库
macoviciuc,马科维丘克
bilașco,比拉什科
neagoe,内亚戈耶
robe,罗贝
irimescu,伊里梅斯库
erik,埃里克
lincar,林卡尔
milea,米列亚
ciolac,乔拉克
cărtărescu,克尔特雷斯库
emilia,埃米莉娅
eberle,埃贝莱
melita,梅丽塔
rühn,吕恩
crăciunescu,克勒丘内斯库
păucă,珀乌克
virgil,维尔吉尔
trofin,特罗芬
fița,菲察
lovin,洛温
elizabeta,伊丽莎白
samara,萨马拉
ghiță,吉策
licu,利库
anca,安卡
dumitrița,杜米特里察
turner,图尔纳
teodora,特奥多拉
mariana,玛丽安娜
trușcă,特鲁什克
francisc,弗朗奇斯克
horvath,霍瓦特
prunariu,普鲁纳留
liliana,利利亚娜
gafencu,加芬库
golopențaalexandru,亚历山德鲁
militaru,米利塔鲁
dragoș,德拉戈什
irimiciuc,伊里米丘克
nicolao,尼克劳
cornel,科尔内尔
penu,佩努
mirela,米蕾拉
țugurlan,楚古尔兰
gina,吉娜
gogean,戈吉安
burincă,布林克
ionela,约内拉
loaieș,洛阿耶什
voina,沃伊纳
chiroiu,基罗尤
ivăncescu,伊文切斯库
stere,斯泰雷
adamache,阿达马凯
rotariu,罗塔留
nae,纳耶
leon,列昂
rotman,罗特曼
gruia,格鲁亚
bourceanu,鲍尔切鲁
rică,勒杜卡努
răducanu,拉杜卡努
mărioara,马里瓦拉
cristieana,克里斯蒂亚娜
cojocaru,科若卡鲁
bufanu,什特凡内斯库
claudia,克劳迪娅
presăcan,普雷瑟坎
rang,兰格
alupei,阿卢佩伊
david,大卫
wechsler,韦克斯勒
prepeliță,普雷佩利策
roland,罗兰
gunnesch,古奈什
dunca,敦卡
dragomir,德拉戈米尔
cioroslan,乔罗斯兰
igorov,伊戈罗夫
peter,皮特
netzer,内策尔
capusta,卡普斯塔
bănel,伯内尔
nicoliță,尼科利策
mirel,米雷尔
rădoi,拉多伊
sebastian,塞巴斯蒂安
torje,托尔热
florea,弗洛雷亚
dumitrache,杜米特拉凯
flavius,弗拉维乌斯
domide,多米德
cernea,切尔内亚
gardoș,加多斯
vlaicu,弗拉伊库
mergea,梅尔贾
martin,马丁
cocoș,科科什
popa,波帕
fulger,富尔杰
raicea,拉伊恰
sonia,索尼娅
iovaninovan,约万
cornelia,科尔内利娅
sideri,西代里
uta,乌塔
poreceanuschlandt,波雷恰努
eremia,埃雷米亚
horia,霍里亚
tecău,特卡乌
jános,亚诺什
fazekas,法泽卡什
gavril,加比
balint,巴林特
florentin,弗洛伦廷
ban,巴恩
vanda,万达
hădărean,赫德雷安
zalomir,扎洛米尔
tiberiu,蒂贝留
dolniceanu,多尔尼恰努
valentin,瓦伦丁
silaghi,西拉吉
gelu,杰卢
talapan,塔拉潘
iuliu,尤柳
maniu,马纽
oleg,奥列格
dobrescu,多布雷斯库
leonte,列昂廷
răutu,拉乌图
ic,约内尔
horațiu,霍拉蒂乌
mălăele,马拉埃雷
polihroniade,波莉罗妮雅德
mărăscu,默勒斯库
teodor,特奥多尔
florian,弗洛里安
geantă,杰安特
adelina,阿德利娜
cojocariu,博古什
pașca,帕什卡
bontaș,邦塔什
neculiță,内库利策
boris,鲍里斯
ștefanov,斯特凡诺夫
otilia,奥蒂莉亚
bădescu,巴蒂斯库
pacepa,帕切帕
nicușor,尼古拉
stanciu,斯坦丘
lajos,绍特马里
sătmăreanu,拉约什
brandabura,布兰达布拉
liliac,利利亚克
sabin,沙宾
megelea,梅杰莱亚
mihali,米哈利
marin,马林
răducan,勒杜坎
bodnăraș,波德纳拉希
claudiu,克劳迪乌
olăroiu,奥拉罗尤
pop,波普
chiculiță,基库利策
nilca,尼尔卡
mustață,穆斯塔策
ismailciuc,伊斯梅尔丘克
albert,阿尔贝特
saritov,萨里托夫
mineasorohan,米内亚
zafiu,扎菲乌
olga,奥尔加
homeghi,霍梅吉
lavric,拉夫里克
raffinsky,拉斯洛
octavian,奥克塔维安
chihaia,捷凯亚
rodion,罗迪翁
cămătaru,克默塔鲁
cosmina,科斯米娜
stratan,斯特拉坦
gogu,格奥尔基
rădulescu,勒杜列斯库
pană,帕纳
sirițeanu,西里采亚努
grecu,格雷库
gherman,盖尔曼
adriana,阿德里安娜
bazonchelariu,巴宗
bârlădeanu,伯尔勒迪亚努
pascu,帕斯库
vartolomei,沃特鲁梅
szabóorbán,奥尔加
augustin,奥古斯丁
buzura,布祖拉
bărbulescu,伯尔布列斯库
glanzmann,格兰茨曼
ioachim,约阿基姆
moldoveanu,莫尔多韦亚努
sîrbu,瑟尔布
alexe,阿列克谢
zare,扎雷
eșanu,埃沙努
moghioroș,莫吉奥罗什
drăghici,德勒吉奇
preoteasa,普雷奥蒂亚萨
vilmoș,绍博
szabo,维尔莫什
pârvulescu,珀尔伏列斯库
țăranu,策拉努
vlădoiu,弗勒多尤
ionel,约内尔
drîmbă,德伦伯
baciu,巴丘
vardală,瓦尔达勒
mihăilescu,米赫伊列斯库
gârleșteanu,格尔莱什泰亚努
alin,阿林
alexucciurariu,阿列克苏克丘拉留
sterian,索阿雷
soare,斯泰里安
vidrașcu,维德拉什库
volvoreanu,沃尔沃雷亚努
sfetescu,斯费泰斯库
nemeș,内梅什
nedelcovici,内德尔科维奇
atanasie,阿塔纳谢
tănăsescu,特讷塞斯库
papură,帕普拉
dăscălescu,德斯克列斯库
moți,莫齐
rednic,雷德尼克
dănciulescu,丹丘内斯库
tudosie,图多西耶
argetoianu,阿尔杰托亚努
papp,皮帕
chiriță,基里策
tudor,图多尔
stelian,斯特利安
burcea,布尔库亚
sînă,辛纳
iliuță,伊柳策
pătrășcoiu,珀特勒什科尤
tănase,塔纳塞
angelo,安杰洛
lászló,托克斯
tőkés,拉兹罗
celestina,切莱斯蒂娜
predoiu,普雷多尤
hîldan,赫尔丹
copil,科皮尔
ganea,加内亚
patzaichin,帕察伊钦
vintilă,温蒂勒
cossini,科西尼
chiricheș,克里切斯
tătărescu,特特雷斯库
petrescu,佩特雷斯库
alexa,阿历萨
frim,弗里姆
athanasiu,阿塔纳休
morariu,莫拉留
groapă,格罗阿珀
tomoiagă,托莫亚格
eugenia,欧金尼娅
golea,戈莱亚
flutur,弗卢图尔
potorac,波托拉克
alec,亚历克
năstac,讷斯塔克
calafeteanu,采拉费泰努
babii,巴比
bobu,博布
sânmărtean,瑟默尔泰安
costică,科斯蒂克
ștefănescu,斯特凡内斯库
cristi,克利斯提
puiu,普优
dulca,杜尔卡
aposteanu,阿波斯泰亚努
dobrebălan,多布雷伯兰
aneta,阿内塔
mihaly,米哈伊
anton,安东
calenic,卡莱尼克
țucudean,图库迪安
tiță,蒂策
lăcătuș,勒克图什
lascăr,拉斯克尔
catargiu,卡塔尔久
anghel,安格尔
iordănescu,约尔德内斯库
oprea,奥普雷亚
maxim,马克西姆
bodola,博多拉
aurel,奥雷尔
vernescu,韦尔内斯库
atanasia,阿塔纳西娅
ionescualbu,约内斯库
sciotnic,肖特尼克
antonel,安东内尔
borșan,博尔尚
dejeu,德热乌
tașnadi,塔什纳迪
bejinariu,贝日纳留
ionuț,约努茨
bianca,比安卡
răzor,勒佐尔
mara,玛拉
chipăruș,奇帕若斯
dragnea,德拉格内亚
nichiforov,尼基福罗夫
aurica,奥丽卡
bărăscu,伯勒斯库
negrea,内格雷亚
mățel,默采尔
costin,科斯蒂
lazăr,拉扎尔
gornea,戈尔内亚
macedonski,马其顿斯基
pușcașu,普什卡舒
cantacuzino,坎塔库兹诺
fiat,菲亚特
pitică,皮蒂卡
manolescu,马诺列斯库
dafinoiu,达菲诺尤
sfera,斯费拉
werner,维尔纳
stöckl,施特克尔
otmar,奥特马尔
szafnauer,萨夫诺尔
birtalan,比尔陶隆
stelică,斯泰利克
morcov,莫尔科夫
schumacher,舒马赫
petrovicescu,彼得罗维塞斯库
vizitiu,维济蒂乌
bindea,宾代亚
berbece,贝尔贝切
grabovschi,格拉博夫斯基
boroș,博罗什
dogărescu,多格雷斯库
cezar,切扎尔
drăgăniță,德勒格尼策
cosma,科斯马
bedivan,贝迪万
calistrat,卡利斯特拉特
cuțov,库措夫
diaconescu,迪亚科内斯库
durău,杜勒乌
buligan,布利甘
samungi,萨蒙吉
vasilache,瓦西拉凯
neculai,尼古拉
vasilcă,瓦西尔克
stângaciu,斯滕加丘
ciobanu,乔巴努
doboș,多博什
strungaru,斯特伦加鲁
tudoran,图多兰
alexander,亚历山大
fölker,弗尔克
covaciu,科瓦丘
vasilichi,瓦西利基
gațu,加楚
maricel,马里切尔
spircu,斯珀尔库
bulimar,布利马尔
chira,基拉
burcă,布尔卡
mitică,米蒂克
pricop,普里科普
miron,米隆
stoian,斯托扬
chifu,基富
oros,奥罗斯
chișinevschi,基希涅夫斯基
manole,马诺莱
anitaș,阿尼塔什
robu,罗布
tătărușanu,特特鲁沙努
iulia,尤利娅
bobeică,布列
necula,尼古拉
măstăcan,默斯特坎
iulică,尤利克
ruican,鲁伊坎
marcela,玛尔切拉
zsak,莫尔多万扎克
aurora,奥罗拉
rozalia,罗扎利娅
negrilă,内格里勒
stefanescu,斯特凡内斯库
sofia,索菲娅
corban,科尔班
hoban,霍班
hilde,希尔德
lauer,劳尔
corina,柯莉娜
căprioriu,克普里奥留
gîrleanu,格尔莱亚努
iuga,尤加
lovrenschi,洛夫伦斯基
victoria,维多利亚
lepădatu,莱珀达图
vicol,维科尔
rudolf,比尔格
bürger,鲁道夫
larion,拉里翁
serghei,谢尔盖
asachi,阿萨奇
limbău,林伯乌
enikő,鲍劳巴什
barabás,埃妮克
mușat,穆沙特
șerban,谢尔班
druncea,德伦恰
țaga,察加
dimitrie,迪米特里耶
vitanidis,维塔尼迪斯
gușă,古沙
voitec,沃伊捷克
ivanov,伊万诺夫
șnepbălan,什内普伯兰
ludovic,卢多维克
orban,奥尔班
michael,米夏埃尔
klein,克莱因
coe,科埃
edmund,纳吉
nagy,米克洛什
iacob,雅各布
felecan,费莱坎
pescaru,佩斯卡鲁
tufan,图凡
richter,里希特
lothar,洛塔尔
rădăceanu,拉德齐亚努
lucia,露西娅
sauca,托阿德尔
gâlcă,格尔克
patilineț,帕蒂利内茨
tibor,谢伊迈什
selymes,蒂博尔
gane,加尼
stancu,斯坦库
timofte,蒂莫夫特
cipere,奇佩雷
brucan,布鲁坎
gingă,根格
simionov,西苗诺夫
ernest,埃内斯特
grunfeld,格伦费尔德
roșca,罗什卡
săcălicipetroșanu,瑟克利奇
trașcă,特拉什克
mărgăritniculescu,默尔格里特
țăran,策兰
pastor,帕斯托尔
borbely,博尔贝利
tene,泰内
covaliov,科瓦廖夫
oancia,万恰
bondar,邦达尔
dobrițoiu,多布里佐尤
horvat,霍瓦特
giurcă,久尔克
leușteanu,莱乌什泰亚努
magdalena,玛格达列娜
micșa,米克沙
pădurariu,珀杜拉鲁
norman,诺尔曼
klaus,克劳斯
iohannis,约翰尼斯
tufanguzganu,古兹加努图凡
fricioiu,弗里乔尤
ioja,约扎
cătachițiga,克塔基齐加
boghian,博吉安
papană,帕帕讷
hubert,胡贝特
zilberman,齐尔伯曼
agafia,阿加菲娅
constantinbuhaev,康斯坦丁
tecla,泰克拉
marinescuborcănea,马里内斯库
craioveanu,克拉约韦亚努
covaliu,科瓦柳
andone,安多内
ștefanmihoreanu,斯特凡
eduard,爱德华
stăncioiu,斯滕乔尤
lichiardopol,利基亚尔多波尔
vătășoiuliță,沃特绍尤
marlena,马尔莱娜
zagonipredescu,扎戈尼
armășescu,阿尔默塞斯库
cioc,乔克
hurmuzachidumitrescu,胡尔穆扎基杜米特雷斯库
nastasia,纳斯塔西娅
drăgulescu,德勒古列斯库
felicia,费利恰
afrăsiloaie,阿弗勒西洛阿耶
subășeanu,苏伯谢亚努
deheleanu,德海莱亚努
cuedan,库埃丹
florica,弗洛丽卡
bucur,布库尔
macovei,马科维
diacu,迪亚库
crivoi,克里沃伊
matei,马泰
gergely,拉斯洛
porumboiu,波兰波宇
rath,拉特
elek,埃莱克
köblös,克布勒什
steliana,斯泰利娅娜
nistor,尼斯托尔
tămârjan,塔米尔然
andriev,安德里耶夫
mina,米纳
danielov,达尼埃洛夫
dăncilă,登奇勒
frățică,弗勒齐克
neculae,尼古拉
rotaru,罗塔鲁
răceanu,勒强努
gheorghiță,格奥尔基策
obreja,奥布雷扎
valer,瓦莱尔
martinescu,马丁内斯库
policarp,波利卡尔普
malîhin,马勒欣
rotarukottmann,罗塔鲁科特曼
macavei,马卡韦伊
koczi,科齐
deleanu,德莱亚努
titulescu,蒂图莱斯库
haralambie,哈拉兰比耶
günther,金特
borilă,博里勒
coman,科曼
țicleanu,齐克莱亚努
ceapura,恰普拉
iosub,约苏布
rareș,拉雷斯
steliano,斯泰利亚诺
filip,菲利普
vartolomeu,瓦尔托洛梅乌
frîntu,弗伦图
petrilă,彼得里勒
raluca,拉卢卡
ioniță,约尼策
stroe,斯特罗埃
bernard,伯纳德
natan,纳坦
meyer,梅耶
abraham,亚伯拉罕
halevy,阿莱维
lucrețiu,卢克雷奇
pătrășcanu,帕特拉什卡努
foriș,福里什
velicu,韦利库
cihărean,奇赫雷安
postelnicu,波斯特尔尼库
jean,让
anghelache,安盖拉凯
donescu,多内斯库
elisa,埃莉萨
leonida,莱奥尼达
zamfirescu,扎姆菲雷斯库
bîrlădeanu,伯尔勒德亚努
bunoaica,布诺阿卡
sterea,斯泰雷亚
remus,雷穆斯
kofler,科夫勒
aurelian,奥勒扬
brăduț,布勒杜
sandu,桑杜
pățan,珀仓
demetrescu,德梅特雷斯库
curticeanu,库尔蒂恰努
tudose,图多塞
dalea,达列亚
farcaș,福尔考什
uglar,乌格拉尔
turcu,图尔库
lina,利娜
bernadette,瑟奇
szőcs,贝尔纳黛特
mihail,米哈伊尔
lupoi,卢波
virginia,维吉妮亚
andreescu,安德莱斯克
haret,哈雷特
suzana,苏扎娜
gâdea,格德亚
burtică,布尔蒂卡
recean,雷切安
ianis,亚尼斯
patricia,帕翠夏
țig,蒂吉
nanau,纳瑙
ularu,乌拉鲁
mădălina,马达丽娜
bereș,贝雷什
ciolacu,乔拉库
grindeanu,葛林多努
țurcaș,楚尔卡什
șnep,什内普
cuciuc,库丘克
elenagabriela,埃列娜加布丽埃拉
ruse,鲁塞
bălescu,博雷斯库
cogianu,科贾努
străinu,斯特勒伊努
irina,伊里娜
bara,巴拉
szasz,萨斯
sevil,塞维尔
shhaideh,什海德
cîmpeanu,肯佩亚努
luiza,路易莎
filiorianu,菲廖里亚努
rațiu,拉蒂乌
frunzetti,弗伦泽蒂
ștefania,斯特凡妮娅
mărăcineanu,默勒奇内亚努
tripșa,特里普沙
cornea,科尔内亚
robert,罗伯特
glință,格林特
ronaldo,罗纳尔多
deaconu,迪科努
andrea,安德烈娅
bălan,巴兰
cazacu,卡扎库
toader,托阿德尔
novac,诺瓦克
denisa,德尼莎
tîlvescu,特尔韦斯库
jaqueline,杰奎琳
gag,加格
călugăreanu,克卢格雷亚努
pascari,帕斯卡里
bologa,博洛加
cîțu,克楚
kriszta,因采
incze,克丽斯陶
cozmiuc,科兹缪克
iuliana,尤利安娜
livia,利维娅
nicoletaancuța,妮科莱塔安库察
bodnar,博德纳尔
radiș,拉迪什
mugurel,穆古雷尔
semciuc,塞姆丘克
buhuș,布胡什
tivodariu,蒂沃达留
ailincăi,艾林克伊
vereș,韦赖什
mihaiviorel,米哈伊
fifor,菲福尔
balla,巴拉
tudosă,图多瑟
amalia,阿马利娅
mariamagdalena,玛丽亚玛格达列娜
comănescu,科默内斯库
viviana,维维安娜
vrînceanu,弗伦恰努
valentina,瓦伦丁娜
vîrlan,沃尔兰
karim,卡里姆
adeyemi,阿德耶米
ciucă,丘克
natalia,纳塔利娅
gavrilița,加夫里利察
drăgușin,达古辛
igor,伊戈尔
grosu,格罗苏
sabrina,萨布丽娜
louis,路易斯
adina,阿迪娜
diaconu,迪亚科努
popovici,波波维奇
românia,罗马尼亚
brăila,布勒伊拉
piatraneamț,皮亚特拉尼亚姆茨
pitești,皮特什蒂
suceava,苏恰瓦
zalău,扎勒乌
iași,雅西
bistrița,比斯特里察
cugir,库吉尔
bocșa,博克沙
sărmașu,瑟尔马舒
craiova,克拉约瓦
târgoviște,特尔戈维什泰
reșița,雷希察
bragadiru,布拉加迪鲁
bicaz,比卡兹
motru,莫特鲁
rupea,鲁佩亚
jimbolia,詹博利亚
chitila,基蒂拉
banat,巴纳特
brașov,布拉索夫
galați,加拉茨
valahia,瓦拉几亚
tarom,罗马尼亚航空
tulcea,图尔恰
sibiu,锡比乌
timișoara,蒂米什瓦拉
arad,阿拉德
botoșani,博托沙尼
focșani,福克沙尼
nehoiu,内霍瓦
vaslui,瓦斯卢伊
săveni,瑟韦尼
isaccea,伊萨克恰
oradea,奥拉迪亚
ploiești,普洛耶什蒂
zărnești,泽尔内什蒂
sighișoara,锡吉什瓦拉
bechet,贝凯特
salcea,萨尔恰
slănicmoldova,斯勒尼克摩尔多瓦
bucurești,布加勒斯特
clujnapoca,克卢日纳波卡
bucovina,布科维纳
dobrogea,多布罗加
sârbi,塞尔维亚族
lugoj,卢戈日
găești,格耶什蒂
giurgiu,吉尔居
buzău,布泽乌
caransebeș,卡兰塞贝什
turceni,图尔切尼
zimnicea,济姆尼恰
deva,德瓦
transilvania,特兰西瓦尼亚
zlatna,兹拉特纳
muntenia,蒙特尼亚
orăștie,奥勒什蒂耶
balș,巴尔什
pucioasa,普奇瓦萨
piatraolt,皮亚特拉奥尔特
borșa,博尔沙
turda,图尔达
oltenia,奥尔特尼亚
bușteni,布什泰尼
călărași,克勒拉希
sinaia,锡纳亚
murfatlar,穆法特拉
hunedoara,胡内多阿拉
sovata,索瓦塔
holcim,霍尔希姆
slobozia,斯洛博齐亚
buftea,布夫泰亚
roznov,罗兹诺夫
dej,代日
fierbințitârg,菲耶尔宾齐特尔格
fetești,费泰什蒂
cajvana,卡伊瓦纳
flămânzi,弗勒门济
băbeni,伯贝尼
sântana,圣安娜
răcari,勒卡里
ardud,阿尔杜德
amara,阿马拉
murgeni,穆尔杰尼
liteni,利泰尼
potcoava,波特夸瓦
dolhasca,多尔哈斯卡
milișăuți,米利瑟乌齐
dăbuleni,德布莱尼
solca,索尔卡
bălcești,伯尔切什蒂
pecica,佩奇卡
ulmeni,乌尔梅尼
frasin,弗拉辛
bucecea,布切恰
dragomirești,德拉戈米雷什蒂
caracal,卡拉卡尔
berbești,贝尔贝什蒂
căzănești,克泽内什蒂
livada,利瓦达
pătârlagele,珀特尔拉杰莱
pogoanele,波瓜内莱
segarcea,塞加尔恰
curtici,库尔蒂奇
măcin,默钦
deta,代塔
vașcău,瓦什克乌
pâncota,彭科塔
comarnic,科马尔尼克
aleșd,阿莱什德
câmpina,坎皮纳
hârlău,赫尔勒乌
făget,弗杰特
budești,布代什蒂
comănești,科默内什蒂
buhuși,布胡希
dorohoi,多罗霍伊
filiași,菲利亚希
titu,蒂图
băilești,伯伊莱什蒂
lipova,利波瓦
băicoi,伯伊科伊
blaj,布拉日
