lionel,利昂内尔
alberico,阿尔贝里科
evani,埃瓦尼
dallapé,达拉佩
magnini,马尼尼
faraoni,法拉奥尼
gregor,格雷戈尔
fučka,富奇卡
dorothea,多罗特娅
wierer,维雷尔
tommasi,托马西
cabibbo,卡比博
badoer,巴多尔
testa,泰斯塔
magdi,马格迪
allam,阿兰
ariaudo,阿里奥多
cristiano,克里斯蒂亚诺
doni,多尼
simone,西蒙尼
padoin,帕多因
mazzola,马佐拉
gianmarco,詹马尔科
zigoni,齐格尼
maderna,马代尔纳
ganna,甘纳
pacini,帕西尼
ceccarini,切卡里尼
ratti,拉蒂
mannironi,曼尼罗尼
bartolucci,巴尔托卢奇
minotti,米诺蒂
mussi,穆西
tarquini,泰基尼
berti,贝尔蒂
angioni,安焦尼
letta,莱塔
pierfrancesco,皮耶法兰西斯柯
favino,法维诺
larini,拉里尼
alboreto,阿尔博瑞托
bandini,班迪尼
angelis,安杰利斯
alcides,阿尔西德斯
ghiggia,吉贾
edoardo,爱德华多
mangiarotti,曼贾罗蒂
mark,马克
iuliano,尤利亚诺
daniele,达尼埃莱
massaro,马萨罗
grandi,格兰迪
guerra,格拉
nikoleta,尼科莱塔
stefanova,斯特凡诺娃
amedeo,阿梅代奥
amadei,阿马代伊
biavati,比亚瓦蒂
vaccarella,瓦卡雷拉
turilli,图里利
tazio,塔齐奥
nuvolari,努沃拉里
flavio,弗拉维奥
briatore,布里亚托利
cesaris,塞萨里斯
lambruschini,兰布鲁斯基尼
ancelotti,安切洛蒂
massimiliano,马西米利亚诺
allegri,阿莱格里
carboni,卡尔博尼
clara,克拉拉
marangoni,马兰戈尼
giordani,乔丹尼
ira,伊拉
von,冯
fürstenberg,菲斯滕贝格
orazio,奥拉齐奥
mariani,马里亚尼
causio,考西奥
brighi,布里吉
gianmaria,詹马里亚
zanardi,辛尼迪
conti,孔蒂
serena,塞雷娜
isa,伊萨
miranda,米兰达
ederson,埃德森
honorato,奥诺拉托
campos,坎波斯
oriali,奥里亚利
longo,隆戈
borghini,博尔吉尼
pelizzoli,佩利佐利
nereo,内里奥
paoletta,保莱塔
magoni,马戈尼
biaggi,比亚吉
aurelio,奥雷利奥
milani,米拉尼
nicolás,尼古拉斯
pareja,柏利夏
danny,丹尼
huston,休斯顿
sforza,斯福尔扎
gemma,杰玛
attilio,阿蒂利奥
ferraris,费拉里斯
ferrante,费兰特
gregotti,葛雷高第
baresi,巴雷西
sartori,萨尔托里
orlandoni,奥兰多尼
basile,巴西莱
pasquale,帕斯夸莱
foggia,霍治亚
sanguinetti,圣圭内蒂
pittin,皮廷
zumino,朱米诺
miriam,米丽娅姆
armando,阿曼多
cossutta,科苏塔
victor,维克多
sabata,萨巴塔
bracciali,布拉奇亚利
bianchi,比安奇
rosolino,罗索利诺
meneghin,梅内金
fernando,费尔南多
filoni,斐洛尼
cassano,卡斯辛奴
manuel,曼努埃尔
pasqual,帕斯夸尔
zoff,佐夫
ranzi,兰齐
molfetta,莫尔费塔
alfonso,阿方索
bialetti,拜尔拉提
marchisio,马尔基西奥
marianelli,马里安利
charles,查尔斯
ponzi,庞兹
frigerio,弗里杰里奥
sculli,斯库利
fausto,福斯托
pellissier,佩利西耶
amelio,阿梅利奥
zevi,赛维
stradivari,斯特拉迪瓦里
agostino,阿戈斯蒂诺
casaroli,卡萨罗利
zambrotta,赞布罗塔
chinaglia,基纳利亚
gilardino,吉拉迪诺
elsa,埃尔莎
joe,乔
d'amato,达马托
regazzi,雷戈奇
storaro,斯托拉罗
arnaldo,阿纳尔多
benfenati,本费纳蒂
pera,佩拉
nello,内洛
santi,桑蒂
rita,丽塔
levimontalcini,列维蒙塔尔奇尼
bordon,博尔东
capello,卡佩罗
cipolla,奇波拉
materazzi,马特拉齐
ferrara,费拉拉
adolfo,阿道夫
baloncieri,巴隆切里
celi,切利
chiara,基娅拉
cainero,卡伊内罗
vittorini,维托里尼
aronica,阿罗尼卡
pierfranco,皮耶尔弗兰科
vianelli,维亚内利
toni,托尼
consolini,孔索利尼
giacconi,贾科尼
cova,科瓦
rubbia,鲁比亚
adone,阿多内
zoli,佐利
fulvio,富尔维奥
collovati,科洛瓦蒂
negro,内格罗
foni,福尼
sani,萨尼
bečirovič,贝契罗维奇
stendardo,斯滕达尔多
moser,莫斯
mariacarla,玛莉亚卡拉
boscono,波高诺
giordano,焦尔达诺
manganiello,曼根尼罗
gerini,洁里尼
schiavone,斯基亚沃内
johnny,强尼
torrio,托里奥
loris,洛里斯
capovilla,卡波维拉
dessena,德塞纳
camoranesi,卡莫拉内西
nitti,尼蒂
rizzolatti,里佐拉蒂
mauricio,毛里西奥
macri,马克里
fabiano,法比亚诺
caruana,卡鲁阿纳
scelba,谢尔巴
bovo,博沃
lanzafame,兰扎法梅
ambrosini,安布罗西尼
parisse,帕里塞
vieri,维耶里
reinhold,莱茵霍尔德
messner,梅斯纳尔
clemente,克莱门特
virginio,维尔吉尼奥
rosetta,罗塞塔
allemandi,阿莱曼迪
piano,皮亚诺
aquilani,阿奎拉尼
iaquinta,亚昆塔
gasperini,加斯柏连尼
emanuele,埃马努埃莱
savoia,萨伏伊
elena,埃琳娜
cocciante,柯强特
milano,米拉诺
tricella,特里切拉
martini,马蒂尼
bastico,巴斯蒂科
lombardi,隆巴尔迪
russo,鲁索
santacroce,桑塔克罗切
thiago,蒂亚戈
meazza,梅阿查
benedetto,贝内德托
croce,克罗切
saraudi,萨劳迪
lucchetta,卢凯塔
sammartino,山玛提诺
corradi,科拉迪
caffarra,卡法拉
coppa,科帕
parolin,帕罗林
galderisi,加尔代里西
gustavo,古斯塔沃
petro,佩特罗
bettino,贝蒂诺
craxi,克拉克西
simoncelli,西蒙切利
rodari,罗大里
sraffa,斯拉法
manzoni,曼佐尼
leali,莱亚利
giaccherini,贾凯里尼
ruggiero,鲁杰罗
rizzitelli,里齐泰利
omero,奥梅罗
tognon,托尼翁
danijel,达尼耶尔
premuš,普雷穆什
ferruccio,费鲁乔
novo,诺沃
cagnetti,卡涅蒂
zanin,扎宁
carlton,卡尔顿
myers,迈尔斯
mazzarri,马扎里
delio,德里奥
chailly,夏伊
mortara,莫他拿
antonioli,安东尼奥利
stecca,斯泰卡
rubini,鲁比尼
marrone,马隆内
carmelo,卡尔梅洛
marchisano,马尔基萨诺
benito,贝尼托
lorenzi,洛伦齐
marini,马里尼
gelindo,杰林多
bordin,博尔丁
castiglioni,卡斯蒂廖尼
adriano,阿德里亚诺
celentano,塞兰特诺
badoglio,巴多格里奥
moreno,莫雷诺
torricelli,托里切利
lattuada,拉图阿达
amy,艾美
adams,亚当斯
maldini,马尔蒂尼
pierluigi,皮耶路易吉
collina,科利纳
curletto,库莱托
terlizzi,泰利齐
ventola,文托拉
braglia,布拉利亚
günther,金特
huber,胡贝尔
buy,贝
modugno,莫杜尼奥
accardo,阿卡多
lugano,卢加诺
sorrentino,索伦蒂诺
luria,卢瑞亚
modigliani,莫迪利安尼
graziano,格拉齐亚诺
mancinelli,曼奇内利
toto,托托
cutugno,库图尼奥
arrighi,阿锐基
falcone,法尔科内
agazzi,阿加齐
pontormo,蓬托莫
flavia,弗拉维娅
pennetta,佩内塔
cudicini,古迪仙尼
malinverni,马林韦尔尼
marinella,马里内拉
falca,法尔卡
iturra,伊图拉
tacconi,塔科尼
isabella,伊莎贝拉
lanza,兰扎
collinelli,科利内利
galli,加利
ferro,费罗
gama,伽马
pepe,柏比
mirka,米尔卡
francia,弗兰恰
panatta,帕纳塔
lupo,卢波
lamberto,兰贝托
dini,迪尼
bonucci,博努奇
rava,拉瓦
casiraghi,卡西拉吉
bagnasco,巴尼亚斯科
danesin,达内辛
colombo,科隆博
tranquillo,特兰基洛
barnetta,巴内塔
boris,鲍里斯
pahor,帕霍尔
arnoldo,阿诺尔多
foà,弗阿
masiello,马西耶洛
minguzzi,明古齐
mike,迈克
d'antoni,德安东尼
bari,巴里
campana,坎帕纳
carnevale,卡尔内瓦莱
borella,博雷拉
severino,塞韦里诺
poletto,珀莱托
peron,佩龙
rosalba,罗萨尔巴
calvi,卡尔维
galenda,加伦达
guccio,古驰奥
gucci,古驰
rossettini,罗塞蒂尼
marta,玛尔塔
capurso,卡普尔索
castelnuovotedesco,卡斯泰尔诺沃泰代斯科
romero,罗梅罗
cassarà,卡萨拉
cantelli,坎泰利
nicora,尼科拉
moriero,莫列罗
roger,罗杰
piantoni,皮安东尼
gasbarroni,加斯巴罗尼
giovi,吉奥维
pietrangeli,彼得兰杰利
mantovani,曼托瓦尼
piperno,皮沛诺
bertotti,贝尔托蒂
macheda,马凯达
lucky,查理
diamanti,迪亚曼蒂
gentili,真蒂利
rigoni,里戈尼
latini,拉蒂尼
samantha,萨曼塔
cristoforetti,克里斯托福雷蒂
antognoni,安托尼奥尼
pizzetti,皮泽蒂
baldo,巴尔多
rolando,罗兰多
rigoli,里戈利
tucci,图齐
maurice,莫里斯
taylor,泰勒
antonello,安东内洛
cuccureddu,库库雷杜
riva,里瓦
vigor,维戈尔
bovolenta,博沃伦塔
rachele,拉凯莱
guidi,靳贵第
buscetta,布西达
poli,波利
rota,罗塔
floridi,弗洛里迪
criscito,克里西托
vian,维安
abate,阿巴特
raoul,拉乌尔
bova,波瓦
guiggi,圭吉
maggio,马乔
andreolli,安德雷奥利
vives,维维斯
fornoni,福尔诺尼
salvadori,萨尔瓦多里
trapè,特拉佩
cogliati,科利亚蒂
corrado,科拉多
gini,吉尼
rebellin,雷贝林
cammarelle,卡马雷莱
lino,利诺
lacedelli,莱斯德利
pazienza,帕奇恩扎
sebastian,塞巴斯蒂安
giovinco,乔文科
bailetti,巴伊莱蒂
occhialini,奥基亚利尼
igor,伊戈尔
markevitch,马克维奇
burgnich,布尔尼奇
tomasi,托马西
lampedusa,兰佩杜萨
nocerino,诺切里诺
robert,罗伯特
acquafresca,阿夸弗雷斯卡
costacurta,科斯塔库塔
bambini,班比尼
tamás,梅尔奇
märcz,陶马什
lido,利多
nizzola,尼佐拉
biondini,比昂迪尼
hansjörg,汉斯约尔格
raffl,拉夫尔
mattia,马蒂亚
destro,德斯特罗
prandelli,普兰德利
pellè,佩莱
giampaolo,詹保罗
pazzini,柏仙尼
facchetti,法切蒂
giovanbattista,乔瓦巴蒂斯塔
venditti,温蒂提
solfrini,索尔弗里尼
nico,尼科
pulzetti,普尔泽蒂
piller,皮莱尔
cottrer,科特雷尔
calzolari,卡尔佐拉里
picardi,皮卡尔迪
giovannetti,焦万内蒂
virdis,维尔迪斯
neri,内里
gaudini,高迪尼
bardi,巴尔迪
defendi,德芬迪
iorio,约里奥
menegotti,梅内戈蒂
cagnotto,卡尼奥托
battista,巴蒂斯塔
caproni,卡普罗尼
zingerle,青格勒
samuele,萨穆埃莱
david,大卫
arienti,阿里恩蒂
aureliano,奥雷利亚诺
bolognesi,博洛涅西
caprari,卡普拉里
paris,帕里斯
angelillo,安杰利洛
nesta,内斯塔
renata,雷纳塔
tebaldi,泰巴尔迪
errani,埃拉尼
d'agostino,达戈斯蒂诺
trevi,特雷维
soriano,索里亚诺
nichi,尼基
vendola,文多拉
maspes,马斯佩斯
lupatelli,卢帕特利
coppi,科皮
leiva,雷瓦
mirante,米兰特
bud,布德
spencer,斯藩塞
jori,约里
andrew,安德鲁
viterbi,维特比
bertoni,贝尔托尼
pompeo,庞培欧
batoni,巴托尼
pesenti,佩森蒂
orsato,奥萨托
amorth,阿摩特
coccopalmerio,科科帕尔梅里奥
donatella,多纳泰拉
versace,范思哲
vezzali,韦扎利
rivera,里韦拉
santangelo,圣安杰洛
grosso,格罗索
tathiana,塔蒂亚娜
garbin,加尔宾
valeria,瓦莱丽亚
golino,葛琳诺
abbagnale,阿巴尼亚莱
mina,米娜
straulino,斯特劳利诺
vallini,瓦利尼
bellugi,贝卢吉
galloppa,加洛帕
berio,贝里奥
ferri,费里
norbert,毛道劳什
madaras,诺贝特
brivio,布里维奥
delfino,德尔菲诺
andreoli,安德烈奥利
gianna,吉娜
nannini,南尼尼
asia,艾莎
nevio,内维奥
scala,斯卡拉
floro,科路
flores,科利斯
siddi,西迪
gentile,真蒂莱
mirella,米雷拉
freni,弗雷妮
tabucchi,塔布其
anquilletti,安奎莱蒂
alice,爱丽丝
rohrwacher,罗尔瓦赫尔
pino,皮诺
dordoni,多尔多尼
luzi,鲁兹
juliano,尤利亚诺
masi,马西
corso,科尔索
annunzio,阿农齐奥
iachini,亚基尼
carmine,卡尔米内
contini,孔蒂尼
monterisi,蒙泰里西
scaglione,斯凯荣内
knapp,克纳普
perrotta,佩罗塔
amati,阿玛迪
carolina,卡罗琳娜
kostner,科斯特内尔
natta,纳塔
ezequiel,埃兹奎尔
schelotto,谢洛托
paolucci,保卢奇
iachino,亚基诺
corini,科里尼
