de_toːmas	托马斯
de_vlaːʃiːaː	拉斯齐哈
de_valtɐ	瓦尔特
de_hoɐst	霍斯特
de_køːlɐ	克勒
de_paul	保罗
de_pʁaitnɐ	布莱特纳
de_følɐ	沃勒尔
de_fʁant͡sl	弗朗茨
de_konʁat	康拉德
de_adeːnauɐ	阿登纳
de_t͡set	捷德
de_ɡont͡saːloː	干沙路
de_kastʁoː	卡斯度
de_maɐk	马克
de_foɐstɐ	福斯特
de_ulʁikə	乌尔丽克
de_hanaː	汉娜
de_ʃyɡulaː	许古拉
de_iŋoː	英戈
de_vaisənboɐn	魏森博恩
de_ʁainhaɐt	赖因哈德
de_toɐstən	托尔斯滕
de_vaitnɐ	魏德纳
de_fon	冯
de_ʃtuk	施图克
de_aleksandɐ	亚历山大
de_kox	科赫
de_bonhof	邦霍夫
de_beɐnhaɐt	伯恩哈德
de_laŋɐ	兰格
de_leːman	莱曼
de_joːhanes	约翰内斯
de_ʁauh	劳
de_ʃteːfan	斯特凡
de_bøtixɐ	伯蒂歇尔
de_ʃtoyeɐvalt	斯图瓦特
de_byːtiekofɐ	比蒂科夫
de_uːliː	乌利
de_hoeːnes	赫内斯
de_heɐbeɐt	赫伯特
de_klain	克莱因
de_ʃustɐ	舒斯特
de_feoːdoɐ	费奥多尔
de_lynən	吕嫩
de_eɐnst	恩斯特
de_fiʃɐ	菲舍尔
de_maːʀioː	马里奥
de_fiːlip	菲利普
de_adamskiː	亚当斯基
de_joːxən	约亨
de_ʁint	林特
de_joːsef	约瑟夫
de_ʃtʁaus	施特劳斯
de_zeːhofɐ	泽霍费尔
de_zitnai	西德尼
de_zam	萨姆
de_oyhkən	奥伊肯
de_beːkənbauɐ	贝肯鲍尔
de_katʁin	卡特琳
de_heɐman	赫尔曼
de_ʃtauhdiŋɐ	施陶丁格
de_aneːsofiə	安娜苏菲
de_mutɐ	穆特
de_uvə	乌韦
de_ʁaːn	拉恩
de_ʁeːmaʁkvə	雷马克
de_piːɐʁə	皮埃尔
de_litbaɐskiː	利特巴尔斯基
de_otfʁiːt	奥飞
de_pʁoyslɐ	普思乐
de_antʁeas	安德烈亚斯
de_vait͡ssekɐ	魏茨泽克
de_ʃeːl	谢尔
de_kaɐstəns	卡斯滕斯
de_ɡustaf	古斯塔夫
de_haiəneːman	海涅曼
de_hainʁix	海因里希
de_lypkə	吕布克
de_pʁunɐ	布伦纳
de_teoːdoɐ	特奥多尔
de_hoys	豪斯
de_eɡon	埃贡
de_manfʁet	曼弗雷德
de_ɡeɐlax	格拉赫
de_hoːnekɐ	昂纳克
de_lotaɐ	洛塔尔
de_mathoys	马特乌斯
de_zeːlɐ	泽勒
de_fʁiːtʁix	弗里德里希
de_maɐkel	马塞尔
de_ʁaixʁaːniːki	莱希拉尼基
de_haːkən	哈肯
de_plox	布洛赫
de_olifɐ	奥利弗
de_ʁiːdel	里德尔
de_otmaɐ	奥特马
de_hit͡sfelt	希茨费尔德
de_ʁiːtaː	丽塔
de_køːnik	柯尼希
de_biːʀol	比罗尔
de_anjaː	安雅
de_fixtel	菲希特尔
de_moːniːkaː	莫妮卡
de_vebɐ	韦伯
de_etmunt	埃德蒙
de_ʃtoibɐ	斯托伊贝
de_efənbeɐk	埃芬伯格
de_hans	汉斯
de_maknus	马格努斯
de_ənt͡sənsbeɐɡɐ	恩岑斯贝格尔
de_hesə	黑塞
de_heɐtaː	赫塔
de_beɐnaɐt	伯纳德
de_kat͡s	卡茨
de_joːnas	约纳斯
de_ʁeːkeɐman	雷克曼
de_lauhʀaː	劳拉
de_oyhɡən	欧根
de_poːlanskiː	波兰斯基
de_juːlius	尤利乌斯
de_pʁiŋk	布林克
de_vilfʁiːt	维尔弗里德
de_diːtʁix	迪特里希
de_adolf	阿道夫
de_buːteːnant	布特南特
de_bety	贝蒂
de_haitlɐ	海德勒
de_zantʁaː	桑德拉
de_bulok	布拉克
de_volfɡaŋk	沃尔夫冈
de_ofeːʀat	奥弗拉特
de_ʁony	罗尼
de_bekstain	贝克施泰因
de_ʁafael	拉斐尔
de_ʃefɐ	舍费尔
de_ʁuːbəns	鲁本斯
de_zødɐ	索德尔
de_ʃvaɐt͡sman	施瓦茨曼
de_tim	蒂姆
de_hoːklant	霍格兰
de_kolat͡s	考拉兹
de_fʁaŋk	弗兰克
de_oɐdeːnevit͡s	奥尔德内维茨
de_xʁistiənaː	克里斯蒂娜
de_obeɐkføl	奥贝格弗尔
de_hakl	哈克尔
de_lindaː	琳达
de_ʃtaːl	施塔尔
de_atʁian	阿德里安
de_zuːtil	苏蒂尔
de_peɐ	皮尔
de_ʃtainpʁyk	施泰因布吕克
de_ʃvait͡sɐ	史怀哲
de_maɐɡot	玛戈
de_ʁaːp	拉布
de_aknes	阿格尼丝
de_poːkels	波克尔斯
de_kʁas	格拉斯
de_faːleːʀius	瓦勒留斯
de_koɐdus	科尔杜斯
de_kaɐlhans	卡尔汉斯
de_ʁiːm	里姆
de_lampə	兰珀
de_heɐbik	赫比希
de_evaltainʁix	埃瓦尔德海因里希
de_haːʀalt	哈拉尔德
de_flastiemil	弗拉斯季米尔
de_hoɐt	霍特
de_aknesmaːʀia	阿格尼丝
de_leːnaː	莱娜
de_maieɐlantʁut	迈尔兰德鲁特
de_toːniː	托尼
de_xʁistof	克里斯托夫
de_plumhaɐt	布鲁哈德
de_not	诺特
de_eːɐlɐ	埃尔勒
de_haiedi	海迪
de_biːbl	比布尔
de_laːm	拉姆
de_zeːbastian	塞巴斯蒂安
de_fetel	维泰尔
de_luːbit͡ʃ	刘别谦
de_ɡeɐt	格尔德
de_zaːmiː	萨米
de_kheːdiːʀaː	赫迪拉
de_vais	魏斯
de_hildə	希尔德
de_ʃʁadɐ	施拉德
de_tomy	托米
de_haːs	哈斯
de_fʁənkel	弗伦克尔
de_hain	海因
de_keslɐ	凯斯勒
de_vaɐnekə	瓦内克
de_vildən	维尔登
de_ʁupʁat	鲁普拉特
de_ʁyːdiçɐ	吕迪格
de_dɐ	德
de_vilhelm	威廉
de_viːn	维恩
de_klaus	克劳斯
de_voːveːʀait	沃韦赖特
de_bauɐ	鲍尔
de_ʁolfdiːtɐ	罗尔夫迪特尔
de_hoyɐ	霍耶尔
de_noɐbeɐt	诺贝特
de_ʁøtɡən	洛特根
de_eʀiːkaː	艾莉卡
de_ʃtainbax	施泰因巴赫
de_bekɐ	贝克尔
de_høflʁiːʃ	赫夫尔里施
de_veltɐ	维尔特
de_maɐkoːvit͡ʃ	马雅科维奇
de_kaufman	考夫曼
de_loːʀənt͡s	洛伦茨
de_maːloyhdaː	马洛伊达
de_klop͡fɐ	克洛普佛
de_ɡiːseːlaː	吉塞拉
de_biɐkeːmaiɐ	比克迈尔
de_zeːfeɐloː	塞弗罗
de_epbeɐt͡s	埃柏兹
de_biːbiaːna	比比安娜
de_beklauh	贝格劳
de_zaielaxɐ	塞拉赫
de_lyːt͡sov	吕佐夫
de_buʃ	布施
de_eɐvin	埃尔温
de_ʃʁøːdiŋɐ	薛定谔
de_leːniː	莱妮
de_ʁiːfənstaːl	里芬斯塔尔
de_maɐɡaːʀetə	玛加蕾特
de_tʁotaː	特罗塔
de_kinskiː	金斯基
de_dany	丹尼
de_laːt͡sa	拉察
de_vail	威尔
de_joːhan	约翰
de_ənɡelbeɐt	恩格尔贝特
de_humpeɐdink	洪佩尔丁克
de_ofyls	欧弗斯
de_vim	温
de_vəndeɐs	韦德斯
de_kaːs	卡斯
de_lameɐdiŋk	拉默丁
de_miːxael	米夏埃尔
de_ʃuːmaxɐ	舒马赫
de_ʃaiedel	沙伊德尔
de_danə	丹内
de_klokshubɐ	格洛克斯胡贝尔
de_uɐban	乌尔班
de_hetix	黑蒂希
de_ʁoːbin	罗宾
de_bənt͡siŋk	本青
de_bant͡s	班茨
de_fany	范妮
de_floːʀian	弗洛里安
de_ʃvaɐtof	施瓦特霍夫
de_katjaː	卡特娅
de_zaiet͡siŋɐ	赛青格
de_tefə	特弗
de_ʃuɐ	舒尔
de_ʁadpʁux	拉德布鲁赫
de_elən	埃伦
de_unveɐt	翁维尔特
de_anton	安东
de_leːnaɐt	莱纳德
de_lauə	劳厄
de_naːdinə	娜丁
de_klaiəneɐt	克莱纳特
de_ʁyːmkoɐf	吕姆克尔夫
de_haneːloʀə	汉内洛蕾
de_nely	内莉
de_zaks	萨克斯
de_klinsman	克林斯曼
de_abs	阿布斯
de_pop	波普
de_maɐkeːfin	马克凯温
de_ɡoelnɐ	格尔纳
de_liːpman	李卜曼
de_ʃteɐn	斯特恩
de_ʃtefiː	施特菲
de_kʁaf	格拉夫
de_noltə	诺尔特
de_bek	贝克
de_ɡeʃkə	格施克
de_ʁoːlant	罗兰
de_veːt͡sik	韦齐希
de_feːʀoːnaː	薇若娜
de_obstfeldɐ	奥布斯特费尔德
de_juːdit	朱迪思
de_ʃvainfuɐt	什文福
de_voɐʁiŋɐ	沃林格
de_aleksantʁaː	亚历山德拉
de_laːʀa	拉腊
de_fʁaŋkaː	法兰卡
de_poːtəntə	波坦特
de_ostvalt	奥斯特瓦尔德
de_balak	巴拉克
de_ʃtaɐk	施塔克
de_ɡoepeɐtmaiɐ	格佩特梅耶
de_osvalt	奥斯瓦尔德
de_ʃpənklɐ	斯彭格勒
de_kaːnaʀis	卡纳里斯
de_kosel	科塞尔
de_øt͡sdeːmiɐ	奥兹德米尔
de_zeltən	塞尔滕
de_jəns	延斯
de_dianə	黛安
de_kʁuɡɐ	克鲁格
de_kʁynbeɐk	格林贝格
de_maieɐhof	迈尔霍夫
de_ʃlaixɐ	施莱谢尔
de_hansulʁix	汉斯乌尔里希
de_ʁuːdel	鲁德尔
de_manstain	曼施坦因
de_amplɐ	安普勒
de_vaint͡siːɐl	魏因齐尔
de_hildepʁant	希尔德布兰
de_baɐkman	巴克曼
de_hekman	海克曼
de_huːɡənbeɐk	胡根贝格
de_ɡutʁun	古德伦
de_ənslin	恩斯林
de_ʃoyplə	朔伊布勒
de_hit͡slspeɐɡɐ	希策尔斯佩格
de_falkənhain	法金汉
de_leoːnaɐt	伦纳德
de_nelson	尼尔森
de_ʁaedɐ	雷德尔
de_patʁik	帕特里克
de_fuŋk	丰克
de_ɡalant	加兰德
de_baieɐn	拜恩
de_kopiː	科皮
de_haːsə	哈泽
de_oskaɐ	奥斯卡
de_peɐʁon	佩龙
de_alois	阿洛伊斯
de_ʃlodɐ	施洛德
de_kʁoyt͡sbeɐk	克罗伊茨贝格
de_ʃvalp	施瓦尔布
de_kaːmiloː	卡米洛
de_ʃnaidɐ	施奈德
de_pʁauɐ	布饶尔
de_mosɐ	莫泽
de_koɐneːliaː	科尔内利娅
de_p͡foːl	普福尔
de_hansən	汉森
de_ʁøknɐ	罗格纳
de_juːliaː	朱莉娅
de_diːt͡sə	迪策
de_kʁeːɡoɐ	格雷戈尔
de_ɡysiː	吉西
de_tiemoː	蒂莫
de_pʁauhxit͡ʃ	布劳希奇
de_fasbəndɐ	法斯宾达
de_kaːkauh	卡考
de_bauhman	鲍曼
de_hot	霍特
de_ʃuːman	舒曼
de_t͡sé	泽
de_ʁoːbeɐtoː	罗伯托
de_milx	米尔希
de_føɐstɐ	弗尔斯特
de_ɡeɐdaː	格尔达
de_yuːʀiː	尤里
de_maːnin	马宁
de_maŋolt	曼戈尔特
de_keːlɐ	凯勒
de_kyxlɐ	屈希勒
de_haldɐ	哈尔德
de_kaːpelman	卡佩尔曼
de_aiesənstaet	艾森施泰特
de_ʃøɐnɐ	舍尔纳
de_enis	阿尼斯
de_bənhaːtieʀaː	宾哈迪拉
de_zauɐ	绍尔
de_maisnɐ	迈斯纳
de_folkɐ	福尔克尔
de_ʃtʁasən	施特拉森
de_køpel	科佩尔
de_mathias	马蒂亚斯
de_beːɐ	贝尔
de_kʁispiːn	克里斯平
de_kʁaːman	格罗曼
de_piːt͡ʃ	皮奇
de_ɡunst	贡斯特
de_diteɐt	迪特尔特
de_beːʀənt	贝伦特
de_anetə	安妮特
de_kluk	克卢格
de_maɐkoː	马尔科
de_zamɐ	萨默尔
de_nauhman	瑙曼
de_hausɐ	豪塞尔
de_dalbeɐt	达尔伯特
de_viʃ	威施
de_hansiː	汉西
de_kaɐlhaint͡s	卡尔海因茨
de_ʃveːʀin	施维林
de_mai	梅
de_beːnekə	贝内克
de_mynxiŋɐ	明兴格尔
de_doːmaɡk	多马克
de_moːʀit͡s	莫里茨
de_ʃlik	石里克
de_vaiəneɐt	魏纳特
de_biːɐman	比尔曼
de_ɡodfʁai	戈弗雷
de_knelɐ	内勒
de_peːteɐsən	彼得森
de_haɐtman	哈特曼
de_list	利斯特
de_paipɐ	派佩尔
de_zalmut	萨尔穆特
de_konstantin	康斯坦丁
de_kaːʀatéoːdoʁy	卡拉西奥多里
de_baiɐ	拜尔
de_makdaː	玛格达
de_ɡoepbels	戈培尔
de_letovfoɐbek	莱托福尔贝克
de_zikmunt	西格蒙德
de_ʁaʃɐ	拉舍尔
de_tølt͡sɐ	特尔策
de_last	拉斯特
de_hasoː	哈索
de_mantoyfel	曼陀菲尔
de_auhɡust	奥古斯特
de_zeːkt	塞克特
de_ɡothaɐt	哥特哈德
de_hainʁiːki	海因里希
de_pʁuːnoː	布鲁诺
de_hansjøɐk	汉斯约尔格
de_jeklə	耶克勒
de_juŋə	容格
de_tuːɡəntat	图根哈特
de_diːtɐ	迪特尔
de_t͡set͡ʃə	蔡澈
de_eɐlikshauhsən	埃里希豪森
de_zostənə	索斯泰娜
de_moːɡueːnaːʀa	莫格纳拉塔鲁姆
de_xeːfaleːʀiə	谢瓦莱里
de_aieseːnekɐ	艾泽内克
de_ʃtaŋkɡasiŋɐ	施坦加辛格
de_baɐtels	巴特尔斯
de_zandɐ	桑德
de_eːʀənfʁiːt	埃伦弗里德
de_paːt͡sel	帕策尔
de_aiexel	艾歇尔
de_viŋklɐ	温克勒
de_haiediːlkə	海迪埃尔克
de_ɡauhɡel	高格尔
de_imel	伊梅尔
de_hiŋkel	欣克尔
de_baːɐ	巴尔
de_klainfelt	克莱因费尔德
de_ɡundiː	贡迪
de_plauən	普劳恩
de_diːmitʁiː	迪米特里
de_peːteɐs	彼得斯
de_kʁausə	克劳瑟
de_baxman	巴赫曼
de_huːɡoː	胡戈
de_bal	巴尔
de_beɐkmanpoːl	伯格曼普尔
de_tykvɐ	提克威尔
de_kmeːlin	格梅林
de_jeːn	雅恩
de_niːkoːlaus	尼古拉斯
de_falkənhoɐst	法尔肯霍斯特
de_daːniːlaː	丹妮拉
de_anʃyt͡stoms	安许茨汤姆斯
de_kaːsiːmiɐ	卡西米尔
de_vefɐ	韦弗
de_plaskoːvit͡s	布拉斯科维茨
de_hanes	汉内斯
de_vadɐ	瓦德
de_ʁaiexeɐt	赖歇特
de_ʃtaːhel	施塔赫尔
de_meːʀedit	梅雷迪丝
de_pʁantmylɐ	布兰德米勒
de_niklas	尼克拉斯
de_luːman	卢曼
de_kʁoemɐ	克勒默
de_toːbias	托比亚斯
de_aɐlt	阿尔特
de_dem	登
de_baxt͡seːlevskiː	巴赫热勒维斯基
de_aneːliːsə	安内利泽
de_miːxel	米歇尔
de_kʁet͡ʃmɐ	克雷奇默
de_ʃilɐ	席勒
de_henʃ	亨施
de_pʁəndel	布伦德尔
de_ʁaːdeːmaxɐ	拉德马赫
de_vənt	温特
de_ekɡɐ	艾格
de_ʃlextɐ	施莱希特
de_timeɐman	蒂默曼
de_t͡seɐmeːloː	策梅洛
de_bitʁix	毕特利希
de_hindeːmit	欣德米特
de_vexteɐshoysɐ	瓦赫特绍泽
de_vəndl	文德尔
de_ʁuskaː	鲁斯卡
de_kliːt͡siŋk	克利青
de_eliːsaːbet	伊丽莎白
de_peːt͡s	佩茨
de_aɐnoː	阿诺
de_vaxman	瓦赫曼
de_ɡotfʁiːt	戈特弗里德
de_kʁoːnik	克勒尼希
de_haikə	海克
de_tʁekslɐ	德雷克斯勒
de_motʁov	莫德罗
de_baɐkhoɐn	巴克霍隆
de_vaitliŋk	魏德林
de_ʃvaɐt͡skop͡f	施瓦茨科普夫
de_fuɐtveŋklɐ	富特文格勒
de_myːə	米厄
de_bənn	贝恩
de_pʁitaː	布丽塔
de_ʃtefən	斯特芬
de_eɐmanoː	艾曼诺
de_volfeɐʁaːʀiː	沃尔夫费拉里
de_leːɐs	莱斯
de_bənnoː	本诺
de_aʀənt	阿伦特
de_zaːvit͡skiː	萨维茨基
de_fliːs	弗利斯
de_hənʁy	亨利
de_maskə	马斯克
de_iŋkʁit	英格丽德
de_altmaiɐ	阿尔特迈尔
de_platnɐ	普拉特纳
de_plaŋk	布兰克
de_keɐstin	克斯廷
de_ʃteːɡeman	施特格曼
de_aiknɐ	艾格纳
de_kaːʀən	卡伦
de_hoɐnai	霍妮
de_plənt͡sdoɐf	普伦茨多夫
de_kumet͡s	库梅兹
de_alɡøvɐ	阿尔格韦尔
de_klausdiːtɐ	克劳斯迪特尔
de_ziːlof	西洛夫
de_utə	乌特
de_obeɐhofnɐ	奥伯霍夫纳
de_miːlkə	梅尔克
de_baːdə	巴德
de_hansɡeɐt	汉斯格特
de_pøteːʀiŋk	珀特林
de_ʁaːnɐ	拉纳
de_miːxels	米契尔斯
de_ʃløndoɐf	施隆多夫
de_oelkeɐs	厄尔克斯
de_ɡeɐtdiːtmaɐ	格特迪特马尔
de_klausə	克劳泽
de_mauhʀiːt͡sioː	毛里齐奥
de_ɡauhdiːnoː	高迪诺
de_hofman	霍夫曼
de_noskə	诺斯克
de_kaːʀakkioːlaː	卡拉乔拉
de_p͡fit͡snɐ	普菲茨纳
de_lalə	拉莉
de_andeɐsən	安德森
de_fest	费斯特
de_kuːʃeːlaː	库舍拉
de_ɡilə	吉勒
de_fuɐlɐ	富勒
de_heɐʁhauhsən	赫尔豪森
de_kiɐxnɐ	基希纳
de_ʁiːman	里曼
de_metlok	米洛克
de_ʃtʁeːseman	施特雷泽曼
de_zeːfeʀin	泽韦林
de_fʁoynt	弗罗因德
de_maːʀiːkaː	玛丽卡
de_kiːlius	基柳斯
de_fioːlaː	维奥拉
de_hansjyɐɡən	汉斯于尔根
de_boymlɐ	博伊姆勒
de_olaf	奥拉夫
de_plask	布拉斯克
de_volf	沃尔夫
de_eɐlpʁux	艾尔布鲁赫
de_heɐvik	赫维希
de_ʃopɐ	朔佩尔
de_london	伦敦
de_maːnuel	曼努埃尔
de_ʃlem	施勒姆
de_laitnɐ	莱特纳
de_t͡sənkɐ	曾克尔
de_hainʁot	海因洛特
de_hainɐ	海纳
de_laːʀənt͡s	拉伦茨
de_hənʁix	海瑞克
de_haiəneːkən	海尼根
de_ʁoksin	罗可辛
de_xʁistaː	克丽斯塔
de_jaux	尧赫
de_heːʀiŋən	赫林根
de_bʁdaːʀiḱ	布尔达里奇
de_antjə	安特耶
de_buʃʃultə	布施舒尔特
de_auɡstain	奥格斯坦
de_niːkolə	妮科尔
de_fʁant͡siskaː	弗兰齐斯卡
de_miːʀiam	米丽亚姆
de_veltə	威尔特
de_føɐsteːman	弗尔斯特曼
de_ɡotliːp	戈特利布
de_haeːselɐ	海斯勒
de_t͡seɐbə	策尔贝
de_ʁoːsənbeɐk	罗森伯格
de_dənnis	丹尼斯
de_til	蒂尔
de_ʃvaiɡɐ	施威格
de_tuːxolsky	图霍尔斯基
de_valsɐ	瓦尔泽
de_anaː	安娜
de_zekheɐs	西格斯
de_iːfan	伊凡
de_ʁepʁof	李布洛夫
de_døplin	德布林
de_aŋkə	安克
de_hubɐ	胡贝尔
de_kʁos	格罗斯
de_zouːxon	苏雄
de_ʁøpkə	洛卜克
de_ʃtokbauɐ	施托克鲍尔
de_iŋeːnoːl	英格诺尔
de_ɡam	加姆
de_liːsel	莉泽尔
de_vesteɐman	韦斯特曼
de_juan	胡安
de_lint͡s	林兹
de_sfən	斯文
de_ʃiplok	席普洛克
de_ʃteɡɐ	斯特格
de_zaːmuel	塞缪尔
de_leoːpolt	利奥波德
de_ʃtefan	斯特凡
de_knapeɐtsbuʃ	克纳佩茨布施
de_joːxum	约胡姆
de_klauhdiaː	克劳迪娅
de_pekstain	佩希施泰因
de_aɐmin	阿明
de_maieves	迈韦斯
de_beɐtolt	贝特霍尔德
de_kop͡ff	科普夫
de_akeɐman	阿克曼
de_maːnueːlaː	曼努埃拉
de_hənkel	亨克尔
de_beːselɐ	贝瑟勒
de_albik	阿尔比希
de_døɐnɐ	多纳
de_feːn	费恩
de_fənt	芬特
de_ʁut	露特
de_fuks	富克斯
de_ʃaːʀoun	夏隆
de_oːneːsoɐk	奥内佐格
de_teoː	西奥
de_moːʀel	莫雷尔
de_ʃaːbovskiː	沙博夫斯基
de_klempeʁɐ	克伦佩勒
de_ʃol	朔尔
de_luk	卢克
de_kvant	匡特
de_fʁaietak	弗赖塔格
de_aɡeə	阿吉
de_koːkaː	科卡
de_ɡənt͡sel	根策尔
de_hoŋkaː	洪卡
de_viːnekə	维内克
de_ʃoːkeːmøːlə	朔克默勒
de_baɐt͡ʃ	巴奇
de_əntʁes	恩德雷斯
de_anekʁet	安妮格雷特
de_kʁampkaɐʁənbauɐ	克兰普卡伦鲍尔
de_teːbaɐt͡sfan	特巴兹凡
de_juŋk	荣格
de_ʁemɐ	雷莫
de_kʁoənɐ	格勒纳
de_vaiŋeɐtnɐ	魏因加特纳
de_aljoːnaː	阿廖娜
de_zafxənkoː	萨夫琴科
de_diːtmaɐ	迪特马尔
de_hop	霍普
de_miʃ	米施
de_fyɐstə	菲尔斯特
de_ɡuntɐ	冈瑟
de_haːɡəns	海根斯
de_daːniːl	丹尼尔
de_bekə	贝克
de_ʁoːseːmaːʀiə	罗斯玛丽
de_tʁoːkel	特罗克尔
de_hənlain	亨莱因
de_ɡustlof	古斯特洛夫
de_buɐkdoɐf	布格多夫
de_ʃtump͡f	斯图姆夫
de_maːkat͡ʃ	玛卡琪
de_ɡøːʀiŋk	戈林
de_buɐvit͡s	伯维茨
de_beɐt	伯特
de_heliŋɐ	海灵格
de_falkənhauhsən	法肯豪森
de_lameɐt	拉默特
de_jyɐɡəns	于尔根斯
de_ʁənduːlik	伦杜利克
de_diːl	迪尔
de_fiːtlɐ	菲德勒
de_ameɐbax	阿默巴赫
de_boufiɐ	布菲耶
de_ɡeːsaː	格萨
de_feːliːkitas	菲莉齐塔
de_hipɐ	希佩尔
de_pʁiːpkə	普里布克
de_ʁaixhaɐt	赖希哈特
de_keːɡel	科格
de_hantʁik	汉德里克
de_tʁap	特拉普
de_niːkoːlas	尼古拉斯
de_limbax	林巴赫
de_xʁistinə	克里斯蒂娜
de_vənt͡sel	文策尔
de_baiʁam	拜拉姆
de_høfə	赫费
de_kaɐljeskoː	卡尔耶斯科
de_putkamɐ	普特卡默
de_hoeːʀən	霍伦
de_tolsdoɐf	多斯多夫
de_zibylaː	西碧拉
de_meːʀian	梅里安
de_ɡʁt͡siːmek	格日梅克
de_ɡynʃə	京舍
de_hafnɐ	哈夫纳
de_ʁuŋə	伦格
de_antʁeaː	安德烈娅
de_petkoːfiḱ	佩特科维奇
de_anaːleːnaː	安娜莱娜
de_kʁøːneːfelt	歌恩菲特
de_lapbaːdia	拉巴迪亚
de_kasmiɐ	卡斯米尔
de_ʁaːbə	拉伯
de_hiɐʃfelt	赫希菲尔德
de_ʃlaːɡetɐ	施拉格特
de_haːseːlof	哈瑟夫
de_antʁé	安德烈
de_vilms	维尔姆斯
de_zaksə	萨克塞
de_maksiːmilian	马克西米利安
de_vaiks	魏克斯
de_fʁaislɐ	弗莱斯勒
de_shavn	肖恩
de_pʁatlai	布拉德利
de_paːnofsky	潘诺夫斯基
de_haʁy	哈里
de_knoːxən	克诺亨
de_løbə	勒伯
de_fiːʃaɐt	菲沙尔特
de_plaːt͡sek	普拉策克
de_poːl	波尔
de_kʁet͡ʃman	克莱舒曼
de_aueɐbax	奥尔巴赫
de_ʁait͡s	赖茨
de_haŋkə	汉克
de_ʁust	鲁斯特
de_ʁabə	拉贝
de_tʁauə	特拉乌
de_zeleːʀiŋk	塞勒林
de_pʁandiː	布兰迪
de_vant	旺德
de_tysən	蒂森
de_maːtip	马蒂普
de_puʃ	普施
de_falk	法尔克
de_boːdən	博登
de_ʃpeːman	斯佩曼
de_fʁaŋkə	弗兰克
de_sloːtaːk	斯洛塔克
de_ənnoː	恩诺
de_daːlueɡə	达吕格
de_aɐnim	阿尼姆
de_feːliks	费利克斯
de_ʃtainɐ	施泰纳
de_ʁaːmin	拉民
de_tjaːvadiː	贾瓦迪
de_mainhaɐt	迈因哈德
de_neːmɐ	内默
de_ʃteːfaːniə	斯蒂芬妮
de_t͡svaik	茨威格
de_klyks	格吕克斯
de_heɐmanbeɐnhaɐt	赫曼柏恩哈特
de_ʁamkə	雷姆克
de_zauhkən	绍肯
de_maiənekə	梅尼克
de_hənn	亨
de_veːlɐ	韦勒
de_ɡut͡ʃə	古切
de_heːlənaː	海伦娜
de_fʁom	弗洛姆
de_ekpʁet	埃克布雷特
de_kʁais	克赖斯
de_ʃyːman	许曼
de_fiːʃiŋɐ	费钦格
de_maɐtəns	马滕斯
de_klas	格拉斯
de_kaːʀoːlin	卡罗琳
de_leonhaɐt	莱昂哈特
